"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9257","Binarizer(LuminanceSource source)","com.google.zxing.Binarizer.<init>(Lcom/google/zxing/LuminanceSource;)V","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","34","3","36","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9260","LuminanceSource getLuminanceSource()","com.google.zxing.Binarizer.getLuminanceSource()Lcom/google/zxing/LuminanceSource;","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","38","3","40","4","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9261","BitArray getBlackRow(int y, BitArray row)","com.google.zxing.Binarizer.getBlackRow(ILcom/google/zxing/common/BitArray;)Lcom/google/zxing/common/BitArray;","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","56","3","56","86","0","0","0","0","0","0","0","0","1","0","0","1","0","0.933333","14","14","0.933333","14","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9265","BitMatrix getBlackMatrix()","com.google.zxing.Binarizer.getBlackMatrix()Lcom/google/zxing/common/BitMatrix;","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","67","3","67","71","0","0","0","0","0","0","0","0","1","0","0","1","0","0.9","9","9","0.9","9","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9267","Binarizer createBinarizer(LuminanceSource source)","com.google.zxing.Binarizer.createBinarizer(Lcom/google/zxing/LuminanceSource;)Lcom/google/zxing/Binarizer;","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","77","3","77","69","0","0","0","0","0","0","0","0","1","0","0","3","0","0.888889","8","8","0.888889","8","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9272","int getWidth()","com.google.zxing.Binarizer.getWidth()I","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","79","3","81","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9273","int getHeight()","com.google.zxing.Binarizer.getHeight()I","L9254","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\Binarizer.java","83","3","85","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2659","BinaryBitmap(Binarizer binarizer)","com.google.zxing.BinaryBitmap.<init>(Lcom/google/zxing/Binarizer;)V","L2656","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\BinaryBitmap.java","33","3","38","4","0","0","0","0","0","0","0","0","2","1","1","22","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7751","int getWidth()","com.google.zxing.BinaryBitmap.getWidth()I","L2656","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\BinaryBitmap.java","43","3","45","4","0","0","0","0","0","0","0","0","1","0","0","4","1","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7753","int getHeight()","com.google.zxing.BinaryBitmap.getHeight()I","L2656","L103","D:\PR_assignment_src\zxing\core\src\main\java\com\google\zxing\BinaryBitmap.java","50","3","52","4","0","0","0","0","0","0","0","0","1","0","0","13","1","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
