"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0643911","52","376","117","0.0354677","0.0504046","1495","1277","0","0","0","0","0","0.33531","0.310022","11384","735","1457","0","0","0","0","0","0","0","0","0","3","0","0","25336","42151","1116","382","73","0","158","399","45","2867","11528","109","197","0","44","35","2368","591","0","0","7036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0877193","0.169202","89","5","52","0","0","0","0","0","0","0","0","0","1","0","0","437","507","0","5","15","0","5","0","0","54","178","0","5","0","0","7","52","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L335","com","com","L100","L103","0.0658156","52","376","117","0.0360241","0.0515189","1495","1277","0","0","0","0","0","0.34182","0.312895","11288","725","1396","0","0","0","0","0","0","0","0","0","1","0","0","24788","41500","1114","376","57","0","152","398","42","2803","11278","109","191","0","41","22","2306","591","0","0","6872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16753","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.357143","0.059322","7","5","9","0","0","0","0","0","0","0","0","0","1","0","0","111","144","2","1","9","0","1","1","3","10","72","0","1","0","3","3","10","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","fest","org.fest","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0877193","0.169202","89","5","52","0","0","0","0","0","0","0","0","0","1","0","0","437","507","0","5","15","0","5","0","0","54","178","0","5","0","0","6","52","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L336","actionbarsherlock","com.actionbarsherlock","L335","L103","0.0658156","52","376","117","0.0274657","0.075188","22","20","0.830508","0.626405","446","49","10","0.34182","0.312895","11288","725","1396","266","801","10","1","0","3","8","56","2","5","49","12","24788","41500","1114","376","57","0","152","398","42","2803","11278","109","191","0","41","21","2306","591","0","0","6872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16754","support","android.support","L16753","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.357143","0.059322","7","5","9","0","0","0","0","0","0","0","0","0","1","0","0","111","144","2","1","9","0","1","1","3","10","72","0","1","0","3","2","10","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","assertions","org.fest.assertions","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0877193","0.169202","89","5","52","0","0","0","0","0","0","0","0","0","1","0","0","437","507","0","5","15","0","5","0","0","54","178","0","5","0","0","5","52","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L342","sample","com.actionbarsherlock.sample","L336","L103","0.128054","21","141","51","0.0826991","0.100998","652","516","0","0","0","0","0","0.250737","0.244865","1657","85","254","0","0","0","0","0","0","0","0","0","5","0","0","5110","7884","176","193","36","0","66","26","0","427","1719","18","108","0","0","7","329","4","0","0","1837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4503","app","com.actionbarsherlock.app","L336","L103","0","0","0","0","0","0","0","0","0.385965","0.379375","813","110","175","0.385965","0.379375","813","110","175","1330","2570","23","11","0","36","3","314","10","0","271","75","1330","2570","23","11","8","0","9","36","3","314","394","10","11","0","3","0","271","75","0","0","521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
