"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.194111","1448","9806","4090","0.121542","0.158414","39831","32170","0","0","0","0","0","0.271121","0.247639","66862","5401","14520","0","0","0","0","0","0","0","0","0","3","0","0","203136","327715","8840","3200","828","26","2939","5048","290","20635","94956","2123","2711","22","287","432","17526","2810","0","0","69281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.194249","1447","9804","4088","0.12159","0.158537","39785","32134","0","0","0","0","0","0.271143","0.24793","66840","5399","14513","0","0","0","0","0","0","0","0","0","1","0","0","202752","327206","8832","3177","796","26","2930","5045","288","20593","94856","2122","2702","22","286","428","17499","2810","0","0","69065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94130","activiti","activiti","L100","L103","0.117045","1","2","2","0","0","0","0","0.2","0.0505319","19","1","4","0.285714","0.0569948","22","2","5","357","467","7","22","0","3","1","40","0","1","25","0","364","482","7","22","42","0","8","3","2","41","96","0","8","0","1","1","26","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94330","$","$","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","20","27","1","1","0","0","0","1","1","0","1","0","20","27","1","1","13","0","1","0","0","1","4","1","1","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","activiti","org.activiti","L104","L103","0.194249","1447","9804","4088","0.12159","0.158537","39785","32134","0","0","0","0","0","0.271143","0.24793","66840","5399","14513","0","0","0","0","0","0","0","0","0","22","0","0","202752","327206","8832","3177","796","26","2930","5045","288","20593","94856","2122","2702","22","286","427","17499","2810","0","0","69065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94212","mappers","activiti.mappers","L94130","L103","0","0","0","0","0","0","0","0","0.5","0.3","3","1","1","0.5","0.3","3","1","1","7","15","0","0","0","0","1","1","0","0","1","0","7","15","0","0","12","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","bpmn","org.activiti.bpmn","L105","L103","0.0881579","33","284","74","0.113269","0.125581","70","54","0.567568","0.226449","250","21","16","0.163034","0.217798","2724","187","960","854","1350","46","6","0","9","0","77","0","4","37","14","9783","14950","614","193","36","1","191","360","6","1185","4274","261","188","1","6","11","987","331","0","0","4231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6714","editor","org.activiti.editor","L105","L103","0.223365","72","296","154","0.154696","0.182848","1751","1533","0","0","0","0","0","0.159686","0.0952841","887","61","321","0","0","0","0","0","0","0","0","0","3","0","0","8422","11319","347","117","39","0","100","130","5","581","4610","193","98","0","5","7","302","18","0","0","2732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9960","camel","org.activiti.camel","L105","L103","0.179729","16","43","43","0","0","0","0","0.0916667","0.195357","345","11","109","0.165829","0.235061","653","33","166","1421","2205","69","37","1","16","1","143","7","7","109","31","2125","3481","98","71","29","3","51","17","1","205","785","14","49","3","1","13","168","43","0","0","983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11086","cdi","org.activiti.cdi","L105","L103","0.0833742","15","70","26","0","0","0","0","0.666667","0.46311","408","42","21","0.350148","0.378313","1727","118","219","473","1032","17","8","0","27","2","65","7","4","53","5","2838","5463","110","66","37","0","75","102","5","314","937","14","60","0","5","21","271","21","0","0","966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12963","experimental","org.activiti.experimental","L105","L103","0","0","0","0","0","0","0","0","0","0.436364","24","0","3","0","0.436364","24","0","3","31","71","2","2","0","0","0","1","2","0","1","0","31","71","2","2","11","0","2","0","0","1","8","2","2","0","0","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12977","rest","org.activiti.rest","L105","L103","0.302939","393","3994","1219","0.13253","0.161765","11","11","0.142857","0.0825688","18","2","12","0.250243","0.206658","6555","515","1543","200","277","7","3","0","0","0","16","2","11","11","2","25164","38483","955","312","91","2","310","668","4","1928","12512","178","307","2","4","38","1757","518","0","0","7928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23760","crystalball","org.activiti.crystalball","L105","L103","0.0235627","3","6","6","0.0148368","0.0230569","70","62","0","0","0","0","0","0.267857","0.297728","1140","75","205","0","0","0","0","0","0","0","0","0","3","0","0","2689","4718","182","63","38","0","63","57","5","275","997","25","59","0","5","17","222","16","0","0","854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25556","engine","org.activiti.engine","L105","L103","0.198372","704","3937","1874","0","0","0","0","0.610465","0.645583","2419","315","201","0.299059","0.266993","37525","3432","8044","1328","4405","110","10","0","159","13","499","27","15","493","82","103022","170027","3557","1321","179","17","1344","2840","209","11535","49214","543","1178","14","209","132","10251","1262","0","0","34494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L70149","examples","org.activiti.examples","L105","L103","0.179971","33","78","70","0.111694","0.156519","617","509","0","0","0","0","0","0.301158","0.263694","1165","78","181","0","0","0","0","0","0","0","0","0","9","0","0","3253","5524","68","77","38","1","73","25","0","216","1853","6","75","0","0","27","193","17","0","0","984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L71058","standalone","org.activiti.standalone","L105","L103","0.41356","86","343","278","0.260114","0.32136","2411","1852","0","0","0","0","0","0.2","0.230266","1724","85","340","0","0","0","0","0","0","0","0","0","17","0","0","5763","9269","155","101","29","0","92","39","1","405","3337","18","91","0","1","18","342","48","0","0","2059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L72692","explorer","org.activiti.explorer","L105","L103","0.121096","89","364","194","0","0","0","0","0.16185","0.190476","268","28","145","0.295322","0.226282","5660","404","964","1139","1724","473","7","0","25","3","167","434","11","163","29","19353","30724","1755","461","69","0","287","327","22","1889","8045","649","267","0","22","50","1279","146","0","0","7187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82691","async","org.activiti.async","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.181818","0.366795","95","2","9","0","0","0","0","0","0","0","0","0","1","0","0","164","313","13","4","13","0","2","0","0","10","61","0","3","0","0","2","9","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82765","test","org.activiti.test","L105","L103","0.0372984","2","12","5","0.0427119","0.0512582","63","55","0","0","0","0","0","0.171875","0.11977","146","11","53","0","0","0","0","0","0","0","0","0","4","0","0","1073","1475","21","31","95","0","14","5","0","88","458","2","22","0","0","8","65","6","0","0","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L83287","image","org.activiti.image","L105","L103","0.102195","8","62","18","0","0","0","0","0.230769","0.633333","38","3","10","0.12844","0.151107","314","14","95","22","77","0","0","0","0","1","12","0","3","12","0","1764","2473","69","26","14","1","5","10","3","150","1054","3","4","1","1","3","127","2","0","0","591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L84615","management","org.activiti.management","L105","L103","0.0403354","2","4","4","0.0184716","0.0234834","51","36","0","0","0","0","0","0.308824","0.30543","675","42","94","0","0","0","0","0","0","0","0","0","1","0","0","1535","2761","55","29","22","0","34","26","4","135","658","1","25","0","4","4","113","16","0","0","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L85522","ldap","org.activiti.ldap","L105","L103","0","0","0","0","0","0","0","0","0.283688","0.327473","447","40","101","0.283688","0.327473","447","40","101","918","1669","48","17","0","42","2","148","0","0","140","39","918","1669","48","17","11","0","11","42","2","148","331","0","10","0","2","0","140","39","0","0","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L86168","mule","org.activiti.mule","L105","L103","0.194128","2","3","3","0","0","0","0","0.190476","0.1875","69","4","17","0.190476","0.1875","69","4","17","299","437","11","6","0","11","0","23","0","0","17","6","299","437","11","6","16","0","5","11","0","23","132","0","5","0","0","0","17","6","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L86267","osgi","org.activiti.osgi","L105","L103","0.0806411","3","28","6","0","0","0","0","0.262295","0.187549","241","16","45","0.198276","0.192615","386","23","93","1044","1460","36","20","0","15","1","81","1","1","60","0","1618","2313","57","34","19","0","21","29","1","137","674","1","25","0","1","2","107","10","0","0","449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L87158","validation","org.activiti.validation","L105","L103","0.0274254","1","16","2","0","0","0","0","0.15625","0.293617","69","5","27","0.44186","0.292336","637","38","48","166","294","11","3","0","11","1","28","0","1","28","11","1542","2649","88","35","13","0","39","13","4","95","521","74","35","0","4","2","47","13","0","0","382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L87871","scripting","org.activiti.scripting","L105","L103","0.0563813","1","6","2","0.0264064","0.0466102","23","22","0","0","0","0","0","0.144737","0.34626","250","11","65","0","0","0","0","0","0","0","0","0","1","0","0","472","871","27","11","15","0","11","24","0","71","160","3","11","0","0","4","65","19","0","0","218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L88181","workflow","org.activiti.workflow","L105","L103","0.104374","33","218","84","0.0700396","0.0904227","850","676","0","0","0","0","0","0.164234","0.250725","2506","135","687","0","0","0","0","0","0","0","0","0","1","0","0","7489","12136","434","106","56","1","118","263","13","831","3091","128","104","1","13","22","709","220","0","0","2545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L92219","spring","org.activiti.spring","L105","L103","0.0898687","17","40","26","0","0","0","0","0.236842","0.329741","306","18","58","0.229798","0.308296","1531","91","305","622","1126","29","21","0","22","1","91","0","6","77","15","3435","6080","166","94","49","0","82","57","3","371","1144","7","84","0","3","24","327","59","0","0","1278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","constants","org.activiti.bpmn.constants","L106","L103","0","0","0","0","0","0","0","0","1","0.0661479","17","1","0","1","0.0661479","17","1","0","240","300","237","0","0","0","1","0","237","0","0","0","240","300","237","0","12","0","1","0","1","0","0","237","0","0","1","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L374","converter","org.activiti.bpmn.converter","L106","L103","0.0468798","13","77","23","0","0","0","0","0.288462","0.154774","475","30","74","0.298561","0.216122","1370","83","195","2594","3711","48","34","0","60","0","246","0","5","104","8","4969","7607","58","96","17","0","92","93","1","367","2355","1","95","0","1","5","215","8","0","0","1728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4223","exceptions","org.activiti.bpmn.exceptions","L106","L103","0","0","0","0","0","0","0","0","0.333333","0.6","15","1","2","0.333333","0.6","15","1","2","10","30","1","1","0","0","0","2","0","0","2","0","10","30","1","1","12","0","1","0","0","2","2","0","1","0","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4736","model","org.activiti.bpmn.model","L106","L103","0.186907","19","201","49","0.166667","0.22449","12","11","0.101377","0.230786","1072","81","718","0.0978261","0.224174","1072","81","747","3573","5482","257","84","1","254","4","716","20","2","710","301","3710","5663","272","90","14","1","95","258","4","739","1419","23","90","1","4","2","733","309","0","0","2330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6715","language","org.activiti.editor.language","L6714","L103","0.238271","60","274","136","0","0","0","0","0","0.00439367","5","0","52","0.133739","0.0817162","619","44","285","1133","1385","0","19","0","19","0","75","0","2","33","0","6956","9183","57","90","30","0","86","116","1","493","4000","2","87","0","1","4","248","15","0","0","2192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9139","ui","org.activiti.editor.ui","L6714","L103","0.156449","12","22","18","0.138122","0.140625","25","18","0.28","0.148621","221","14","36","0.28","0.148621","221","14","36","1266","1839","99","27","0","14","1","88","0","0","54","3","1266","1839","99","27","12","0","11","14","1","88","610","0","11","0","1","0","54","3","0","0","518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9944","constants","org.activiti.editor.constants","L6714","L103","0","0","0","0","0","0","0","0","1","0.190283","47","3","0","1","0.190283","47","3","0","200","297","191","0","0","0","3","0","191","0","0","0","200","297","191","0","12","0","3","0","3","0","0","191","0","0","3","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10489","impl","org.activiti.camel.impl","L9960","L103","0","0","0","0","0","0","0","0","1","0.647059","55","3","0","1","0.647059","55","3","0","30","106","3","3","0","0","0","3","0","0","0","3","30","106","3","3","12","0","3","0","0","3","3","0","3","0","0","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10657","error","org.activiti.camel.error","L9960","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.444444","28","2","2","0","0","0","0","0","0","0","0","0","1","0","0","35","74","0","2","13","0","2","0","0","2","5","0","2","0","0","1","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10731","examples","org.activiti.camel.examples","L9960","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.316514","69","0","14","0","0","0","0","0","0","0","0","0","4","0","0","149","272","4","9","16","0","5","0","0","13","43","0","5","0","0","4","13","4","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10792","exception","org.activiti.camel.exception","L9960","L103","0","0","0","0","0","0","0","0","0.75","0.204724","26","6","2","0.285714","0.139785","26","6","15","101","160","3","2","0","0","0","8","0","1","8","1","160","252","10","5","13","1","4","1","0","17","58","3","4","1","0","1","17","2","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10907","revisited","org.activiti.camel.revisited","L9960","L103","0.0892857","1","1","1","0","0","0","0","0","0.326087","30","0","6","0","0.326087","30","0","6","62","112","2","4","0","0","0","6","0","0","6","2","62","112","2","4","12","0","2","0","0","6","16","0","2","0","0","0","6","2","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10970","util","org.activiti.camel.util","L9960","L103","0","0","0","0","0","0","0","0","0.380952","0.485207","82","8","13","0.380952","0.485207","82","8","13","87","223","7","9","1","0","0","11","4","0","11","0","87","223","7","9","12","1","10","0","0","11","9","4","9","1","0","0","11","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11055","variables","org.activiti.camel.variables","L9960","L103","0.608658","6","21","21","0.459916","0.552486","109","100","0.3","0.0904523","18","3","7","0.3","0.0904523","18","3","7","181","237","3","2","0","0","0","10","0","0","10","1","181","237","3","2","12","0","1","0","0","10","96","0","1","0","0","0","10","1","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11111","annotation","org.activiti.cdi.annotation","L11086","L103","0","0","0","0","0","0","0","0","1","0.70607","221","8","0","0.489362","0.661039","509","23","24","92","355","0","0","0","0","0","4","0","1","1","0","261","886","8","8","13","0","23","0","0","28","16","0","8","0","0","1","24","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11631","impl","org.activiti.cdi.impl","L11086","L103","0.0476987","4","26","8","0","0","0","0","0.233333","0.330769","129","7","23","0.263636","0.268817","425","29","81","261","455","9","5","0","4","1","28","3","5","26","1","1156","1870","42","22","17","0","19","48","2","126","406","5","17","0","2","5","102","12","0","0","363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12479","spi","org.activiti.cdi.spi","L11086","L103","0","0","0","0","0","0","0","0","1","0.836735","41","4","0","1","0.836735","41","4","0","8","58","0","0","0","2","1","3","0","0","3","0","8","58","0","0","12","0","1","2","1","3","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12486","test","org.activiti.cdi.test","L11086","L103","0.119052","8","31","11","0.284211","0.342466","54","50","0.333333","0.115152","19","2","4","0.176991","0.267913","344","20","93","146","190","14","2","0","2","0","11","1","4","8","1","940","1617","43","28","23","0","23","25","0","92","333","2","27","0","0","11","89","4","0","0","383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12988","common","org.activiti.rest.common","L12977","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.294118","0.434555","249","15","36","0","0","0","0","0","0","0","0","0","5","0","0","324","693","16","10","17","0","12","15","2","42","121","0","10","0","2","5","39","12","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13246","diagram","org.activiti.rest.diagram","L12977","L103","0.0472787","1","4","2","0.0266667","0.0394265","22","22","0","0","0","0","0","0","0.175516","119","0","8","0","0","0","0","0","0","0","0","0","1","0","0","559","825","7","4","13","0","4","12","0","14","338","0","4","0","0","1","4","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13572","editor","org.activiti.rest.editor","L12977","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.274854","47","3","3","0","0","0","0","0","0","0","0","0","2","0","0","124","205","6","3","14","0","3","2","0","3","38","0","3","0","0","2","3","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13622","exception","org.activiti.rest.exception","L12977","L103","0","0","0","0","0","0","0","0","0.0952381","0.108527","14","2","19","0.0952381","0.108527","14","2","19","115","159","6","5","0","2","0","16","0","0","16","2","115","159","6","5","12","0","5","2","0","16","19","0","5","0","0","0","16","2","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13698","form","org.activiti.rest.form","L12977","L103","0.398844","3","9","3","0","0","0","0","0.25","0.352518","49","3","9","0.25","0.352518","49","3","9","90","172","6","3","0","3","0","9","3","0","9","0","90","172","6","3","12","0","3","3","0","9","26","3","3","0","0","0","9","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13750","security","org.activiti.rest.security","L12977","L103","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","40","48","1","1","0","0","0","2","0","0","2","0","40","48","1","1","12","0","1","0","0","2","12","0","1","0","0","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13777","service","org.activiti.rest.service","L12977","L103","0.316554","370","3860","1164","0.364964","0.404598","200","176","0.230769","0.102515","53","3","10","0.260207","0.210241","5888","478","1359","464","610","23","5","0","3","0","28","0","1","14","0","22118","33943","857","256","36","2","254","624","1","1714","11241","172","253","2","1","11","1588","498","0","0","6913","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23112","api","org.activiti.rest.api","L12977","L103","0.347232","20","63","23","0.326754","0.373874","298","249","0","0","0","0","0","0.181818","0.117881","89","4","18","0","0","0","0","0","0","0","0","0","3","0","0","666","912","24","7","17","0","6","5","1","32","338","0","5","0","1","5","20","0","0","0","227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23306","conf","org.activiti.rest.conf","L12977","L103","0.240726","11","36","15","0","0","0","0","0.16","0.101382","44","4","21","0.0952381","0.0737387","57","6","57","390","537","7","9","0","0","0","26","0","3","17","0","716","948","14","16","23","0","16","0","0","59","212","0","16","0","0","3","48","0","0","0","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23645","util","org.activiti.rest.util","L12977","L103","0.125","1","1","1","0.110169","0.133333","13","10","0.0909091","0.175824","16","1","10","0.0909091","0.175824","16","1","10","75","118","6","2","0","5","0","10","0","0","9","3","75","118","6","2","12","0","1","5","0","10","30","0","2","0","0","0","9","3","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23713","servlet","org.activiti.rest.servlet","L12977","L103","0.259209","4","8","4","0.129412","0.157143","11","11","0.1","0.0616438","9","1","9","0.1","0.0616438","9","1","9","137","183","5","2","0","0","0","11","1","0","8","1","137","183","5","2","12","0","2","0","0","11","53","1","2","0","0","0","8","1","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23761","process","org.activiti.crystalball.process","L23760","L103","0","0","0","0","0","0","0","0","0.333333","0.492958","35","2","4","0.333333","0.492958","35","2","4","36","85","1","2","0","0","0","5","0","0","4","1","36","85","1","2","18","0","2","0","0","5","8","0","2","0","0","0","4","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23804","simulator","org.activiti.crystalball.simulator","L23760","L103","0.0240699","3","6","6","0","0","0","0","0.233083","0.28685","397","31","102","0.262963","0.289694","1071","71","199","987","1723","66","19","0","34","4","139","7","3","118","12","2626","4559","180","59","33","0","59","57","5","267","983","24","55","0","5","12","216","15","0","0","829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25536","examples","org.activiti.crystalball.examples","L23760","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.557377","34","2","2","0","0","0","0","0","0","0","0","0","1","0","0","27","74","1","2","14","0","2","0","0","3","6","1","2","0","0","2","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25587","impl","org.activiti.engine.impl","L25556","L103","0.0781178","178","1645","463","0","0","0","0","0.0704315","0.102799","1076","111","1465","0.232446","0.271284","22414","1728","5706","9391","12559","631","69","4","436","1","1554","122","30","1510","40","60208","98975","2950","869","101","15","896","2225","103","7572","24693","421","802","12","103","57","6620","979","0","0","21121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L59452","test","org.activiti.engine.test","L25556","L103","0.332474","532","2288","1407","0","0","0","0","0.091954","0.230296","187","8","79","0.207274","0.173843","8147","473","1809","625","980","29","4","0","13","0","105","0","18","84","15","38717","57489","347","408","86","0","296","73","0","2338","23718","25","332","0","0","58","2023","89","0","0","11825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L66306","cfg","org.activiti.engine.cfg","L25556","L103","0","0","0","0","0","0","0","0","0.26087","0.492958","70","6","17","0.26087","0.492958","70","6","17","72","179","8","2","0","7","1","20","1","0","20","7","72","179","8","2","12","0","3","7","1","20","15","1","2","0","1","0","20","7","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L66357","delegate","org.activiti.engine.delegate","L25556","L103","0.0382141","2","4","4","0","0","0","0","0.606557","0.607535","387","74","48","0.4875","0.517986","1368","156","164","250","814","10","2","0","64","8","113","8","1","112","18","1273","3191","95","20","14","1","45","138","24","286","382","49","20","1","24","2","275","50","0","0","518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L67398","event","org.activiti.engine.event","L25556","L103","0","0","0","0","0","0","0","0","0.1","0.1875","3","1","9","0.1","0.1875","3","1","9","13","29","0","0","0","9","1","9","0","0","9","0","13","29","0","0","12","0","1","9","1","9","0","0","0","0","1","0","9","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L67403","form","org.activiti.engine.form","L25556","L103","0","0","0","0","0","0","0","0","0.869565","0.738095","124","20","3","0.869565","0.738095","124","20","3","44","220","1","1","0","12","5","17","0","0","17","0","44","220","1","1","12","0","6","12","5","17","1","0","1","0","5","0","17","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L67472","history","org.activiti.engine.history","L25556","L103","0","0","0","0","0","0","0","0","0.93133","0.674538","657","217","16","0.93133","0.674538","657","217","16","317","1289","0","0","0","77","21","212","0","0","212","4","317","1289","0","0","12","0","21","77","21","212","0","0","0","0","21","0","212","4","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L67881","identity","org.activiti.engine.identity","L25556","L103","0","0","0","0","0","0","0","0","0.588235","0.588785","126","30","21","0.588235","0.588785","126","30","21","88","287","3","1","0","11","6","44","0","0","44","8","88","287","3","1","12","0","7","11","6","44","5","0","1","0","6","0","44","8","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
