"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0341202","28","518","88","0.0363481","0.0418636","512","496","0","0","0","0","0","0.425414","0.0738685","945","154","208","0","0","0","0","0","0","0","0","0","1","0","0","11848","14086","2266","54","24","8","65","69","17","527","2150","2021","40","7","17","12","338","89","0","0","1511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0341202","28","518","88","0.0363481","0.0418636","512","496","0","0","0","0","0","0.425414","0.0738685","945","154","208","0","0","0","0","0","0","0","0","0","2","0","0","11848","14086","2266","54","24","8","65","69","17","527","2150","2021","40","7","17","11","338","89","0","0","1511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","beardedhen","com.beardedhen","L104","L103","0.0133308","11","134","27","0.0122867","0.0136111","157","147","0","0","0","0","0","0.45509","0.0795193","933","152","182","0","0","0","0","0","0","0","0","0","1","0","0","10800","12778","2179","33","16","7","48","54","17","420","1757","2016","24","7","17","7","318","89","0","0","1038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7035","fractalwrench","com.fractalwrench","L104","L103","0.245014","17","384","61","0.271407","0.333015","355","349","0","0","0","0","0","0.0714286","0.0113208","12","2","26","0","0","0","0","0","0","0","0","0","1","0","0","1048","1308","87","21","11","1","17","15","0","107","393","5","16","0","0","2","20","0","0","0","473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","androidbootstrap","com.beardedhen.androidbootstrap","L105","L103","0.0133308","11","134","27","0","0","0","0","0.347222","0.143296","560","75","141","0.45509","0.0795193","933","152","182","3348","4701","153","25","1","41","3","329","3","3","230","72","10800","12778","2179","33","16","7","48","54","17","420","1757","2016","24","7","17","6","318","89","0","0","1038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7036","androidbootstrap","com.fractalwrench.androidbootstrap","L7035","L103","0.245014","17","384","61","0.271407","0.333015","355","349","0","0","0","0","0","0.0714286","0.0113208","12","2","26","0","0","0","0","0","0","0","0","0","1","0","0","1048","1308","87","21","11","1","17","15","0","107","393","5","16","0","0","1","20","0","0","0","473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","api","com.beardedhen.androidbootstrap.api","L106","L103","0.0872428","7","116","19","0.0718016","0.160819","55","55","0","0","0","0","0","0.707317","0.4375","266","58","24","0","0","0","0","0","0","0","0","0","3","0","0","342","766","50","0","14","6","19","13","13","66","61","45","0","6","13","3","63","16","0","0","184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2860","font","com.beardedhen.androidbootstrap.font","L106","L103","0","0","0","0","0","0","0","0","0.409091","0.00651558","46","9","13","0.409091","0.00651558","46","9","13","7014","7121","1972","4","0","0","1","15","1964","0","15","0","7014","7121","1972","4","11","0","5","0","1","15","14","1964","4","0","1","0","15","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6965","utils","com.beardedhen.androidbootstrap.utils","L106","L103","0","0","0","0","0","0","0","0","0.714286","0.388535","61","10","4","0.714286","0.388535","61","10","4","96","190","4","4","0","0","0","10","4","0","10","1","96","190","4","4","11","0","4","0","0","10","30","4","4","0","0","0","10","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7037","sample","com.fractalwrench.androidbootstrap.sample","L7036","L103","0.245014","17","384","61","0","0","0","0","0.0714286","0.0113208","12","2","26","0.0714286","0.0113208","12","2","26","1048","1308","87","21","1","15","0","107","5","0","20","0","1048","1308","87","21","11","1","17","15","0","107","393","5","16","0","0","0","20","0","0","0","473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
