"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.349516","116","1050","341","0.274737","0.342947","4723","4031","0","0","0","0","0","0.138756","0.202037","2976","87","540","0","0","0","0","0","0","0","0","0","1","0","0","11754","17191","567","327","48","3","148","119","5","1164","5347","43","149","2","5","14","767","99","0","0","6605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.349516","116","1050","341","0.274737","0.342947","4723","4031","0","0","0","0","0","0.138756","0.202037","2976","87","540","0","0","0","0","0","0","0","0","0","2","0","0","11754","17191","567","327","48","3","148","119","5","1164","5347","43","149","2","5","13","767","99","0","0","6605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","github","com.github","L104","L103","0.338236","108","994","325","0.268431","0.334978","4351","3735","0","0","0","0","0","0.128664","0.199109","2772","79","535","0","0","0","0","0","0","0","0","0","1","0","0","11150","16209","515","317","36","3","144","115","3","1106","5055","43","147","2","3","6","735","77","0","0","6343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6288","google","com.google","L104","L103","0.571731","8","56","16","0.378819","0.490066","372","296","0","0","0","0","0","0.615385","0.252475","204","8","5","0","0","0","0","0","0","0","0","0","1","0","0","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","5","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","ksoichiro","com.github.ksoichiro","L105","L103","0.338236","108","994","325","0.268431","0.334978","4351","3735","0","0","0","0","0","0.128664","0.199109","2772","79","535","0","0","0","0","0","0","0","0","0","2","0","0","11150","16209","515","317","36","3","144","115","3","1106","5055","43","147","2","3","5","735","77","0","0","6343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6289","samples","com.google.samples","L6288","L103","0.571731","8","56","16","0.378819","0.490066","372","296","0","0","0","0","0","0.615385","0.252475","204","8","5","0","0","0","0","0","0","0","0","0","1","0","0","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","4","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","android","com.github.ksoichiro.android","L106","L103","0.338424","108","994","325","0.268647","0.335218","4351","3735","0","0","0","0","0","0.127451","0.199051","2769","78","534","0","0","0","0","0","0","0","0","0","1","0","0","11142","16196","515","316","30","3","143","115","3","1105","5054","43","146","2","3","3","734","77","0","0","6340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6266","myapplication","com.github.ksoichiro.myapplication","L106","L103","0","0","0","0","0","0","0","0","0.5","0.272727","3","1","1","0.5","0.272727","3","1","1","8","13","0","1","0","0","0","1","0","0","1","0","8","13","0","1","11","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6290","apps","com.google.samples.apps","L6289","L103","0.571731","8","56","16","0.378819","0.490066","372","296","0","0","0","0","0","0.615385","0.252475","204","8","5","0","0","0","0","0","0","0","0","0","1","0","0","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","3","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","observablescrollview","com.github.ksoichiro.android.observablescrollview","L107","L103","0.338424","108","994","325","0.884615","0.9375","115","105","0.23125","0.213849","664","37","123","0.127451","0.199051","2769","78","534","2441","3483","129","31","1","27","3","225","13","2","173","19","11142","16196","515","316","30","3","143","115","3","1105","5054","43","146","2","3","2","734","77","0","0","6340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6291","iosched","com.google.samples.apps.iosched","L6290","L103","0.571731","8","56","16","0.378819","0.490066","372","296","0","0","0","0","0","0.615385","0.252475","204","8","5","0","0","0","0","0","0","0","0","0","1","0","0","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","2","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L282","test","com.github.ksoichiro.android.observablescrollview.test","L108","L103","0.354279","40","181","80","0.395349","0.470588","17","16","0","0.0801086","236","0","189","0","0.0801086","236","0","189","2710","3533","100","117","1","20","0","328","9","0","269","25","2710","3533","100","117","13","1","42","20","0","328","1110","9","42","1","0","0","269","25","0","0","2290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3269","samples","com.github.ksoichiro.android.observablescrollview.samples","L108","L103","0.294687","68","492","163","0","0","0","0","0.155894","0.237786","1869","41","222","0.155894","0.237786","1869","41","222","5991","9180","286","168","1","68","0","552","21","0","292","33","5991","9180","286","168","13","1","89","68","0","552","2614","21","93","0","0","0","292","33","0","0","3010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6292","ui","com.google.samples.apps.iosched.ui","L6291","L103","0.571731","8","56","16","0.378819","0.490066","372","296","0","0","0","0","0","0.615385","0.252475","204","8","5","0","0","0","0","0","0","0","0","0","1","0","0","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","1","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6293","widget","com.google.samples.apps.iosched.ui.widget","L6292","L103","0.571731","8","56","16","0.388199","0.525773","125","102","0.615385","0.252475","204","8","5","0.615385","0.252475","204","8","5","604","982","52","10","0","4","2","58","0","0","32","22","604","982","52","10","25","0","4","4","2","58","292","0","2","0","2","0","32","22","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
