"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0712399","8","42","21","0.0750999","0.0760539","263","175","0","0","0","0","0","0.108434","0.118767","312","18","148","0","0","0","0","0","0","0","0","0","1","0","0","2315","3502","126","65","173","0","56","31","0","210","924","4","57","0","0","25","138","22","0","0","726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0712399","8","42","21","0.0750999","0.0760539","263","175","0","0","0","0","0","0.108434","0.118767","312","18","148","0","0","0","0","0","0","0","0","0","1","0","0","2315","3502","126","65","173","0","56","31","0","210","924","4","57","0","0","24","138","22","0","0","726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","hmkcode","com.hmkcode","L104","L103","0.0712399","8","42","21","0.171053","0.196429","13","11","0.416667","0.175141","31","5","7","0.108434","0.118767","312","18","148","146","234","3","5","0","1","0","11","0","10","10","0","2315","3502","126","65","173","0","56","31","0","210","924","4","57","0","0","23","138","22","0","0","726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L127","android","com.hmkcode.android","L105","L103","0.0769231","6","28","14","0","0","0","0","0.0333333","0.129564","110","1","29","0.12","0.131815","220","12","88","739","1117","32","21","0","7","0","65","0","11","38","6","1449","2200","71","43","114","0","35","22","0","138","562","2","36","0","0","11","90","15","0","0","473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1442","views","com.hmkcode.views","L105","L103","0.0835031","2","4","2","0.136095","0.166667","23","19","0","0.052381","11","0","8","0","0.052381","11","0","8","199","291","16","4","0","0","0","10","2","0","5","1","199","291","16","4","13","0","4","0","0","10","96","2","4","0","0","0","5","1","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1637","http","com.hmkcode.http","L105","L103","0.152941","1","2","1","0.152778","0.195652","11","9","0","0.0806452","5","0","6","0","0.0806452","5","0","6","57","91","1","2","0","1","0","7","0","0","4","0","57","91","1","2","8","0","2","1","0","7","21","0","2","0","0","0","4","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1689","drawing","com.hmkcode.drawing","L105","L103","0.10608","2","4","2","0.27551","0.287879","27","19","0","0.129412","11","0","5","0","0.117647","18","0","8","74","112","2","2","0","1","0","6","0","1","3","1","135","209","18","3","9","0","3","1","0","8","74","0","3","0","0","1","5","1","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1774","locations","com.hmkcode.locations","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","53","74","3","1","0","0","0","5","0","0","3","0","53","74","3","1","8","0","1","0","0","5","13","0","1","0","0","0","3","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1801","inputtextlayout","com.hmkcode.inputtextlayout","L105","L103","0","0","0","0","0","0","0","0","0","0.137931","4","0","3","0","0.137931","4","0","3","25","35","0","1","0","0","0","3","0","0","2","0","25","35","0","1","8","0","1","0","0","3","8","0","1","0","0","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1816","app","com.hmkcode.app","L105","L103","0","0","0","0","0","0","0","0","0","0.0465116","4","0","3","0","0.0465116","4","0","3","82","108","5","1","0","0","0","8","0","0","2","0","82","108","5","1","8","0","1","0","0","8","35","0","1","0","0","0","2","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1855","servlet","com.hmkcode.servlet","L105","L103","0","0","0","0","0","0","0","0","0","0.269231","14","0","1","0","0.269231","14","0","1","38","72","2","1","0","0","0","2","0","0","0","0","38","72","2","1","9","0","1","0","0","2","14","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1906","vo","com.hmkcode.vo","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","15","62","89","5","2","0","5","0","13","0","0","13","5","62","89","5","2","16","0","2","5","0","13","18","0","2","0","0","0","13","5","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1970","browser","com.hmkcode.browser","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166667","0.0675676","5","1","5","0","0","0","0","0","0","0","0","0","1","0","0","69","99","2","2","9","0","2","1","0","5","29","0","2","0","0","1","4","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L430","gcm","com.hmkcode.android.gcm","L127","L103","0","0","0","0","0","0","0","0","0","0.0454545","5","0","9","0","0.0454545","5","0","9","105","149","7","5","0","1","0","11","0","0","7","0","105","149","7","5","9","0","3","1","0","11","32","0","3","0","0","0","7","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L561","location","com.hmkcode.android.location","L127","L103","0","0","0","0","0","0","0","0","0.6","0.164835","15","3","2","0.6","0.164835","15","3","2","76","118","5","1","0","0","0","7","0","0","4","0","76","118","5","1","9","0","1","0","0","7","30","0","1","0","0","0","4","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L712","http","com.hmkcode.android.http","L127","L103","0.111429","1","2","1","0.0956522","0.116883","11","9","0.5","0.133333","12","1","1","0.5","0.133333","12","1","1","78","115","2","2","0","0","0","6","0","0","1","0","78","115","2","2","9","0","1","0","0","6","36","0","1","0","0","0","1","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L763","L","com.hmkcode.android.L","L127","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","10","15","0","1","0","0","0","1","0","0","0","0","10","15","0","1","9","0","1","0","0","1","2","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L980","vo","com.hmkcode.android.vo","L127","L103","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","8","29","41","3","1","0","3","0","7","0","0","7","3","29","41","3","1","9","0","1","3","0","7","7","0","1","0","0","0","7","3","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
