"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0888639","14","94","32","0.0615836","0.0898688","378","322","0","0","0","0","0","0.336032","0.299922","1535","83","164","0","0","0","0","0","0","0","0","0","1","0","0","3583","6138","161","70","32","4","36","52","8","413","1455","20","32","4","7","10","256","81","0","0","1277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0888639","14","94","32","0.0615836","0.0898688","378","322","0","0","0","0","0","0.336032","0.299922","1535","83","164","0","0","0","0","0","0","0","0","0","1","0","0","3583","6138","161","70","32","4","36","52","8","413","1455","20","32","4","7","9","256","81","0","0","1277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","handmark","com.handmark","L104","L103","0.0888639","14","94","32","0.0615836","0.0898688","378","322","0","0","0","0","0","0.336032","0.299922","1535","83","164","0","0","0","0","0","0","0","0","0","1","0","0","3583","6138","161","70","32","4","36","52","8","413","1455","20","32","4","7","8","256","81","0","0","1277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","pulltorefresh","com.handmark.pulltorefresh","L105","L103","0.0888639","14","94","32","0.0615836","0.0898688","378","322","0","0","0","0","0","0.336032","0.299922","1535","83","164","0","0","0","0","0","0","0","0","0","3","0","0","3583","6138","161","70","32","4","36","52","8","413","1455","20","32","4","7","7","256","81","0","0","1277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","extras","com.handmark.pulltorefresh.extras","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333","0.536082","104","2","4","0","0","0","0","0","0","0","0","0","2","0","0","90","229","1","4","18","0","4","2","0","11","27","0","3","0","0","2","5","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L285","library","com.handmark.pulltorefresh.library","L106","L103","0.0902965","9","65","21","0","0","0","0","0.411392","0.32405","989","65","93","0.347619","0.307385","1232","73","137","2063","3619","84","25","4","41","7","265","19","2","164","62","2776","4778","122","36","11","4","21","47","8","344","1181","19","18","4","7","2","212","81","0","0","925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2412","samples","com.handmark.pulltorefresh.samples","L106","L103","0.0948905","5","29","11","0.384615","0.555556","30","30","0.258065","0.217249","199","8","23","0.258065","0.217249","199","8","23","717","1131","38","30","0","3","0","58","1","0","39","0","717","1131","38","30","9","0","11","3","0","58","247","1","11","0","0","0","39","0","0","0","320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","listfragment","com.handmark.pulltorefresh.extras.listfragment","L107","L103","0","0","0","0","0","0","0","0","1","0.649635","89","2","0","1","0.649635","89","2","0","48","158","1","3","0","1","0","5","0","0","2","0","48","158","1","3","11","0","3","1","0","5","11","0","2","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L225","viewpager","com.handmark.pulltorefresh.extras.viewpager","L107","L103","0","0","0","0","0","0","0","0","0","0.263158","15","0","4","0","0.263158","15","0","4","42","71","0","1","0","1","0","6","0","0","3","0","42","71","0","1","11","0","1","1","0","6","16","0","1","0","0","0","3","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L304","extras","com.handmark.pulltorefresh.library.extras","L285","L103","0","0","0","0","0","0","0","0","0.5","0.528497","102","5","5","0.5","0.528497","102","5","5","91","230","9","3","0","1","0","14","0","0","10","0","91","230","9","3","10","0","2","1","0","14","27","0","2","0","0","0","10","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L482","internal","com.handmark.pulltorefresh.library.internal","L285","L103","0.0533784","1","10","2","0","0","0","0","0.0714286","0.184797","141","3","39","0.0714286","0.184797","141","3","39","622","929","29","8","0","5","1","65","0","0","38","19","622","929","29","8","10","0","7","5","1","65","271","0","6","0","1","0","38","19","0","0","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
