"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.074105","20","121","43","0.0384367","0.0709829","536","512","0","0","0","0","0","0.62439","0.423897","5311","384","231","0","0","0","0","0","0","0","0","0","1","0","0","7218","13945","454","121","47","6","88","130","13","815","3068","57","72","6","13","25","627","24","0","0","1736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.074105","20","121","43","0.0384367","0.0709829","536","512","0","0","0","0","0","0.62439","0.423897","5311","384","231","0","0","0","0","0","0","0","0","0","1","0","0","7218","13945","454","121","47","6","88","130","13","815","3068","57","72","6","13","24","627","24","0","0","1736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","nostra13","com.nostra13","L104","L103","0.074105","20","121","43","0.0384367","0.0709829","536","512","0","0","0","0","0","0.62439","0.423897","5311","384","231","0","0","0","0","0","0","0","0","0","1","0","0","7218","13945","454","121","47","6","88","130","13","815","3068","57","72","6","13","23","627","24","0","0","1736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","universalimageloader","com.nostra13.universalimageloader","L105","L103","0.074105","20","121","43","0.0384367","0.0709829","536","512","0","0","0","0","0","0.62439","0.423897","5311","384","231","0","0","0","0","0","0","0","0","0","4","0","0","7218","13945","454","121","47","6","88","130","13","815","3068","57","72","6","13","22","627","24","0","0","1736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","cache","com.nostra13.universalimageloader.cache","L106","L103","0.0229486","1","8","2","0.0143885","0.0244716","44","44","0","0","0","0","0","0.431034","0.340909","930","50","66","0","0","0","0","0","0","0","0","0","2","0","0","1798","3058","97","26","17","0","22","23","3","188","803","6","18","0","3","6","138","8","0","0","382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1569","core","com.nostra13.universalimageloader.core","L106","L103","0.119429","17","97","37","0","0","0","0","0.830769","0.39927","1094","108","22","0.70197","0.492815","3704","285","121","1646","3061","181","20","0","28","0","199","4","7","143","1","3812","8334","298","51","27","6","43","78","9","495","1688","37","29","6","9","8","385","16","0","0","940","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4922","utils","com.nostra13.universalimageloader.utils","L106","L103","0.0575621","1","8","2","0","0","0","0","0.794872","0.459422","334","31","8","0.794872","0.459422","334","31","8","393","804","12","7","0","7","1","44","3","0","33","0","393","804","12","7","11","0","6","7","1","44","186","3","6","0","1","0","33","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5167","sample","com.nostra13.universalimageloader.sample","L106","L103","0.0164081","1","8","2","0","0","0","0","0.333333","0.241667","58","2","4","0.333333","0.220154","343","18","36","182","238","4","4","0","0","0","3","4","4","2","0","1215","1749","47","37","15","0","17","22","0","88","391","11","19","0","0","4","71","0","0","0","346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","disc","com.nostra13.universalimageloader.cache.disc","L107","L103","0","0","0","0","0","0","0","0","1","0.802632","61","8","0","0.5","0.334233","619","27","27","15","86","0","0","0","1","1","7","0","2","7","0","1233","2049","77","16","15","0","11","17","2","118","593","6","8","0","2","3","87","8","0","0","211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1169","memory","com.nostra13.universalimageloader.cache.memory","L107","L103","0.0735357","1","8","2","0","0","0","0","0.529412","0.449495","89","9","8","0.370968","0.355023","311","23","39","109","234","6","2","0","2","1","18","0","1","14","0","565","1009","20","10","13","0","11","6","1","70","210","0","10","0","1","1","51","0","0","0","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
