"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0634921","6","31","13","0.0400825","0.0488171","136","130","0","0","0","0","0","0.114173","0.0733913","211","29","225","0","0","0","0","0","0","0","0","0","1","0","0","2664","3393","85","62","23","4","22","56","8","316","1251","14","21","4","8","10","276","29","0","0","1055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0634921","6","31","13","0.0400825","0.0488171","136","130","0","0","0","0","0","0.114173","0.0733913","211","29","225","0","0","0","0","0","0","0","0","0","1","0","0","2664","3393","85","62","23","4","22","56","8","316","1251","14","21","4","8","9","276","29","0","0","1055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","daimajia","com.daimajia","L104","L103","0.0634921","6","31","13","0.0400825","0.0488171","136","130","0","0","0","0","0","0.114173","0.0733913","211","29","225","0","0","0","0","0","0","0","0","0","2","0","0","2664","3393","85","62","23","4","22","56","8","316","1251","14","21","4","8","8","276","29","0","0","1055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","swipedemo","com.daimajia.swipedemo","L105","L103","0.127599","4","11","9","0","0","0","0","0.0833333","0.0978261","45","1","11","0.0526316","0.0662651","55","3","54","415","539","10","31","0","0","0","42","0","1","37","0","775","981","23","46","12","0","11","13","1","88","302","0","12","0","1","2","82","0","0","0","453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L963","swipe","com.daimajia.swipe","L105","L103","0.0310707","2","20","4","0","0","0","0","0.229167","0.0906018","134","22","74","0.13198","0.0762836","156","26","171","1345","1683","44","6","3","16","5","124","10","4","97","20","1889","2412","62","16","14","4","11","43","7","228","949","14","9","4","7","4","194","29","0","0","602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L122","adapter","com.daimajia.swipedemo.adapter","L106","L103","0.0787845","1","4","2","0","0","0","0","0.0625","0.0221239","5","2","30","0.0444444","0.027027","10","2","43","221","276","8","12","0","11","0","34","0","1","34","0","360","442","13","15","12","0","6","13","1","46","129","0","7","0","1","1","45","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L973","adapters","com.daimajia.swipe.adapters","L963","L103","0","0","0","0","0","0","0","0","0.0416667","0.0524862","19","3","69","0.0416667","0.0524862","19","3","69","343","463","5","5","0","20","0","71","1","0","67","5","343","463","5","5","11","0","5","20","0","71","77","1","5","0","0","0","67","5","0","0","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1239","implments","com.daimajia.swipe.implments","L963","L103","0","0","0","0","0","0","0","0","0.0769231","0.0169492","3","1","12","0.0769231","0.0169492","3","1","12","174","216","11","4","0","3","0","21","1","0","18","3","174","216","11","4","11","0","1","3","0","21","68","1","1","0","0","0","18","3","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1367","interfaces","com.daimajia.swipe.interfaces","L963","L103","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","14","21","40","0","0","0","4","2","12","0","0","12","1","21","40","0","0","11","0","2","4","2","12","0","0","0","0","2","0","12","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2211","util","com.daimajia.swipe.util","L963","L103","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","6","10","2","1","1","0","0","0","2","0","0","0","6","10","2","1","11","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L412","util","com.daimajia.swipedemo.adapter.util","L122","L103","0.210843","1","4","2","0.168","0.188679","21","20","0","0.0347222","5","0","13","0","0.0347222","5","0","13","139","166","5","3","0","2","1","12","0","0","11","0","139","166","5","3","12","0","2","2","1","12","68","0","2","0","1","0","11","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
