"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0820673","3","10","10","0.0329637","0.0771388","110","110","0","0","0","0","0","0.0180723","0.506745","1465","3","163","0","0","0","0","0","0","0","0","0","1","0","0","1426","3337","88","80","31","1","69","8","1","127","234","64","70","1","1","17","110","4","0","0","754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0820673","3","10","10","0.0329637","0.0771388","110","110","0","0","0","0","0","0.0180723","0.506745","1465","3","163","0","0","0","0","0","0","0","0","0","1","0","0","1426","3337","88","80","31","1","69","8","1","127","234","64","70","1","1","16","110","4","0","0","754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","daimajia","com.daimajia","L104","L103","0.0820673","3","10","10","0.0329637","0.0771388","110","110","0","0","0","0","0","0.0180723","0.506745","1465","3","163","0","0","0","0","0","0","0","0","0","1","0","0","1426","3337","88","80","31","1","69","8","1","127","234","64","70","1","1","15","110","4","0","0","754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","androidanimations","com.daimajia.androidanimations","L105","L103","0.0820673","3","10","10","0","0","0","0","0","0.0326797","5","0","10","0.0180723","0.506745","1465","3","163","148","189","5","8","0","4","0","17","0","1","15","0","1426","3337","88","80","31","1","69","8","1","127","234","64","70","1","1","14","110","4","0","0","754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L349","library","com.daimajia.androidanimations.library","L106","L103","0.0909483","3","10","10","0","0","0","0","0.0789474","0.183486","80","3","35","0.0192308","0.533236","1460","3","153","356","527","83","9","1","4","1","47","64","11","40","4","1278","3148","83","72","24","1","66","4","1","110","189","64","67","1","1","13","95","4","0","0","696","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","attention","com.daimajia.androidanimations.library.attention","L349","L103","0","0","0","0","0","0","0","0","0","0.626703","230","0","20","0","0.626703","230","0","20","137","420","0","10","0","0","0","10","0","0","10","0","137","420","0","10","12","0","10","0","0","10","16","0","10","0","0","0","10","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L476","bouncing_entrances","com.daimajia.androidanimations.library.bouncing_entrances","L349","L103","0","0","0","0","0","0","0","0","0","0.635359","115","0","10","0","0.635359","115","0","10","66","208","0","5","0","0","0","5","0","0","5","0","66","208","0","5","12","0","5","0","0","5","5","0","5","0","0","0","5","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L503","fading_entrances","com.daimajia.androidanimations.library.fading_entrances","L349","L103","0","0","0","0","0","0","0","0","0","0.642458","115","0","10","0","0.642458","115","0","10","64","204","0","5","0","0","0","5","0","0","5","0","64","204","0","5","12","0","5","0","0","5","5","0","5","0","0","0","5","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L530","fading_exits","com.daimajia.androidanimations.library.fading_exits","L349","L103","0","0","0","0","0","0","0","0","0","0.642458","115","0","10","0","0.642458","115","0","10","64","204","0","5","0","0","0","5","0","0","5","0","64","204","0","5","12","0","5","0","0","5","5","0","5","0","0","0","5","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L557","flippers","com.daimajia.androidanimations.library.flippers","L349","L103","0","0","0","0","0","0","0","0","0","0.638889","92","0","8","0","0.638889","92","0","8","52","164","0","4","0","0","0","4","0","0","4","0","52","164","0","4","12","0","4","0","0","4","4","0","4","0","0","0","4","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L579","rotating_entrances","com.daimajia.androidanimations.library.rotating_entrances","L349","L103","0.547046","2","4","4","0","0","0","0","0","0.586735","115","0","10","0","0.586735","115","0","10","81","221","0","5","0","0","0","5","0","0","5","0","81","221","0","5","12","0","5","0","0","5","13","0","5","0","0","0","5","0","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L606","rotating_exits","com.daimajia.androidanimations.library.rotating_exits","L349","L103","0.547046","2","4","4","0","0","0","0","0","0.586735","115","0","10","0","0.586735","115","0","10","81","221","0","5","0","0","0","5","0","0","5","0","81","221","0","5","12","0","5","0","0","5","13","0","5","0","0","0","5","0","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L633","sliders","com.daimajia.androidanimations.library.sliders","L349","L103","0","0","0","0","0","0","0","0","0","0.599349","184","0","16","0","0.599349","184","0","16","123","347","0","8","0","0","0","8","0","0","8","0","123","347","0","8","12","0","8","0","0","8","20","0","8","0","0","0","8","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L685","specials","com.daimajia.androidanimations.library.specials","L349","L103","0","0","0","0","0","0","0","0","0","0.584746","69","0","6","0","0.415663","69","0","9","49","135","0","3","0","0","0","3","0","2","3","0","97","195","0","6","14","0","6","0","0","6","10","0","6","0","0","2","3","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1082","zooming_entrances","com.daimajia.androidanimations.library.zooming_entrances","L349","L103","0","0","0","0","0","0","0","0","0","0.598958","115","0","10","0","0.598958","115","0","10","77","217","0","5","0","0","0","5","0","0","5","0","77","217","0","5","12","0","5","0","0","5","7","0","5","0","0","0","5","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1104","zooming_exits","com.daimajia.androidanimations.library.zooming_exits","L349","L103","0.284483","1","2","2","0","0","0","0","0","0.589744","115","0","5","0","0.589744","115","0","5","80","220","0","5","0","0","0","5","0","0","0","0","80","220","0","5","12","0","5","0","0","5","9","0","5","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L697","in","com.daimajia.androidanimations.library.specials.in","L685","L103","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","32","40","0","2","0","0","0","2","0","0","0","0","32","40","0","2","13","0","2","0","0","2","3","0","2","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L710","out","com.daimajia.androidanimations.library.specials.out","L685","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","16","20","0","1","0","0","0","1","0","0","0","0","16","20","0","1","13","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
