"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0955813","8","26","18","0.0624107","0.0823031","262","233","0","0","0","0","0","0.385496","0.18929","661","101","161","0","0","0","0","0","0","0","0","0","1","0","0","2831","4198","162","62","43","1","46","33","6","299","1144","9","39","0","6","16","245","65","0","0","1039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0955813","8","26","18","0.0624107","0.0823031","262","233","0","0","0","0","0","0.385496","0.18929","661","101","161","0","0","0","0","0","0","0","0","0","2","0","0","2831","4198","162","62","43","1","46","33","6","299","1144","9","39","0","6","15","245","65","0","0","1039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","amqtech","com.amqtech","L104","L103","0.133852","4","10","10","0.0860729","0.110236","144","126","0","0","0","0","0","0.329787","0.161409","220","31","63","0","0","0","0","0","0","0","0","0","1","0","0","1143","1673","53","36","25","0","23","14","1","107","416","0","22","0","1","9","86","12","0","0","559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1181","github","com.github","L104","L103","0.0671192","4","16","8","0.0467327","0.0633886","118","107","0","0","0","0","0","0.416667","0.20714","441","70","98","0","0","0","0","0","0","0","0","0","1","0","0","1688","2525","109","26","26","1","23","19","5","192","728","9","17","0","5","4","159","53","0","0","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","opensource","com.amqtech.opensource","L105","L103","0.133852","4","10","10","0.0860729","0.110236","144","126","0","0","0","0","0","0.329787","0.161409","220","31","63","0","0","0","0","0","0","0","0","0","1","0","0","1143","1673","53","36","25","0","23","14","1","107","416","0","22","0","1","8","86","12","0","0","559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1182","paolorotolo","com.github.paolorotolo","L1181","L103","0.0671192","4","16","8","0.0467327","0.0633886","118","107","0","0","0","0","0","0.416667","0.20714","441","70","98","0","0","0","0","0","0","0","0","0","2","0","0","1688","2525","109","26","26","1","23","19","5","192","728","9","17","0","5","3","159","53","0","0","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","appintroexample","com.amqtech.opensource.appintroexample","L106","L103","0.133852","4","10","10","0.0860729","0.110236","144","126","0","0","0","0","0","0.329787","0.161409","220","31","63","0","0","0","0","0","0","0","0","0","2","0","0","1143","1673","53","36","25","0","23","14","1","107","416","0","22","0","1","7","86","12","0","0","559","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1183","appintroexample","com.github.paolorotolo.appintroexample","L1182","L103","0","0","0","0","0","0","0","0","0.1","0.0909091","17","1","9","0.1","0.0909091","17","1","9","170","230","6","2","0","0","0","15","1","0","8","0","170","230","6","2","11","0","2","0","0","15","89","1","2","0","0","0","8","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1256","appintro","com.github.paolorotolo.appintro","L1182","L103","0.0810565","4","16","8","0","0","0","0","0.455782","0.217724","398","67","80","0.436709","0.218332","424","69","89","1430","2158","98","22","1","19","5","166","8","1","142","53","1518","2295","103","24","18","1","21","19","5","177","639","8","15","0","5","1","151","53","0","0","441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","util","com.amqtech.opensource.appintroexample.util","L107","L103","0","0","0","0","0","0","0","0","0.282051","0.211034","153","11","28","0.282051","0.211034","153","11","28","572","869","39","10","0","6","1","53","0","0","39","12","572","869","39","10","19","0","6","6","1","53","262","0","5","0","1","0","39","12","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L794","ui","com.amqtech.opensource.appintroexample.ui","L107","L103","0.241684","4","10","10","0","0","0","0","0","0","0","0","1","0.363636","0.105016","67","20","35","64","77","0","2","0","0","0","2","0","3","1","0","571","804","14","26","17","0","17","8","0","54","154","0","17","0","0","5","47","0","0","0","432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
