"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.049203","5","24","12","0.0244604","0.0361779","136","131","0","0","0","0","0","0.471698","0.228492","1073","175","196","0","0","0","0","0","0","0","0","0","1","0","0","3623","5560","181","97","41","0","65","99","7","443","1501","40","62","0","7","18","349","68","0","0","1295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.049203","5","24","12","0.0244604","0.0361779","136","131","0","0","0","0","0","0.471698","0.228492","1073","175","196","0","0","0","0","0","0","0","0","0","1","0","0","3623","5560","181","97","41","0","65","99","7","443","1501","40","62","0","7","17","349","68","0","0","1295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","chad","com.chad","L104","L103","0.049203","5","24","12","0.0244604","0.0361779","136","131","0","0","0","0","0","0.471698","0.228492","1073","175","196","0","0","0","0","0","0","0","0","0","2","0","0","3623","5560","181","97","41","0","65","99","7","443","1501","40","62","0","7","16","349","68","0","0","1295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","baserecyclerviewadapterhelper","com.chad.baserecyclerviewadapterhelper","L105","L103","0.0770813","3","10","8","0","0","0","0","0.52381","0.0944798","89","11","10","0.31746","0.117304","221","40","86","853","1106","46","40","0","10","0","76","0","7","42","0","1663","2265","96","71","27","0","40","42","0","175","637","22","42","0","0","7","122","13","0","0","784","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1626","library","com.chad.library","L105","L103","0.0173289","2","14","4","0.0127466","0.0204186","42","40","0","0","0","0","0","0.55102","0.302987","852","135","110","0","0","0","0","0","0","0","0","0","1","0","0","1960","3295","85","26","17","0","25","57","7","268","864","18","20","0","7","7","227","55","0","0","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","adapter","com.chad.baserecyclerviewadapterhelper.adapter","L106","L103","0.108179","1","2","2","0","0","0","0","0.4","0.117359","48","12","18","0.4","0.117359","48","12","18","361","492","13","15","0","3","0","34","3","0","21","0","361","492","13","15","11","0","10","3","0","34","103","3","12","0","0","0","21","0","0","0","203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L588","animation","com.chad.baserecyclerviewadapterhelper.animation","L106","L103","0","0","0","0","0","0","0","0","0.5","0.176471","3","1","1","0.5","0.176471","3","1","1","14","22","0","1","0","1","0","1","0","0","1","0","14","22","0","1","11","0","1","1","0","1","1","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L691","data","com.chad.baserecyclerviewadapterhelper.data","L106","L103","0.221014","1","4","2","0.184211","0.243902","21","20","0.166667","0.154639","15","1","5","0.166667","0.154639","15","1","5","82","114","2","1","0","4","0","6","0","0","5","0","82","114","2","1","11","0","1","4","0","6","62","0","1","0","0","0","5","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L789","decoration","com.chad.baserecyclerviewadapterhelper.decoration","L106","L103","0","0","0","0","0","0","0","0","0.333333","0.119403","8","2","4","0.333333","0.119403","8","2","4","59","83","2","1","0","1","0","5","0","0","5","0","59","83","2","1","11","0","1","1","0","5","32","0","1","0","0","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L912","entity","com.chad.baserecyclerviewadapterhelper.entity","L106","L103","0","0","0","0","0","0","0","0","0.196429","0.17931","52","11","45","0.196429","0.17931","52","11","45","238","365","33","11","0","18","0","45","19","0","45","13","238","365","33","11","11","0","11","18","0","45","55","19","11","0","0","0","45","13","0","0","148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
