"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.234295","123","2356","403","0.161657","0.222673","4475","3952","0","0","0","0","0","0.169508","0.263215","6344","179","877","0","0","0","0","0","0","0","0","0","1","0","0","17758","27682","451","775","36","0","181","289","0","1451","8060","105","465","0","0","20","963","35","0","0","7337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.234295","123","2356","403","0.161657","0.222673","4475","3952","0","0","0","0","0","0.169508","0.263215","6344","179","877","0","0","0","0","0","0","0","0","0","2","0","0","17758","27682","451","775","36","0","181","289","0","1451","8060","105","465","0","0","19","963","35","0","0","7337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","morgoo","com.morgoo","L104","L103","0.245361","115","2334","385","0.16517","0.232812","4248","3752","0","0","0","0","0","0.172088","0.28086","6298","164","789","0","0","0","0","0","0","0","0","0","3","0","0","16126","25719","408","701","29","0","154","274","0","1322","7280","99","423","0","0","15","861","34","0","0","6537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9482","example","com.example","L104","L103","0.144221","8","22","18","0.115639","0.122549","227","200","0","0","0","0","0","0.145631","0.0274136","46","15","88","0","0","0","0","0","0","0","0","0","2","0","0","1632","1963","43","74","15","0","27","15","0","129","780","6","42","0","0","2","102","1","0","0","800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","droidplugin","com.morgoo.droidplugin","L105","L103","0.26309","113","2297","377","0","0","0","0","0.26087","0.222892","111","6","17","0.148055","0.262121","5228","118","679","387","593","20","6","0","5","0","28","0","6","19","0","14717","22787","328","651","21","0","108","261","0","1189","6758","83","375","0","0","11","751","33","0","0","6031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8675","helper","com.morgoo.helper","L105","L103","0.0417818","5","37","8","0","0","0","0","0.119048","0.220968","137","5","37","0.298013","0.437938","1062","45","106","483","718","28","8","0","3","0","46","3","1","36","0","1363","2868","78","49","11","0","45","13","0","128","503","16","47","0","0","1","106","1","0","0","495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9447","nativec","com.morgoo.nativec","L105","L103","0","0","0","0","0","0","0","0","0.2","0.148148","8","1","4","0.2","0.148148","8","1","4","46","64","2","1","0","0","0","5","0","0","4","0","46","64","2","1","10","0","1","0","0","5","19","0","1","0","0","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9483","ApiTest","com.example.ApiTest","L9482","L103","0.178287","7","18","16","0","0","0","0","0.189873","0.0447316","45","15","64","0.189873","0.0447316","45","15","64","961","1190","27","50","0","8","0","76","6","0","60","0","961","1190","27","50","10","0","23","8","0","76","476","6","38","0","0","0","60","0","0","0","547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10057","TestPlugin","com.example.TestPlugin","L9482","L103","0.0855007","1","4","2","0.0694864","0.0622837","23","18","0","0.0014881","1","0","24","0","0.0014881","1","0","24","671","773","16","24","0","7","0","53","0","0","42","1","671","773","16","24","9","0","4","7","0","53","304","0","4","0","0","0","42","1","0","0","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L122","am","com.morgoo.droidplugin.am","L106","L103","0.258421","10","133","27","0","0","0","0","0.113636","0.136364","222","5","39","0.113636","0.136364","222","5","39","1406","1875","48","17","0","22","0","119","0","0","54","3","1406","1875","48","17","11","0","6","22","0","119","723","0","3","0","0","0","54","3","0","0","454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
