"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0567569","11","38","22","0.0365948","0.0514867","285","258","0","0","0","0","0","0.13089","0.245559","1631","75","498","0","0","0","0","0","0","0","0","0","1","0","0","5011","7788","262","160","33","1","81","47","9","567","2177","30","131","1","8","9","458","20","0","0","1964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0567569","11","38","22","0.0365948","0.0514867","285","258","0","0","0","0","0","0.13089","0.245559","1631","75","498","0","0","0","0","0","0","0","0","0","1","0","0","5011","7788","262","160","33","1","81","47","9","567","2177","30","131","1","8","8","458","20","0","0","1964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","greenrobot","org.greenrobot","L104","L103","0.0567569","11","38","22","0.0365948","0.0514867","285","258","0","0","0","0","0","0.13089","0.245559","1631","75","498","0","0","0","0","0","0","0","0","0","2","0","0","5011","7788","262","160","33","1","81","47","9","567","2177","30","131","1","8","7","458","20","0","0","1964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","eventbus","org.greenrobot.eventbus","L105","L103","0.0450296","7","18","14","0","0","0","0","0.163636","0.227353","896","54","276","0.154185","0.254947","1456","70","384","3045","4623","167","100","1","7","5","340","16","4","274","5","4255","6667","223","137","27","1","71","26","9","459","1871","27","109","1","8","4","359","12","0","0","1549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3343","eventbusperf","org.greenrobot.eventbusperf","L105","L103","0.124547","4","20","8","0","0","0","0","0.113636","0.280353","127","5","39","0.0420168","0.18797","175","5","114","326","540","26","8","0","11","0","42","3","1","39","8","756","1121","39","23","9","0","10","21","0","108","306","3","22","0","0","1","99","8","0","0","415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L820","meta","org.greenrobot.eventbus.meta","L106","L103","0","0","0","0","0","0","0","0","0.222222","0.439153","83","4","14","0.222222","0.439153","83","4","14","106","220","9","3","0","7","2","17","0","0","13","0","106","220","9","3","9","0","5","7","2","17","33","0","3","0","2","0","13","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1201","util","org.greenrobot.eventbus.util","L106","L103","0","0","0","0","0","0","0","0","0.181818","0.247619","182","12","54","0.181818","0.247619","182","12","54","553","860","40","15","0","7","2","65","9","0","51","6","553","860","40","15","9","0","8","7","2","65","229","9","14","0","2","0","51","6","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1755","annotationprocessor","org.greenrobot.eventbus.annotationprocessor","L106","L103","0","0","0","0","0","0","0","0","0","0.0626566","25","0","3","0","0.0626566","25","0","3","374","433","7","1","0","5","0","17","2","0","2","0","374","433","7","1","9","0","1","5","0","17","219","2","1","0","0","0","2","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3215","indexed","org.greenrobot.eventbus.indexed","L106","L103","0","0","0","0","0","0","0","0","0","0.604027","270","0","37","0","0.604027","270","0","37","177","531","0","18","0","0","0","20","0","0","19","1","177","531","0","18","9","0","18","0","0","20","20","0","18","0","0","0","19","1","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3669","testsubject","org.greenrobot.eventbusperf.testsubject","L3343","L103","0.2434","4","20","8","0.148148","0.19214","44","44","0","0.100418","48","0","75","0","0.100418","48","0","75","430","581","13","15","0","10","0","66","0","0","60","0","430","581","13","15","9","0","3","10","0","66","176","0","15","0","0","0","60","0","0","0","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
