"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0519549","94","674","235","0.0350429","0.0500142","2979","2642","0","0","0","0","0","0.563344","0.306264","23326","1543","1196","0","0","0","0","0","0","0","0","0","1","0","0","52837","85010","3938","644","200","0","429","657","91","4543","24381","1031","363","0","85","51","3373","183","0","0","11564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0519549","94","674","235","0.0350429","0.0500142","2979","2642","0","0","0","0","0","0.563344","0.306264","23326","1543","1196","0","0","0","0","0","0","0","0","0","1","0","0","52837","85010","3938","644","200","0","429","657","91","4543","24381","1031","363","0","85","50","3373","183","0","0","11564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","google","com.google","L104","L103","0.0519549","94","674","235","0.0350429","0.0500142","2979","2642","0","0","0","0","0","0.563344","0.306264","23326","1543","1196","0","0","0","0","0","0","0","0","0","1","0","0","52837","85010","3938","644","200","0","429","657","91","4543","24381","1031","363","0","85","49","3373","183","0","0","11564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","com.google.android","L105","L103","0.0519549","94","674","235","0.0350429","0.0500142","2979","2642","0","0","0","0","0","0.563344","0.306264","23326","1543","1196","0","0","0","0","0","0","0","0","0","1","0","0","52837","85010","3938","644","200","0","429","657","91","4543","24381","1031","363","0","85","48","3373","183","0","0","11564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","exoplayer2","com.google.android.exoplayer2","L106","L103","0.0519549","94","674","235","0","0","0","0","0.706897","0.399923","2078","164","68","0.563344","0.306264","23326","1543","1196","3118","5817","285","23","0","77","8","338","166","17","276","26","52837","85010","3938","644","200","0","429","657","91","4543","24381","1031","363","0","85","47","3373","183","0","0","11564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L144","demo","com.google.android.exoplayer2.demo","L107","L103","0.00906843","1","12","2","0","0","0","0","0.4","0.102774","163","8","12","0.4","0.102774","163","8","12","1423","1785","63","12","0","20","0","112","19","0","70","1","1423","1785","63","12","12","0","5","20","0","112","641","19","3","0","0","0","70","1","0","0","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1714","ext","com.google.android.exoplayer2.ext","L107","L103","0.0771663","11","49","17","0.0562954","0.078125","279","255","0","0","0","0","0","0.383562","0.255305","1119","56","90","0","0","0","0","0","0","0","0","0","6","0","0","3264","4956","198","52","96","0","33","27","1","316","1406","20","26","0","1","6","209","16","0","0","912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4156","drm","com.google.android.exoplayer2.drm","L107","L103","0.0134506","1","2","2","0","0","0","0","0.645455","0.398039","609","71","39","0.645455","0.398039","609","71","39","921","1746","50","20","0","25","9","121","15","0","108","8","921","1746","50","20","19","0","13","25","9","121","325","15","9","0","9","0","108","8","0","0","281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5032","extractor","com.google.android.exoplayer2.extractor","L107","L103","0.0442936","29","208","62","0","0","0","0","0.618705","0.433983","1180","86","53","0.386534","0.275456","5570","155","246","1539","3054","88","14","0","23","7","158","24","8","137","6","14651","22253","1229","162","35","0","102","86","13","938","7148","322","61","0","8","8","671","20","0","0","2610","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12304","metadata","com.google.android.exoplayer2.metadata","L107","L103","0","0","0","0","0","0","0","0","0.666667","0.453704","98","10","5","0.527778","0.391608","280","19","17","118","247","9","2","0","0","2","15","0","1","11","0","435","842","32","11","21","0","12","1","2","38","207","19","11","0","2","1","23","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12567","source","com.google.android.exoplayer2.source","L107","L103","0.0389099","12","83","24","0.0996678","0.214286","30","30","0.57377","0.324954","892","70","52","0.570025","0.282674","3400","232","175","1853","3096","141","37","0","35","10","211","10","4","190","1","8628","13558","697","125","32","0","73","155","18","772","3843","139","67","0","18","7","602","5","0","0","2184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18274","text","com.google.android.exoplayer2.text","L107","L103","0.0762191","15","65","30","0","0","0","0","0.673913","0.496489","495","31","15","0.333333","0.250343","1642","57","114","502","1120","46","9","0","11","4","52","30","5","36","3","4917","7336","351","45","27","0","43","75","4","408","2434","107","25","0","4","5","274","42","0","0","1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20796","upstream","com.google.android.exoplayer2.upstream","L107","L103","0.0724323","8","95","15","0","0","0","0","0.559322","0.409345","1463","132","104","0.540059","0.389846","2081","182","155","2111","4044","166","35","0","24","14","214","33","1","196","3","3257","6038","231","48","21","0","43","36","18","332","1410","43","44","0","18","1","281","9","0","0","701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23001","util","com.google.android.exoplayer2.util","L107","L103","0.13617","14","44","31","0","0","0","0","0.761733","0.378503","1972","211","66","0.761733","0.378503","1972","211","66","3238","5746","154","34","0","31","3","295","80","0","247","5","3238","5746","154","34","19","0","30","31","3","295","1677","80","30","0","3","0","247","5","0","0","560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24251","audio","com.google.android.exoplayer2.audio","L107","L103","0.0852818","10","47","18","0","0","0","0","0.835165","0.359194","963","76","15","0.835165","0.359194","963","76","15","1718","2951","116","24","0","26","2","158","9","0","105","7","1718","2951","116","24","12","0","9","26","2","158","783","9","12","0","2","0","105","7","0","0","439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25468","decoder","com.google.android.exoplayer2.decoder","L107","L103","0","0","0","0","0","0","0","0","0.761905","0.506901","404","32","10","0.761905","0.506901","404","32","10","393","897","39","8","0","3","1","51","22","0","34","2","393","897","39","8","12","0","8","3","1","51","164","22","7","0","1","0","34","2","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26847","mediacodec","com.google.android.exoplayer2.mediacodec","L107","L103","0","0","0","0","0","0","0","0","0.766667","0.3337","607","23","7","0.766667","0.3337","607","23","7","1212","1983","73","9","0","22","2","92","9","0","42","0","1212","1983","73","9","12","0","4","22","2","92","556","9","5","0","1","0","42","0","0","0","173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27977","trackselection","com.google.android.exoplayer2.trackselection","L107","L103","0.0257669","4","6","4","0.0398406","0.0675676","10","10","0.742188","0.403182","887","95","33","0.742188","0.403182","887","95","33","1313","2445","69","16","0","39","4","137","24","0","112","3","1313","2445","69","16","12","0","9","39","4","137","636","24","14","0","4","0","112","3","0","0","214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28717","ui","com.google.android.exoplayer2.ui","L107","L103","0","0","0","0","0","0","0","0","0.666667","0.248489","411","44","22","0.666667","0.248489","411","44","22","1243","1853","93","10","0","13","1","109","8","0","82","26","1243","1853","93","10","12","0","6","13","1","109","598","8","5","0","1","0","82","26","0","0","202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L29549","video","com.google.android.exoplayer2.video","L107","L103","0.0410035","5","18","9","0","0","0","0","0.941176","0.296","370","32","2","0.941176","0.296","370","32","2","880","1383","65","14","0","7","1","81","11","0","41","1","880","1383","65","14","12","0","5","7","1","81","415","11","5","0","1","0","41","1","0","0","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L29993","playbacktests","com.google.android.exoplayer2.playbacktests","L107","L103","0.107705","2","36","18","0.0821918","0.116046","180","162","0","0","0","0","0","0.537815","0.271018","519","64","55","0","0","0","0","0","0","0","0","0","2","0","0","1396","2190","147","21","14","0","9","4","2","154","455","10","14","0","2","2","113","4","0","0","405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30966","testutil","com.google.android.exoplayer2.testutil","L107","L103","0","0","0","0","0","0","0","0","0.23913","0.232192","251","22","70","0.23913","0.232192","251","22","70","830","1231","46","10","0","10","2","91","8","0","83","8","830","1231","46","10","12","0","6","10","2","91","384","8","9","0","2","0","83","8","0","0","219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1715","cronet","com.google.android.exoplayer2.ext.cronet","L1714","L103","0.0797188","5","12","8","0","0","0","0","0.16129","0.163763","235","10","52","0.16129","0.163763","235","10","52","1200","1615","61","19","0","6","0","90","5","0","72","3","1200","1615","61","19","22","0","5","6","0","90","565","5","6","0","0","0","72","3","0","0","340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2425","ffmpeg","com.google.android.exoplayer2.ext.ffmpeg","L1714","L103","0","0","0","0","0","0","0","0","0.75","0.350148","118","9","3","0.75","0.350148","118","9","3","219","379","11","4","0","7","0","30","0","0","17","1","219","379","11","4","14","0","4","7","0","30","79","0","3","0","0","0","17","1","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2666","flac","com.google.android.exoplayer2.ext.flac","L1714","L103","0.0591806","2","4","2","0","0","0","0","0.526316","0.336245","231","10","9","0.526316","0.336245","231","10","9","456","791","25","12","0","7","0","62","1","0","45","3","456","791","25","12","22","0","8","7","0","62","161","1","6","0","0","0","45","3","0","0","163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3078","okhttp","com.google.android.exoplayer2.ext.okhttp","L1714","L103","0.232614","3","19","3","0.188976","0.264463","72","64","0.3125","0.303109","117","5","11","0.3125","0.303109","117","5","11","269","434","19","2","0","2","0","21","0","0","14","1","269","434","19","2","14","0","2","2","0","21","123","0","2","0","0","0","14","1","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3246","opus","com.google.android.exoplayer2.ext.opus","L1714","L103","0.0947368","2","4","2","0.24","0.352941","30","30","0.692308","0.336538","140","9","4","0.692308","0.336538","140","9","4","276","473","15","6","0","2","0","34","0","0","22","1","276","473","15","6","22","0","5","2","0","34","101","0","4","0","0","0","22","1","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3437","vp9","com.google.android.exoplayer2.ext.vp9","L1714","L103","0.0435748","2","10","2","0.0902778","0.127451","13","13","0.541667","0.247772","278","13","11","0.541667","0.247772","278","13","11","844","1264","67","9","0","3","1","79","14","0","39","7","844","1264","67","9","22","0","9","3","1","79","377","14","5","0","1","0","39","7","0","0","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5145","flv","com.google.android.exoplayer2.extractor.flv","L5032","L103","0","0","0","0","0","0","0","0","0.25","0.363049","281","3","9","0.25","0.363049","281","3","9","493","871","52","9","0","3","0","45","4","0","22","0","493","871","52","9","21","0","6","3","0","45","221","4","3","0","0","0","22","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5543","mkv","com.google.android.exoplayer2.extractor.mkv","L5032","L103","0.0716152","4","26","7","0","0","0","0","0.148148","0.230828","605","4","23","0.148148","0.230828","605","4","23","2016","2824","272","15","0","5","2","102","32","0","66","1","2016","2824","272","15","21","0","9","5","2","102","980","32","4","0","0","0","66","1","0","0","303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6747","mp3","com.google.android.exoplayer2.extractor.mp3","L5032","L103","0","0","0","0","0","0","0","0","0.263158","0.254369","262","5","14","0.263158","0.254369","262","5","14","768","1132","43","10","0","11","1","51","1","0","36","1","768","1132","43","10","21","0","7","11","1","51","409","1","3","0","0","0","36","1","0","0","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7110","mp4","com.google.android.exoplayer2.extractor.mp4","L5032","L103","0.0300947","4","30","8","0","0","0","0","0.459459","0.270236","1075","17","20","0.459459","0.270236","1075","17","20","2903","4372","258","29","0","15","1","146","172","0","80","0","2903","4372","258","29","21","0","15","15","1","146","1695","172","9","0","0","0","80","0","0","0","475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8513","ogg","com.google.android.exoplayer2.extractor.ogg","L5032","L103","0.0301148","6","16","12","0","0","0","0","0.121622","0.204634","892","9","65","0.121622","0.204634","892","9","65","3467","4723","132","32","0","17","1","184","48","0","127","3","3467","4723","132","32","21","0","21","17","1","184","1322","48","13","0","0","0","127","3","0","0","534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9511","rawcc","com.google.android.exoplayer2.extractor.rawcc","L5032","L103","0","0","0","0","0","0","0","0","0.222222","0.223464","40","2","7","0.222222","0.223464","40","2","7","139","206","16","3","0","0","0","11","0","0","8","0","139","206","16","3","21","0","2","0","0","11","53","0","2","0","0","0","8","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
