"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00211416","3","0","228","0","0","0","0","0","0","0","0","0","2","0","0","1416","2016","111","62","39","1","89","15","26","149","295","21","62","1","26","32","139","2","0","0","596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","1","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","30","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1084","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","95","112","36","2","0","0","0","5","0","0","3","1","95","112","36","2","6","0","2","0","0","5","28","0","2","0","0","0","3","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","seriouscompany","com.seriouscompany","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","1","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","29","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","business","com.seriouscompany.business","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","1","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","28","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","java","com.seriouscompany.business.java","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","1","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","27","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","fizzbuzz","com.seriouscompany.business.java.fizzbuzz","L107","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","1","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","26","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L109","packagenamingpackage","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage","L108","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00226586","3","0","223","0","0","0","0","0","0","0","0","0","2","0","0","1321","1904","75","60","37","1","87","15","26","144","267","21","60","1","26","25","136","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L110","impl","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl","L109","L103","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0.00248963","3","0","167","71","99","16","4","0","1","0","6","14","8","5","1","1202","1671","75","60","29","1","61","10","0","114","267","21","60","1","0","16","106","1","0","0","438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1020","interfaces","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.interfaces","L109","L103","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","56","4","8","0","0","0","0","1","1","0","7","1","0","119","233","0","0","20","0","26","5","26","30","0","0","0","0","26","7","30","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
