"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.323155","571","3491","2190","0.233959","0.3054","17925","14898","0","0","0","0","0","0.337068","0.263138","17425","1023","2012","0","0","0","0","0","0","0","0","0","1","0","0","48795","76616","1681","1849","275","34","394","1101","44","5606","21384","208","497","21","37","92","4352","94","0","0","30964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.323155","571","3491","2190","0.233959","0.3054","17925","14898","0","0","0","0","0","0.337068","0.263138","17425","1023","2012","0","0","0","0","0","0","0","0","0","2","0","0","48795","76616","1681","1849","275","34","394","1101","44","5606","21384","208","497","21","37","91","4352","94","0","0","30964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","netflix","com.netflix","L104","L103","0.32338","571","3491","2190","0.234219","0.305682","17925","14898","0","0","0","0","0","0.337405","0.263005","17397","1022","2007","0","0","0","0","0","0","0","0","0","1","0","0","48750","76531","1679","1847","263","34","392","1101","44","5600","21372","207","495","21","37","88","4348","94","0","0","30944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25508","hystrix","com.hystrix","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166667","0.383562","28","1","5","0","0","0","0","0","0","0","0","0","1","0","0","45","85","2","2","16","0","2","0","0","6","12","1","2","0","0","1","4","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","hystrix","com.netflix.hystrix","L105","L103","0.32338","571","3491","2190","0","0","0","0","0.508161","0.239229","6108","467","452","0.337405","0.263005","17397","1022","2007","19424","29498","596","639","21","352","15","2240","106","11","1709","24","48750","76531","1679","1847","263","34","392","1101","44","5600","21372","207","495","21","37","87","4348","94","0","0","30944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25509","junit","com.hystrix.junit","L25508","L103","0","0","0","0","0","0","0","0","0.166667","0.383562","28","1","5","0.166667","0.383562","28","1","5","45","85","2","2","0","0","0","6","1","0","4","0","45","85","2","2","16","0","2","0","0","6","12","1","2","0","0","0","4","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","contrib","com.netflix.hystrix.contrib","L106","L103","0.227326","153","716","589","0.169477","0.237134","3156","2843","0","0","0","0","0","0.246914","0.25939","4199","220","671","0","0","0","0","0","0","0","0","0","10","0","0","11989","18622","407","700","182","6","156","389","11","1617","4078","48","207","5","8","65","1184","34","0","0","9357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8677","perf","com.netflix.hystrix.perf","L106","L103","0.151395","6","19","19","0","0","0","0","0.0119048","0.106557","130","1","83","0.0119048","0.106557","130","1","83","1090","1396","57","41","0","8","0","93","10","0","74","14","1090","1396","57","41","11","0","8","8","0","93","216","10","23","0","0","0","74","14","0","0","487","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10326","collapser","com.netflix.hystrix.collapser","L106","L103","0","0","0","0","0","0","0","0","0.325","0.382874","389","13","27","0.325","0.382874","389","13","27","627","1171","33","14","1","12","3","60","2","0","51","5","627","1171","33","14","17","1","8","12","3","60","259","2","5","0","3","0","51","5","0","0","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10791","config","com.netflix.hystrix.config","L106","L103","0.425674","13","38","24","0","0","0","0","0.0357143","0.118162","108","3","81","0.0357143","0.118162","108","3","81","806","1062","68","31","0","41","0","111","1","0","107","0","806","1062","68","31","17","0","6","41","0","111","259","1","10","0","0","0","107","0","0","0","603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11189","exception","com.netflix.hystrix.exception","L106","L103","0","0","0","0","0","0","0","0","0.545455","0.649007","98","6","5","0.545455","0.649007","98","6","5","53","175","13","3","1","3","0","7","7","0","7","0","53","175","13","3","11","1","4","3","0","7","13","7","3","1","0","0","7","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13692","metric","com.netflix.hystrix.metric","L106","L103","0.605991","144","1292","586","0","0","0","0","0.111111","0.21441","369","15","120","0.126551","0.170376","1378","51","352","1352","2062","98","31","0","35","2","158","2","2","131","0","6710","9596","205","160","21","0","53","110","2","604","3491","4","55","0","2","2","530","11","0","0","3967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15814","strategy","com.netflix.hystrix.strategy","L106","L103","0.143037","14","86","38","0","0","0","0","0.580645","0.439427","399","18","13","0.590444","0.50333","2645","173","120","509","1016","16","19","0","22","1","57","0","5","41","3","2610","6023","84","116","26","2","53","93","9","378","904","4","57","0","8","6","325","4","0","0","1220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17951","util","com.netflix.hystrix.util","L106","L103","0.0696536","19","78","39","0","0","0","0","0.408","0.351939","1343","51","74","0.408","0.351939","1343","51","74","2473","4345","124","42","2","36","4","208","24","0","154","2","2473","4345","124","42","17","2","14","36","4","208","1212","24","12","1","2","0","154","2","0","0","612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24230","dashboard","com.netflix.hystrix.dashboard","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.327411","129","5","5","0","0","0","0","0","0","0","0","0","1","0","0","265","446","7","6","18","0","5","1","0","9","125","0","5","0","0","1","5","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24376","examples","com.netflix.hystrix.examples","L106","L103","0.167739","8","34","16","0.0849478","0.122178","228","184","0","0","0","0","0","0.253968","0.330824","747","32","94","0","0","0","0","0","0","0","0","0","2","0","0","1511","2684","69","67","13","1","23","41","0","169","530","1","41","1","0","2","112","0","0","0","831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
