"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.199608","215","2855","665","0.13428","0.180355","5638","4337","0","0","0","0","0","0.518744","0.275032","9169","1107","1027","0","0","0","0","0","0","0","0","0","1","0","0","24169","41987","941","269","46","17","235","689","30","2269","12563","198","206","17","30","30","1953","383","0","0","6173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.199608","215","2855","665","0.13428","0.180355","5638","4337","0","0","0","0","0","0.518744","0.275032","9169","1107","1027","0","0","0","0","0","0","0","0","0","2","0","0","24169","41987","941","269","46","17","235","689","30","2269","12563","198","206","17","30","29","1953","383","0","0","6173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","xxmassdeveloper","com.xxmassdeveloper","L104","L103","0.258786","107","2010","415","0.256159","0.282279","2714","2160","0","0","0","0","0","0.135802","0.0828571","696","44","280","0","0","0","0","0","0","0","0","0","1","0","0","7704","10595","187","96","13","0","72","57","0","407","4213","3","72","0","0","6","280","37","0","0","1857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3456","github","com.github","L104","L103","0.166543","108","845","250","0.0931448","0.132784","2924","2177","0","0","0","0","0","0.587293","0.339763","8473","1063","747","0","0","0","0","0","0","0","0","0","1","0","0","16465","31392","754","173","36","17","163","632","30","1862","8350","195","134","17","30","21","1673","346","0","0","4316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","mpchartexample","com.xxmassdeveloper.mpchartexample","L105","L103","0.258786","107","2010","415","0.492537","0.52","99","78","0.0284091","0.0757265","443","5","171","0.135802","0.0828571","696","44","280","5407","7292","116","48","0","18","0","240","3","5","168","16","7704","10595","187","96","13","0","72","57","0","407","4213","3","72","0","0","5","280","37","0","0","1857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3457","mikephil","com.github.mikephil","L3456","L103","0.166543","108","845","250","0.0931448","0.132784","2924","2177","0","0","0","0","0","0.587293","0.339763","8473","1063","747","0","0","0","0","0","0","0","0","0","1","0","0","16465","31392","754","173","36","17","163","632","30","1862","8350","195","134","17","30","20","1673","346","0","0","4316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1163","custom","com.xxmassdeveloper.mpchartexample.custom","L106","L103","0","0","0","0","0","0","0","0","0.295775","0.171429","96","21","50","0.295775","0.171429","96","21","50","464","749","26","14","0","21","0","61","0","0","57","9","464","749","26","14","9","0","14","21","0","61","153","0","14","0","0","0","57","9","0","0","145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1613","fragments","com.xxmassdeveloper.mpchartexample.fragments","L106","L103","0.0638821","1","2","2","0","0","0","0","0.037037","0.0423729","20","1","26","0.037037","0.0423729","20","1","26","452","632","7","9","0","4","0","32","0","0","24","0","452","632","7","9","9","0","7","4","0","32","235","0","7","0","0","0","24","0","0","0","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2419","listviewitems","com.xxmassdeveloper.mpchartexample.listviewitems","L106","L103","0.298084","4","13","8","0.344444","0.354839","31","22","0.0625","0.093617","22","1","15","0.0625","0.093617","22","1","15","213","311","11","7","0","8","0","13","0","0","12","0","213","311","11","7","9","0","4","8","0","13","104","0","4","0","0","0","12","0","0","0","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2604","notimportant","com.xxmassdeveloper.mpchartexample.notimportant","L106","L103","0.388482","24","487","77","0","0","0","0","0.272727","0.0289157","12","3","8","0.272727","0.0289157","12","3","8","403","479","12","5","0","2","0","10","0","0","7","0","403","479","12","5","9","0","4","2","0","10","196","0","4","0","0","0","7","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3031","realm","com.xxmassdeveloper.mpchartexample.realm","L106","L103","0.186615","17","89","28","0","0","0","0","0.565217","0.118664","103","13","10","0.565217","0.118664","103","13","10","765","1132","15","13","0","4","0","51","0","0","12","12","765","1132","15","13","9","0","12","4","0","51","415","0","12","0","0","0","12","12","0","0","218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3458","charting","com.github.mikephil.charting","L3457","L103","0.166543","108","845","250","0.0931448","0.132784","2924","2177","0","0","0","0","0","0.587293","0.339763","8473","1063","747","0","0","0","0","0","0","0","0","0","15","0","0","16465","31392","754","173","36","17","163","632","30","1862","8350","195","134","17","30","19","1673","346","0","0","4316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3459","animation","com.github.mikephil.charting.animation","L3458","L103","0.310729","15","301","40","0.33119","0.585185","103","79","0.809524","0.419913","388","17","4","0.809524","0.419913","388","17","4","536","1049","59","31","1","32","1","45","56","0","45","2","536","1049","59","31","12","1","3","32","1","45","204","56","2","1","1","0","45","2","0","0","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4069","buffer","com.github.mikephil.charting.buffer","L3458","L103","0.671249","1","34","2","0","0","0","0","0.470588","0.195833","47","8","9","0.470588","0.195833","47","8","9","193","314","11","3","0","0","0","15","1","0","14","4","193","314","11","3","12","0","3","0","0","15","127","1","3","0","0","0","14","4","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
