"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0164327","2","12","4","0.0160696","0.021611","48","44","0","0","0","0","0","0.401198","0.190949","481","67","100","0","0","0","0","0","0","0","0","0","1","0","0","2038","2987","106","55","50","0","25","34","2","203","841","16","26","0","2","12","175","21","0","0","591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0164327","2","12","4","0.0160696","0.021611","48","44","0","0","0","0","0","0.401198","0.190949","481","67","100","0","0","0","0","0","0","0","0","0","2","0","0","2038","2987","106","55","50","0","25","34","2","203","841","16","26","0","2","11","175","21","0","0","591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","githug","com.githug","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.272727","3","1","1","0","0","0","0","0","0","0","0","0","1","0","0","8","13","0","1","11","0","1","0","0","1","1","0","1","0","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","github","com.github","L104","L103","0.0164858","2","12","4","0.0161399","0.0216963","48","44","0","0","0","0","0","0.4","0.19059","478","66","99","0","0","0","0","0","0","0","0","0","1","0","0","2030","2974","106","54","44","0","24","34","2","202","840","16","25","0","2","7","174","21","0","0","588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","florent37","com.githug.florent37","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.272727","3","1","1","0","0","0","0","0","0","0","0","0","1","0","0","8","13","0","1","11","0","1","0","0","1","1","0","1","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L134","florent37","com.github.florent37","L133","L103","0.0164858","2","12","4","0.0161399","0.0216963","48","44","0","0","0","0","0","0.4","0.19059","478","66","99","0","0","0","0","0","0","0","0","0","1","0","0","2030","2974","106","54","44","0","24","34","2","202","840","16","25","0","2","6","174","21","0","0","588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","materialviewpager","com.githug.florent37.materialviewpager","L106","L103","0","0","0","0","0","0","0","0","0.5","0.272727","3","1","1","0.5","0.272727","3","1","1","8","13","0","1","0","0","0","1","0","0","1","0","8","13","0","1","11","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L135","materialviewpager","com.github.florent37.materialviewpager","L134","L103","0.0164858","2","12","4","0.04814","0.0668896","22","20","0.438202","0.20908","350","39","50","0.4","0.19059","478","66","99","1324","1949","78","27","0","17","2","122","16","4","100","14","2030","2974","106","54","44","0","24","34","2","202","840","16","25","0","2","5","174","21","0","0","588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","adapter","com.github.florent37.materialviewpager.adapter","L135","L103","0","0","0","0","0","0","0","0","0.4","0.196721","24","6","9","0.4","0.196721","24","6","9","98","148","3","3","0","3","0","16","0","0","15","0","98","148","3","3","12","0","1","3","0","16","37","0","1","0","0","0","15","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L249","header","com.github.florent37.materialviewpager.header","L135","L103","0","0","0","0","0","0","0","0","0.448276","0.255556","69","13","16","0.448276","0.255556","69","13","16","201","333","6","8","0","5","0","29","0","0","28","7","201","333","6","8","12","0","5","5","0","29","63","0","5","0","0","0","28","7","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1383","controllers","com.github.florent37.materialviewpager.controllers","L135","L103","0","0","0","0","0","0","0","0","0.5","0.272727","3","1","1","0.5","0.272727","3","1","1","8","13","0","1","0","0","0","1","0","0","1","0","8","13","0","1","12","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1436","sample","com.github.florent37.materialviewpager.sample","L135","L103","0","0","0","0","0","0","0","0","0.214286","0.0622568","16","3","11","0.233333","0.0742459","32","7","23","241","311","9","9","0","9","0","19","0","1","15","0","399","531","19","15","13","0","8","9","0","34","121","0","8","0","0","1","30","0","0","0","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1473","fragment","com.github.florent37.materialviewpager.sample.fragment","L1436","L103","0","0","0","0","0","0","0","0","0.25","0.091954","16","4","12","0.25","0.091954","16","4","12","158","220","10","6","0","0","0","15","0","0","15","0","158","220","10","6","13","0","4","0","0","15","46","0","4","0","0","0","15","0","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
