"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.168502","46","476","117","0.0986457","0.14683","1129","945","0","0","0","0","0","0.545455","0.379184","3931","216","180","0","0","0","0","0","0","0","0","0","1","0","0","6436","11445","333","134","20","0","47","108","4","722","3113","23","50","0","4","12","567","137","0","0","2222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.168502","46","476","117","0.0986457","0.14683","1129","945","0","0","0","0","0","0.545455","0.379184","3931","216","180","0","0","0","0","0","0","0","0","0","2","0","0","6436","11445","333","134","20","0","47","108","4","722","3113","23","50","0","4","11","567","137","0","0","2222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","nineoldandroids","com.nineoldandroids","L104","L103","0.155747","36","443","86","0.092964","0.140336","839","668","0","0","0","0","0","0.694245","0.42317","3492","193","85","0","0","0","0","0","0","0","0","0","3","0","0","4760","9025","234","68","11","0","28","94","4","555","2330","12","20","0","4","4","442","123","0","0","1310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3469","jakewharton","com.jakewharton","L104","L103","0.194709","10","33","31","0.119835","0.165274","290","277","0","0","0","0","0","0.194915","0.207565","439","23","95","0","0","0","0","0","0","0","0","0","1","0","0","1676","2420","99","66","12","0","19","14","0","167","783","11","30","0","0","5","125","14","0","0","912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","animation","com.nineoldandroids.animation","L105","L103","0.124951","14","85","30","0","0","0","0","0.865497","0.461538","2508","148","23","0.865497","0.461538","2508","148","23","2926","5901","146","47","0","40","4","294","11","0","238","61","2926","5901","146","47","8","0","17","40","4","294","1512","11","13","0","4","0","238","61","0","0","647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2194","util","com.nineoldandroids.util","L105","L103","0","0","0","0","0","0","0","0","0.722222","0.543536","206","13","5","0.722222","0.543536","206","13","5","173","413","8","5","0","2","0","19","0","0","18","2","173","413","8","5","8","0","5","2","0","19","68","0","4","0","0","0","18","2","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2366","view","com.nineoldandroids.view","L105","L103","0.241611","22","358","56","0","0","0","0","0.508475","0.354206","758","30","29","0.359551","0.318983","778","32","57","1382","2388","62","15","0","38","0","207","0","1","157","46","1661","2711","80","16","9","0","6","52","0","242","750","1","3","0","0","1","186","60","0","0","637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3470","nineoldandroids","com.jakewharton.nineoldandroids","L3469","L103","0.194709","10","33","31","0.119835","0.165274","290","277","0","0","0","0","0","0.194915","0.207565","439","23","95","0","0","0","0","0","0","0","0","0","1","0","0","1676","2420","99","66","12","0","19","14","0","167","783","11","30","0","0","4","125","14","0","0","912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2373","animation","com.nineoldandroids.view.animation","L2366","L103","0","0","0","0","0","0","0","0","0.0666667","0.0668896","20","2","28","0.0666667","0.0668896","20","2","28","279","323","18","1","0","14","0","35","1","0","29","14","279","323","18","1","9","0","1","14","0","35","146","1","1","0","0","0","29","14","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3471","sample","com.jakewharton.nineoldandroids.sample","L3470","L103","0.194709","10","33","31","0","0","0","0","0","0.0617761","16","0","6","0.194915","0.207565","439","23","95","243","306","2","20","0","1","0","25","0","3","20","0","1676","2420","99","66","12","0","19","14","0","167","783","11","30","0","0","3","125","14","0","0","912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
