"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.365974","88","487","232","0.227052","0.327503","4163","2640","0","0","0","0","0","0.864583","0.488844","7756","332","52","0","0","0","0","0","0","0","0","0","3","0","0","8110","18335","610","256","169","5","141","67","4","812","3101","106","140","5","0","11","672","32","0","0","3034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","edu","edu","L100","L103","0.383869","88","486","231","0.238953","0.344904","4153","2633","0","0","0","0","0","0.86119","0.488717","7342","304","49","0","0","0","0","0","0","0","0","0","1","0","0","7681","17380","583","237","163","5","132","64","4","773","2967","102","131","5","0","7","639","32","0","0","2978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6240","vandy","vandy","L100","L103","0.0271636","1","1","1","0.0111732","0.0175439","10","7","0","0","0","0","0","0.931035","0.495575","392","27","2","0","0","0","0","0","0","0","0","0","1","0","0","399","895","25","15","8","0","8","3","0","34","119","4","8","0","0","1","28","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6577","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.5","0.423077","22","1","1","0.5","0.423077","22","1","1","30","60","2","4","0","0","0","5","0","0","5","0","30","60","2","4","6","0","1","0","0","5","15","0","1","0","0","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","vuum","edu.vuum","L104","L103","0.383869","88","486","231","0.238953","0.344904","4153","2633","0","0","0","0","0","0.86119","0.488717","7342","304","49","0","0","0","0","0","0","0","0","0","2","0","0","7681","17380","583","237","163","5","132","64","4","773","2967","102","131","5","0","6","639","32","0","0","2978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6241","mooc","vandy.mooc","L6240","L103","0.0271636","1","1","1","0","0","0","0","0.931035","0.495575","392","27","2","0.931035","0.495575","392","27","2","399","895","25","15","0","3","0","34","4","0","28","0","399","895","25","15","8","0","8","3","0","34","119","4","8","0","0","0","28","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","mooca","edu.vuum.mooca","L105","L103","0.472973","9","92","22","0","0","0","0","0.487805","0.411463","481","20","21","0.487805","0.411463","481","20","21","688","1323","66","17","3","3","0","70","29","0","54","3","688","1323","66","17","20","3","8","3","0","70","277","29","11","3","0","0","54","3","0","0","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L691","mocca","edu.vuum.mocca","L105","L103","0.376906","79","394","209","0.661017","0.808511","78","38","0.913793","0.52726","4613","159","15","0.910256","0.495236","6861","284","28","4136","10026","268","139","2","42","4","458","20","4","374","10","6993","16057","517","220","148","2","124","61","4","703","2690","73","120","2","0","4","585","29","0","0","2690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1462","test","edu.vuum.mocca.test","L691","L103","0.515179","24","80","68","0.428571","0.571429","39","24","0.981481","0.452542","1068","53","1","0.981481","0.452542","1068","53","1","1292","2950","104","56","0","2","0","146","0","0","126","16","1292","2950","104","56","47","0","32","2","0","146","464","0","32","0","0","0","126","16","0","0","670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3181","provider","edu.vuum.mocca.provider","L691","L103","0","0","0","0","0","0","0","0","0.75","0.431138","72","3","1","0.75","0.431138","72","3","1","95","183","28","3","0","0","0","1","26","0","1","0","95","183","28","3","11","0","1","0","0","1","28","26","3","0","0","0","1","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3279","storage","edu.vuum.mocca.storage","L691","L103","0.0656763","1","2","2","0","0","0","0","0.935484","0.486457","449","29","2","0.935484","0.486457","449","29","2","474","1010","25","6","0","10","0","33","23","0","32","0","474","1010","25","6","11","0","4","10","0","33","249","23","4","0","0","0","32","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3694","ui","edu.vuum.mocca.ui","L691","L103","0.1238","3","6","6","0.0603248","0.0697674","26","18","0.816327","0.398187","659","40","9","0.816327","0.398187","659","40","9","996","1888","92","16","0","7","0","65","4","0","52","3","996","1888","92","16","11","0","8","7","0","65","468","4","8","0","0","0","52","3","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
