"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0855779","69","408","203","0.0617433","0.0934488","2249","1997","0","0","0","0","0","0.599419","0.306073","9480","826","552","0","0","0","0","0","0","0","0","0","1","0","0","21493","36425","1017","482","61","1","271","335","15","1996","8319","157","264","1","15","39","1368","90","0","0","6228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0855779","69","408","203","0.0617433","0.0934488","2249","1997","0","0","0","0","0","0.599419","0.306073","9480","826","552","0","0","0","0","0","0","0","0","0","1","0","0","21493","36425","1017","482","61","1","271","335","15","1996","8319","157","264","1","15","38","1368","90","0","0","6228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","github","com.github","L104","L103","0.0855779","69","408","203","0.0617433","0.0934488","2249","1997","0","0","0","0","0","0.599419","0.306073","9480","826","552","0","0","0","0","0","0","0","0","0","1","0","0","21493","36425","1017","482","61","1","271","335","15","1996","8319","157","264","1","15","37","1368","90","0","0","6228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","pockethub","com.github.pockethub","L105","L103","0.0855779","69","408","203","0.0617433","0.0934488","2249","1997","0","0","0","0","0","0.599419","0.306073","9480","826","552","0","0","0","0","0","0","0","0","0","1","0","0","21493","36425","1017","482","61","1","271","335","15","1996","8319","157","264","1","15","36","1368","90","0","0","6228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","android","com.github.pockethub.android","L106","L103","0.0855779","69","408","203","0","0","0","0","0.923077","0.535635","481","36","3","0.599419","0.306073","9480","826","552","417","1040","59","8","0","2","3","38","46","9","28","0","21493","36425","1017","482","61","1","271","335","15","1996","8319","157","264","1","15","35","1368","90","0","0","6228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L129","tests","com.github.pockethub.android.tests","L107","L103","0.23056","12","32","32","0","0","0","0","1","0.346633","139","21","0","1","0.38527","905","146","0","262","478","4","4","0","0","0","28","0","7","19","1","1444","2738","6","30","19","0","27","0","0","142","628","0","27","0","0","7","122","8","0","0","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L663","accounts","com.github.pockethub.android.accounts","L107","L103","0.00948953","1","3","1","0","0","0","0","0.4","0.276855","250","16","24","0.4","0.276855","250","16","24","653","1062","34","15","0","15","1","57","11","0","43","0","653","1062","34","15","12","0","8","15","1","57","258","11","7","0","1","0","43","0","0","0","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L973","core","com.github.pockethub.android.core","L107","L103","0.0771371","6","42","11","0","0","0","0","0.444444","0.541353","216","12","15","0.840659","0.460294","1536","153","29","183","464","12","7","0","7","2","28","0","8","24","0","1801","3872","112","44","20","0","39","54","2","175","722","36","41","0","2","8","145","12","0","0","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2120","model","com.github.pockethub.android.model","L107","L103","0","0","0","0","0","0","0","0","0.8","0.576923","150","24","6","0.8","0.576923","150","24","6","110","300","14","2","0","14","0","28","0","0","28","14","110","300","14","2","12","0","2","14","0","28","28","0","2","0","0","0","28","14","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2215","persistence","com.github.pockethub.android.persistence","L107","L103","0.0203237","1","6","2","0","0","0","0","0.702703","0.351675","294","26","11","0.702703","0.351675","294","26","11","542","948","16","15","0","12","2","53","0","0","42","0","542","948","16","15","12","0","6","12","2","53","189","0","5","0","2","0","42","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2588","rx","com.github.pockethub.android.rx","L107","L103","0","0","0","0","0","0","0","0","0.0769231","0.281818","31","1","12","0.0769231","0.281818","31","1","12","79","136","4","2","0","0","0","14","0","0","11","2","79","136","4","2","12","0","2","0","0","14","24","0","2","0","0","0","11","2","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2651","sync","com.github.pockethub.android.sync","L107","L103","0","0","0","0","0","0","0","0","0.473684","0.383673","94","9","10","0.473684","0.383673","94","9","10","151","292","10","4","0","1","1","15","0","0","14","0","151","292","10","4","12","0","4","1","1","15","38","0","4","0","1","0","14","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2769","ui","com.github.pockethub.android.ui","L107","L103","0.0827413","47","293","150","0","0","0","0","0.397849","0.370509","1382","74","112","0.434783","0.246854","4904","340","442","2348","4365","98","45","0","48","2","291","2","11","167","20","14962","23482","654","334","31","1","157","198","6","1360","5677","27","151","1","6","11","849","47","0","0","4845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8263","util","com.github.pockethub.android.util","L107","L103","0.0372913","3","22","5","0","0","0","0","0.833333","0.38497","835","75","15","0.833333","0.38497","835","75","15","1334","2555","108","28","0","39","0","114","37","0","86","7","1334","2555","108","28","19","0","16","39","0","114","618","37","17","0","0","0","86","7","0","0","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L204","commit","com.github.pockethub.android.tests.commit","L129","L103","0.359307","6","14","14","0.356322","0.688889","31","31","1","0.33218","192","33","0","1","0.33218","192","33","0","386","668","0","5","0","0","0","30","0","0","28","1","386","668","0","5","13","0","5","0","0","30","183","0","5","0","0","0","28","1","0","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L314","gist","com.github.pockethub.android.tests.gist","L129","L103","0.0508475","1","1","1","0.135135","0.27027","10","10","1","0.426752","134","17","0","1","0.426752","134","17","0","180","371","2","7","0","0","0","16","0","0","14","2","180","371","2","7","13","0","5","0","0","16","63","0","5","0","0","0","14","2","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L388","issue","com.github.pockethub.android.tests.issue","L129","L103","0.394194","3","8","8","0.144928","0.294118","10","10","1","0.422222","152","19","0","1","0.422222","152","19","0","208","416","0","6","0","0","0","16","0","0","13","3","208","416","0","6","13","0","6","0","0","16","94","0","6","0","0","0","13","3","0","0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","ref","com.github.pockethub.android.tests.ref","L129","L103","0.3","1","2","2","0.18018","0.307692","20","20","1","0.336735","33","6","0","1","0.336735","33","6","0","65","111","0","1","0","0","0","6","0","0","5","0","65","111","0","1","13","0","1","0","0","6","37","0","1","0","0","0","5","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
