"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.244179","865","3601","2327","0.17346","0.229825","26923","22157","0","0","0","0","0","0.290721","0.272414","36099","1717","4189","0","0","0","0","0","0","0","0","0","1","0","0","96416","155212","2515","3873","56","16","621","174","55","10762","45948","149","614","8","47","24","9921","94","0","0","56186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","rx","rx","L100","L103","0.244179","865","3601","2327","0","0","0","0","0.502981","0.536998","15211","675","667","0.290721","0.272414","36099","1717","4189","13115","31710","124","601","3","9","16","2029","28","15","1990","10","96416","155212","2515","3873","56","16","621","174","55","10762","45948","149","614","8","47","23","9921","94","0","0","56186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","annotations","rx.annotations","L104","L103","0","0","0","0","0","0","0","0","1","0.679612","70","2","0","1","0.679612","70","2","0","33","110","0","0","0","0","0","0","0","0","0","0","33","110","0","0","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1590","exceptions","rx.exceptions","L104","L103","0.218629","11","33","21","0","0","0","0","0.490566","0.36496","677","52","54","0.490566","0.36496","677","52","54","1178","2136","28","49","0","11","0","164","0","0","143","0","1178","2136","28","49","12","0","15","11","0","164","474","0","15","0","0","0","143","0","0","0","715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2529","functions","rx.functions","L104","L103","0","0","0","0","0","0","0","0","0.546219","0.544241","1101","65","54","0.546219","0.544241","1101","65","54","922","2261","3","56","1","0","25","156","1","0","154","0","922","2261","3","56","12","1","30","0","25","156","317","1","4","0","25","0","154","0","0","0","467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4468","internal","rx.internal","L104","L103","0.245029","583","2207","1453","0","0","0","0","0.0689655","0.124434","55","4","54","0.158993","0.167224","12256","480","2539","387","490","13","14","0","3","0","44","11","6","44","0","61035","87492","1938","2403","29","11","383","60","10","6179","30052","47","392","5","5","8","5579","56","0","0","34509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L37682","observables","rx.observables","L104","L103","0.10699","19","50","34","0.0901034","0.132075","61","56","0.309392","0.244845","1033","56","125","0.309392","0.244845","1033","56","125","3186","4784","49","192","0","5","2","432","3","0","386","4","3186","4784","49","192","16","0","14","5","2","432","1381","3","13","0","0","0","386","4","0","0","1968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L39702","observers","rx.observers","L104","L103","0.272633","55","193","110","0","0","0","0","0.35786","0.257982","1406","107","192","0.35786","0.257982","1406","107","192","4044","6317","66","118","1","16","1","479","5","0","454","1","4044","6317","66","118","12","1","21","16","1","479","1814","5","21","0","1","0","454","1","0","0","2347","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L41178","plugins","rx.plugins","L104","L103","0.246319","18","55","46","0","0","0","0","0.653409","0.377882","1295","115","61","0.653409","0.377882","1295","115","61","2132","3989","36","100","0","34","0","266","0","0","248","20","2132","3989","36","100","12","0","13","34","0","266","972","0","16","0","0","0","248","20","0","0","1214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L42421","schedulers","rx.schedulers","L104","L103","0.185075","19","66","45","0","0","0","0","0.267176","0.21763","674","35","96","0.267176","0.21763","674","35","96","2423","3699","34","117","0","16","0","236","2","0","212","0","2423","3699","34","117","16","0","25","16","0","236","1142","2","26","0","0","0","212","0","0","0","1087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
