"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.160096","112","628","317","0.0910508","0.140265","2920","2690","0","0","0","0","0","0.572796","0.315744","8850","838","625","0","0","0","0","0","0","0","0","0","1","0","0","19179","32070","739","236","74","29","214","334","37","1754","8973","124","191","22","37","37","1367","58","0","0","5120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.160096","112","628","317","0.0910508","0.140265","2920","2690","0","0","0","0","0","0.572796","0.315744","8850","838","625","0","0","0","0","0","0","0","0","0","1","0","0","19179","32070","739","236","74","29","214","334","37","1754","8973","124","191","22","37","36","1367","58","0","0","5120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","netflix","com.netflix","L104","L103","0.160096","112","628","317","0.0910508","0.140265","2920","2690","0","0","0","0","0","0.572796","0.315744","8850","838","625","0","0","0","0","0","0","0","0","0","1","0","0","19179","32070","739","236","74","29","214","334","37","1754","8973","124","191","22","37","35","1367","58","0","0","5120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","simianarmy","com.netflix.simianarmy","L105","L103","0.160096","112","628","317","0","0","0","0","0.887006","0.658926","1362","157","20","0.572796","0.315744","8850","838","625","705","2365","23","17","4","42","16","199","7","8","190","17","19179","32070","739","236","74","29","214","334","37","1754","8973","124","191","22","37","34","1367","58","0","0","5120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","aws","com.netflix.simianarmy.aws","L106","L103","0.20111","67","406","188","0","0","0","0","0.726415","0.26777","437","77","29","0.410882","0.233791","2809","219","314","1195","1873","77","13","6","23","0","113","42","2","96","16","9206","13662","313","93","43","8","83","126","3","648","4591","74","80","7","3","15","451","18","0","0","2495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4190","basic","com.netflix.simianarmy.basic","L106","L103","0.122396","17","79","54","0","0","0","0","0.632479","0.34579","731","74","43","0.485185","0.262149","1532","131","139","1383","2439","71","17","4","10","0","134","5","5","100","9","4312","6684","190","46","23","7","34","57","0","374","2029","10","37","3","0","5","266","12","0","0","1045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6718","chaos","com.netflix.simianarmy.chaos","L106","L103","0.159489","10","31","27","0","0","0","0","0.634483","0.472464","978","92","53","0.634483","0.472464","978","92","53","1092","2430","50","31","3","29","4","165","7","0","153","1","1092","2430","50","31","16","3","25","29","4","165","409","7","25","3","4","0","153","1","0","0","452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7359","client","com.netflix.simianarmy.client","L106","L103","0.124607","8","58","21","0","0","0","0","1","0.373737","37","4","0","0.575","0.321289","738","69","51","62","111","2","1","0","2","0","3","0","3","3","0","1559","2694","42","22","23","2","20","17","1","126","755","3","18","2","1","4","105","1","0","0","370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8000","conformity","com.netflix.simianarmy.conformity","L106","L103","0.0734665","3","12","4","0","0","0","0","0.869565","0.505657","581","80","12","0.869565","0.505657","581","80","12","568","1299","45","9","1","26","5","87","10","0","77","6","568","1299","45","9","16","1","12","26","5","87","208","10","9","1","5","0","77","6","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8354","janitor","com.netflix.simianarmy.janitor","L106","L103","0.116394","7","29","14","0","0","0","0","0.76","0.351052","634","76","24","0.76","0.351052","634","76","24","1172","2033","60","11","3","29","8","123","11","0","106","2","1172","2033","60","11","16","3","11","29","8","123","523","11","6","2","8","0","106","2","0","0","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
