"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.099971","26","98","66","0.0696594","0.0827902","1035","724","0","0","0","0","0","0.118954","0.259432","3067","91","674","0","0","0","0","0","0","0","0","0","4","0","0","8755","14858","650","435","510","1","197","140","8","793","3260","355","330","1","7","68","590","75","0","0","4193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.104709","25","90","61","0.0708076","0.0851603","953","672","0","0","0","0","0","0.114449","0.258192","2750","80","619","0","0","0","0","0","0","0","0","0","3","0","0","7901","13459","621","406","428","1","176","126","8","712","2973","355","309","1","7","52","530","66","0","0","3885","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6463","speech","speech","L100","L103","0.337104","2","4","3","0.346154","0.371134","54","36","0","0","0","0","0","0.333333","0.230159","29","2","4","0","0","0","0","0","0","0","0","0","1","0","0","97","156","7","5","18","0","2","0","0","13","29","0","2","0","0","3","11","0","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6573","survivingwithandroid","survivingwithandroid","L100","L103","0.0209917","1","4","2","0.027668","0.0256","28","16","0","0","0","0","0","0.142857","0.26384","224","7","42","0","0","0","0","0","0","0","0","0","1","0","0","625","1012","20","18","49","0","14","14","0","58","211","0","14","0","0","6","42","7","0","0","181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6875","materialapp","materialapp","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.181818","0.326531","64","2","9","0","0","0","0","0","0","0","0","0","1","0","0","132","231","2","6","24","0","5","0","0","10","47","0","5","0","0","3","7","2","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","survivingwithandroid","com.survivingwithandroid","L104","L103","0.103575","25","85","60","0","0","0","0","0","0.200596","202","0","26","0.11713","0.258254","2722","80","603","805","1312","91","45","0","1","0","49","63","35","24","0","7818","13327","602","392","417","1","172","126","8","710","2960","338","295","1","7","47","528","66","0","0","3782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6389","example","com.example","L104","L103","0.313084","1","5","1","0.207207","0.271429","23","19","0","0","0","0","0","0","0.23913","22","0","12","0","0","0","0","0","0","0","0","0","1","0","0","70","111","15","10","12","0","3","0","0","2","13","13","10","0","0","1","2","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6446","android","com.android","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.315789","6","0","4","0","0","0","0","0","0","0","0","0","1","0","0","13","21","4","4","8","0","1","0","0","0","0","4","4","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6464","survivingwithandroid","speech.survivingwithandroid","L6463","L103","0.337104","2","4","3","0.346154","0.371134","54","36","0","0","0","0","0","0.333333","0.230159","29","2","4","0","0","0","0","0","0","0","0","0","1","0","0","97","156","7","5","18","0","2","0","0","13","29","0","2","0","0","2","11","0","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6574","com","survivingwithandroid.com","L6573","L103","0.0209917","1","4","2","0.027668","0.0256","28","16","0","0","0","0","0","0.142857","0.26384","224","7","42","0","0","0","0","0","0","0","0","0","3","0","0","625","1012","20","18","49","0","14","14","0","58","211","0","14","0","0","5","42","7","0","0","181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
