"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0629107","36","252","82","0.0405071","0.0541002","1032","888","0","0","0","0","0","0.359048","0.236397","5083","498","889","0","0","0","0","0","0","0","0","0","1","0","0","16419","25477","958","326","69","15","173","315","41","2021","7119","268","168","9","41","43","1389","227","0","0","5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0629107","36","252","82","0.0405071","0.0541002","1032","888","0","0","0","0","0","0.359048","0.236397","5083","498","889","0","0","0","0","0","0","0","0","0","1","0","0","16419","25477","958","326","69","15","173","315","41","2021","7119","268","168","9","41","42","1389","227","0","0","5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","marshalchen","com.marshalchen","L104","L103","0.0629107","36","252","82","0.0405071","0.0541002","1032","888","0","0","0","0","0","0.359048","0.236397","5083","498","889","0","0","0","0","0","0","0","0","0","1","0","0","16419","25477","958","326","69","15","173","315","41","2021","7119","268","168","9","41","41","1389","227","0","0","5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","ultimaterecyclerview","com.marshalchen.ultimaterecyclerview","L105","L103","0.0629107","36","252","82","0","0","0","0","0.411565","0.263673","969","121","173","0.359048","0.236397","5083","498","889","2706","4346","165","32","4","54","9","344","50","15","282","50","16419","25477","958","326","69","15","173","315","41","2021","7119","268","168","9","41","40","1389","227","0","0","5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","demo","com.marshalchen.ultimaterecyclerview.demo","L106","L103","0.0562447","11","77","29","0","0","0","0","0.193548","0.198543","109","6","25","0.287097","0.221466","1335","89","221","440","650","38","16","1","4","0","47","21","10","42","1","4693","7253","279","136","29","5","60","69","1","566","1775","84","64","2","1","11","342","45","0","0","1752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4134","appPaginator","com.marshalchen.ultimaterecyclerview.appPaginator","L106","L103","0.281843","4","30","10","0.245614","0.355263","28","27","0.16","0.115607","40","4","21","0.142857","0.113737","77","7","42","306","434","35","5","0","20","0","59","18","1","22","9","600","848","63","9","13","0","7","40","0","118","184","29","7","0","0","1","44","18","0","0","405","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4801","dragsortadapter","com.marshalchen.ultimaterecyclerview.dragsortadapter","L106","L103","0","0","0","0","0","0","0","0","0.151515","0.16792","67","5","28","0.151515","0.16792","67","5","28","332","486","18","14","0","6","0","40","1","0","38","1","332","486","18","14","12","0","5","6","0","40","131","1","6","0","0","0","38","1","0","0","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5053","expanx","com.marshalchen.ultimaterecyclerview.expanx","L106","L103","0","0","0","0","0","0","0","0","0.133333","0.14604","59","6","39","0.223529","0.136732","118","19","66","345","499","20","7","0","17","0","60","5","1","44","8","745","1069","41","16","13","0","15","28","5","113","278","14","11","0","5","1","76","14","0","0","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5729","grid","com.marshalchen.ultimaterecyclerview.grid","L106","L103","0","0","0","0","0","0","0","0","0.5","0.231343","31","5","5","0.5","0.231343","31","5","5","103","156","9","5","0","6","0","11","0","0","7","0","103","156","9","5","12","0","4","6","0","11","41","0","4","0","0","0","7","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5816","gridSection","com.marshalchen.ultimaterecyclerview.gridSection","L106","L103","0","0","0","0","0","0","0","0","0.4375","0.330383","112","7","9","0.4375","0.330383","112","7","9","227","409","11","5","0","11","0","40","3","0","13","1","227","409","11","5","12","0","4","11","0","40","91","3","4","0","0","0","13","1","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
