"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.100578","15","241","59","0.057518","0.102082","749","706","0","0","0","0","0","0.47678","0.398437","4588","308","338","0","0","0","0","0","0","0","0","0","1","0","0","6927","13022","283","79","22","2","63","119","7","746","3595","46","55","2","7","18","625","47","0","0","1703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","net","net","L100","L103","0.100578","15","241","59","0.057518","0.102082","749","706","0","0","0","0","0","0.47678","0.398437","4588","308","338","0","0","0","0","0","0","0","0","0","1","0","0","6927","13022","283","79","22","2","63","119","7","746","3595","46","55","2","7","17","625","47","0","0","1703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","tsz","net.tsz","L104","L103","0.100578","15","241","59","0.057518","0.102082","749","706","0","0","0","0","0","0.47678","0.398437","4588","308","338","0","0","0","0","0","0","0","0","0","1","0","0","6927","13022","283","79","22","2","63","119","7","746","3595","46","55","2","7","16","625","47","0","0","1703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","afinal","net.tsz.afinal","L105","L103","0.100578","15","241","59","0.148148","0.217391","20","20","0.52518","0.268542","525","73","66","0.47678","0.398437","4588","308","338","1430","2262","58","15","1","22","1","177","18","7","146","12","6927","13022","283","79","22","2","63","119","7","746","3595","46","55","2","7","15","625","47","0","0","1703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L118","annotation","net.tsz.afinal.annotation","L106","L103","0.217984","2","16","4","0.139738","0.224138","64","52","0","0","0","0","0","0.0277778","0.381818","147","1","35","0","0","0","0","0","0","0","0","0","2","0","0","238","458","7","1","10","0","9","0","0","33","81","0","1","0","0","2","27","0","0","0","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L326","bitmap","net.tsz.afinal.bitmap","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.285714","0.296318","515","30","75","0","0","0","0","0","0","0","0","0","3","0","0","1223","2008","89","17","11","0","14","15","3","120","613","15","16","0","3","3","86","12","0","0","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1410","core","net.tsz.afinal.core","L106","L103","0.306971","8","178","44","0","0","0","0","0.942857","0.585646","2701","165","10","0.942857","0.585646","2701","165","10","1911","4914","40","16","1","5","2","215","6","0","186","1","1911","4914","40","16","8","1","7","5","2","215","1125","6","5","1","2","0","186","1","0","0","408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2791","db","net.tsz.afinal.db","L106","L103","0.0541667","2","25","5","0.0367836","0.046133","43","34","0","0","0","0","0","0.103448","0.217622","205","9","78","0","0","0","0","0","0","0","0","0","2","0","0","737","1169","34","12","10","0","12","41","0","81","393","3","12","0","0","2","75","20","0","0","232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3344","exception","net.tsz.afinal.exception","L106","L103","0","0","0","0","0","0","0","0","0","0.560748","60","0","14","0","0.560748","60","0","14","47","130","5","4","0","0","0","10","0","0","10","0","47","130","5","4","8","0","4","0","0","10","11","0","4","0","0","0","10","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4531","http","net.tsz.afinal.http","L106","L103","0","0","0","0","0","0","0","0","0.238095","0.217437","207","10","32","0.2","0.233671","254","10","40","745","1115","44","9","0","11","0","66","3","1","53","0","833","1285","45","11","9","0","10","11","1","71","398","3","9","0","1","1","58","1","0","0","190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5051","utils","net.tsz.afinal.utils","L106","L103","0","0","0","0","0","0","0","0","0.5","0.2627","181","20","20","0.5","0.2627","181","20","20","508","796","5","3","0","25","0","39","1","0","37","1","508","796","5","3","8","0","3","25","0","39","280","1","3","0","0","0","37","1","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L119","sqlite","net.tsz.afinal.annotation.sqlite","L118","L103","0","0","0","0","0","0","0","0","0.0833333","0.617834","97","1","11","0.0833333","0.617834","97","1","11","60","176","0","0","0","0","0","6","0","0","6","0","60","176","0","0","9","0","6","0","0","6","0","0","0","0","0","0","6","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L159","view","net.tsz.afinal.annotation.view","L118","L103","0.312907","2","16","4","0.293578","0.356164","64","52","0","0.219298","50","0","24","0","0.219298","50","0","24","178","282","7","1","0","0","0","27","0","0","21","0","178","282","7","1","9","0","3","0","0","27","81","0","1","0","0","0","21","0","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
