"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0644031","27","104","64","0.0450333","0.0603551","763","656","0","0","0","0","0","0.319171","0.255497","3730","308","657","0","0","0","0","0","0","0","0","0","2","0","0","10869","16943","597","185","165","0","121","42","61","1254","3091","11","88","0","61","29","1044","36","0","0","3344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0645041","27","104","64","0.0451106","0.0604664","763","656","0","0","0","0","0","0.319459","0.255796","3729","307","654","0","0","0","0","0","0","0","0","0","2","0","0","10849","16914","595","184","163","0","120","40","61","1251","3088","10","87","0","61","26","1041","35","0","0","3331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7478","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.047619","1","1","3","0","0","0","0","0","0","0","0","0","1","0","0","20","29","2","1","10","0","1","2","0","3","3","1","1","0","0","1","3","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","google","com.google","L104","L103","0.0521551","22","90","54","0.0387592","0.05302","611","546","0","0","0","0","0","0.313661","0.241791","3284","287","628","0","0","0","0","0","0","0","0","0","1","0","0","10298","15764","573","165","128","0","108","38","60","1200","2934","6","75","0","60","20","999","28","0","0","3082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7117","example","com.example","L104","L103","0.247793","5","14","10","0.132174","0.199637","152","110","0","0","0","0","0","0.434783","0.446787","445","20","26","0","0","0","0","0","0","0","0","0","1","0","0","551","1150","22","19","38","0","12","2","1","51","154","4","12","0","1","4","42","7","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7479","databinding","android.databinding","L7478","L103","0","0","0","0","0","0","0","0","0.25","0.047619","1","1","3","0.25","0.047619","1","1","3","20","29","2","1","0","2","0","3","1","0","3","1","20","29","2","1","10","0","1","2","0","3","3","1","1","0","0","0","3","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","com.google.android","L105","L103","0.0521551","22","90","54","0.0387592","0.05302","611","546","0","0","0","0","0","0.313661","0.241791","3284","287","628","0","0","0","0","0","0","0","0","0","1","0","0","10298","15764","573","165","128","0","108","38","60","1200","2934","6","75","0","60","19","999","28","0","0","3082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7118","android","com.example.android","L7117","L103","0.247793","5","14","10","0.132174","0.199637","152","110","0","0","0","0","0","0.434783","0.446787","445","20","26","0","0","0","0","0","0","0","0","0","1","0","0","551","1150","22","19","38","0","12","2","1","51","154","4","12","0","1","3","42","7","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","agera","com.google.android.agera","L106","L103","0.0521551","22","90","54","0","0","0","0","0.336614","0.254249","1915","171","337","0.313661","0.241791","3284","287","628","5617","8732","304","84","0","4","26","692","0","7","574","17","10298","15764","573","165","128","0","108","38","60","1200","2934","6","75","0","60","18","999","28","0","0","3082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7119","agera","com.example.android.agera","L7118","L103","0.247793","5","14","10","0.132174","0.199637","152","110","0","0","0","0","0","0.434783","0.446787","445","20","26","0","0","0","0","0","0","0","0","0","2","0","0","551","1150","22","19","38","0","12","2","1","51","154","4","12","0","1","2","42","7","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4029","test","com.google.android.agera.test","L107","L103","0.0337449","1","2","1","0","0","0","0","0","0.372093","16","0","4","0.0294118","0.294811","125","1","33","27","51","1","1","0","0","0","3","0","2","3","0","299","505","14","8","14","0","8","0","0","42","67","0","8","0","0","2","26","0","0","0","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4197","content","com.google.android.agera.content","L107","L103","0.0315871","1","2","1","0","0","0","0","0.230769","0.205761","50","3","10","0.111111","0.24173","95","3","24","193","288","14","5","0","1","0","22","0","1","17","1","298","470","20","8","23","0","5","1","0","38","69","0","5","0","0","3","28","1","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4414","database","com.google.android.agera.database","L107","L103","0.0451267","3","8","7","0","0","0","0","0.363636","0.196312","330","48","84","0.355556","0.199653","345","48","87","1351","1923","56","19","0","0","15","146","1","1","135","2","1383","1978","57","20","22","0","13","0","15","150","300","1","11","0","15","2","137","2","0","0","392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5350","net","com.google.android.agera.net","L107","L103","0.0384925","2","4","3","0","0","0","0","0.319149","0.20823","253","30","64","0.309278","0.212361","268","30","67","962","1412","65","12","0","9","8","99","0","1","89","1","994","1467","66","13","22","0","11","9","8","103","343","0","8","0","8","2","91","1","0","0","252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5950","rvadapter","com.google.android.agera.rvadapter","L107","L103","0.134964","6","15","13","0","0","0","0","0.434211","0.242353","309","33","43","0.417722","0.247626","339","33","46","966","1481","58","20","0","21","7","113","1","1","94","6","1030","1591","60","22","33","0","10","21","7","121","263","1","9","0","7","2","98","6","0","0","378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6710","rvdatabinding","com.google.android.agera.rvdatabinding","L107","L103","0.12654","3","5","5","0","0","0","0","0.0384615","0.203947","93","1","25","0.0384615","0.203947","93","1","25","363","510","28","5","0","0","4","33","0","0","30","1","363","510","28","5","20","0","4","0","4","33","60","0","2","0","4","0","30","1","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6906","testapp","com.google.android.agera.testapp","L107","L103","0","0","0","0","0","0","0","0","0","0.248804","104","0","9","0","0.248804","104","0","9","314","511","24","5","0","3","0","21","4","0","15","0","314","511","24","5","19","0","5","3","0","21","69","4","3","0","0","0","15","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7120","basicsample","com.example.android.agera.basicsample","L7119","L103","0.227764","5","7","5","0.335484","0.4","52","34","0.466667","0.461938","267","14","16","0.466667","0.461938","267","14","16","311","667","13","12","0","1","1","32","2","0","28","5","311","667","13","12","21","0","7","1","1","32","87","2","7","0","1","0","28","5","0","0","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7353","basicsamplewithoutcallbacks","com.example.android.agera.basicsamplewithoutcallbacks","L7119","L103","0.271685","5","7","5","0.335484","0.4","52","34","0.375","0.425837","178","6","10","0.375","0.425837","178","6","10","240","483","9","7","0","1","0","19","2","0","14","2","240","483","9","7","21","0","5","1","0","19","67","2","5","0","0","0","14","2","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4032","matchers","com.google.android.agera.test.matchers","L4029","L103","0.0439914","1","2","1","0","0","0","0","0.0434783","0.290123","94","1","22","0.0434783","0.290123","94","1","22","230","383","11","6","0","0","0","32","0","0","17","0","230","383","11","6","13","0","6","0","0","32","46","0","6","0","0","0","17","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4182","mocks","com.google.android.agera.test.mocks","L4029","L103","0","0","0","0","0","0","0","0","0","0.263158","15","0","7","0","0.263158","15","0","7","42","71","2","1","0","0","0","7","0","0","6","0","42","71","2","1","13","0","1","0","0","7","14","0","1","0","0","0","6","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4369","test","com.google.android.agera.content.test","L4197","L103","0.0985577","1","2","1","0.0604396","0.104762","11","11","0","0","0","0","0","0","0.3","45","0","14","0","0","0","0","0","0","0","0","0","2","0","0","105","182","6","3","16","0","3","0","0","16","26","0","3","0","0","2","11","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5335","test","com.google.android.agera.database.test","L4414","L103","0.294964","1","2","1","0.2","0.34375","11","11","0","0","0","0","0","0","0.319149","15","0","3","0","0","0","0","0","0","0","0","0","1","0","0","32","55","1","1","15","0","1","0","0","4","8","0","1","0","0","1","2","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5935","test","com.google.android.agera.net.test","L5350","L103","0.294964","1","2","1","0.2","0.34375","11","11","0","0","0","0","0","0","0.319149","15","0","3","0","0","0","0","0","0","0","0","0","1","0","0","32","55","1","1","15","0","1","0","0","4","8","0","1","0","0","1","2","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6672","test","com.google.android.agera.rvadapter.test","L5950","L103","0.294964","1","4","2","0.2","0.34375","22","22","0","0","0","0","0","0","0.319149","30","0","3","0","0","0","0","0","0","0","0","0","1","0","0","64","110","2","2","26","0","2","0","0","8","16","0","2","0","0","1","4","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4370","matchers","com.google.android.agera.content.test.matchers","L4369","L103","0.155894","1","2","1","0.196429","0.333333","11","11","0","0.315789","30","0","7","0","0.315789","30","0","7","65","113","4","2","0","0","0","9","0","0","5","0","65","113","4","2","15","0","2","0","0","9","13","0","2","0","0","0","5","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4402","mocks","com.google.android.agera.content.test.mocks","L4369","L103","0","0","0","0","0","0","0","0","0","0.272727","15","0","7","0","0.272727","15","0","7","40","69","2","1","0","0","0","7","0","0","6","0","40","69","2","1","15","0","1","0","0","7","13","0","1","0","0","0","6","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
