"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.131297","47","893","144","0.0783037","0.14938","1082","988","0","0","0","0","0","0.846377","0.463846","5722","584","106","0","0","0","0","0","0","0","0","0","1","0","0","6614","13818","358","97","17","2","77","210","11","760","2979","168","75","2","11","13","637","102","0","0","1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","cn","cn","L100","L103","0.131297","47","893","144","0.0783037","0.14938","1082","988","0","0","0","0","0","0.846377","0.463846","5722","584","106","0","0","0","0","0","0","0","0","0","1","0","0","6614","13818","358","97","17","2","77","210","11","760","2979","168","75","2","11","12","637","102","0","0","1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","trinea","cn.trinea","L104","L103","0.131297","47","893","144","0.0783037","0.14938","1082","988","0","0","0","0","0","0.846377","0.463846","5722","584","106","0","0","0","0","0","0","0","0","0","1","0","0","6614","13818","358","97","17","2","77","210","11","760","2979","168","75","2","11","11","637","102","0","0","1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","cn.trinea.android","L105","L103","0.131297","47","893","144","0.0783037","0.14938","1082","988","0","0","0","0","0","0.846377","0.463846","5722","584","106","0","0","0","0","0","0","0","0","0","1","0","0","6614","13818","358","97","17","2","77","210","11","760","2979","168","75","2","11","10","637","102","0","0","1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","common","cn.trinea.android.common","L106","L103","0.131297","47","893","144","0.0783037","0.14938","1082","988","0","0","0","0","0","0.846377","0.463846","5722","584","106","0","0","0","0","0","0","0","0","0","7","0","0","6614","13818","358","97","17","2","77","210","11","760","2979","168","75","2","11","9","637","102","0","0","1395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","annotation","cn.trinea.android.common.annotation","L107","L103","0","0","0","0","0","0","0","0","1","0.357143","5","1","0","1","0.357143","5","1","0","9","17","0","0","0","0","0","0","0","0","0","0","9","17","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","constant","cn.trinea.android.common.constant","L107","L103","0","0","0","0","0","0","0","0","1","0.128713","13","2","0","1","0.128713","13","2","0","88","125","48","2","0","0","0","0","47","0","0","0","88","125","48","2","9","0","2","0","0","0","0","47","2","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L247","dao","cn.trinea.android.common.dao","L107","L103","0","0","0","0","0","0","0","0","1","0.794521","58","8","0","0.555556","0.288079","87","10","8","15","86","0","0","0","2","2","6","0","1","6","0","215","349","2","2","10","0","4","4","2","17","116","0","2","0","2","1","14","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L501","entity","cn.trinea.android.common.entity","L107","L103","0","0","0","0","0","0","0","0","0.735294","0.506608","345","50","18","0.735294","0.506608","345","50","18","336","774","28","5","1","27","0","66","3","0","62","23","336","774","28","5","9","1","5","27","0","66","123","3","5","1","0","0","62","23","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L809","service","cn.trinea.android.common.service","L107","L103","0.182557","12","116","24","0","0","0","0","0.965517","0.56513","282","28","1","0.86385","0.494437","1822","184","29","217","565","7","4","0","5","3","39","1","1","26","0","1863","4140","107","37","10","1","26","50","7","235","705","24","24","1","7","1","197","37","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2519","util","cn.trinea.android.common.util","L107","L103","0.15796","34","769","118","0","0","0","0","0.92283","0.490515","3077","287","24","0.92283","0.490515","3077","287","24","3196","6943","115","43","0","114","0","334","89","0","284","11","3196","6943","115","43","9","0","35","114","0","334","1599","89","38","0","0","0","284","11","0","0","614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5151","view","cn.trinea.android.common.view","L107","L103","0.0147685","1","8","2","0","0","0","0","0.649351","0.291406","373","50","27","0.649351","0.291406","373","50","27","907","1470","58","8","0","15","2","108","5","0","80","31","907","1470","58","8","9","0","4","15","2","108","436","5","4","0","2","0","80","31","0","0","181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","impl","cn.trinea.android.common.dao.impl","L247","L103","0","0","0","0","0","0","0","0","0.2","0.126638","29","2","8","0.2","0.126638","29","2","8","200","263","2","2","0","2","0","11","0","0","8","0","200","263","2","2","10","0","2","2","0","11","116","0","2","0","0","0","8","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1086","impl","cn.trinea.android.common.service.impl","L809","L103","0.207115","12","116","24","0","0","0","0","0.847826","0.483365","1540","156","28","0.847826","0.483365","1540","156","28","1646","3575","100","33","1","45","4","196","23","0","171","37","1646","3575","100","33","10","1","22","45","4","196","629","23","22","1","4","0","171","37","0","0","462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
