"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0519213","65","435","180","0.0315918","0.0483403","2166","1749","0","0","0","0","0","0.0730322","0.373005","21525","270","3427","0","0","0","0","0","0","0","0","0","3","0","0","36182","68562","1774","785","313","11","874","779","98","4176","11867","528","701","11","94","117","2876","257","0","0","12722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0520679","65","435","180","0.0318679","0.0486225","2166","1749","0","0","0","0","0","0.0736958","0.371598","21271","267","3356","0","0","0","0","0","0","0","0","0","2","0","0","35971","67968","1771","764","300","11","857","766","95","4122","11846","525","680","11","91","99","2822","252","0","0","12529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21844","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0416667","0.537246","238","3","69","3","6","0","1","0","0","0","0","0","4","0","0","205","568","3","20","22","0","16","13","3","53","21","3","20","0","3","12","53","5","0","0","188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34442","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.727273","16","0","2","0","0","0","0","0","0","0","0","0","1","0","0","6","26","0","1","13","0","1","0","0","1","0","0","1","0","0","3","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","androidannotations","org.androidannotations","L104","L103","0.0522203","65","435","180","0","0","0","0","0.0232558","0.289773","51","1","42","0.0737365","0.371811","21249","267","3354","125","230","9","3","0","30","1","39","0","31","39","0","35901","67859","1766","760","299","11","856","765","95","4118","11816","525","679","11","91","97","2821","252","0","0","12509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21561","robolectric","org.robolectric","L104","L103","0","0","0","0","0","0","0","0","0","0.23913","22","0","2","0","0.23913","22","0","2","70","109","5","4","0","1","0","4","0","0","1","0","70","109","5","4","11","0","1","1","0","4","30","0","1","0","0","0","1","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21849","support","android.support","L21844","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.56231","185","1","49","0","0","0","0","0","0","0","0","0","2","0","0","144","418","0","13","22","0","12","7","3","38","14","0","13","0","3","8","38","4","0","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22366","os","android.os","L21844","L103","0","0","0","0","0","0","0","0","0.333333","0.633333","19","1","2","0.333333","0.633333","19","1","2","11","35","3","3","0","0","0","0","3","0","0","0","11","35","3","3","12","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23170","content","android.content","L21844","L103","0","0","0","0","0","0","0","0","0","0.46875","15","0","5","0","0.46875","15","0","5","17","39","0","1","0","3","0","4","0","0","4","0","17","39","0","1","12","0","1","3","0","4","3","0","1","0","0","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24520","app","android.app","L21844","L103","0","0","0","0","0","0","0","0","0.0769231","0.387755","19","1","12","0.0769231","0.387755","19","1","12","30","70","0","2","0","3","0","11","0","0","11","1","30","70","0","2","12","0","1","3","0","11","4","0","2","0","0","0","11","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34443","github","com.github","L34442","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.727273","16","0","2","0","0","0","0","0","0","0","0","0","1","0","0","6","26","0","1","13","0","1","0","0","1","0","0","1","0","0","2","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","annotations","org.androidannotations.annotations","L105","L103","0","0","0","0","0","0","0","0","1","0.874663","5841","85","0","1","0.857373","6931","112","0","837","7055","20","1","6","0","0","112","17","2","0","0","1153","8615","24","1","14","7","102","0","0","163","0","21","1","7","0","2","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L970","api","org.androidannotations.api","L105","L103","0.0296226","2","17","5","0","0","0","0","0.852941","0.365269","488","29","5","0.241935","0.3975","1113","45","141","848","1490","44","11","0","1","2","81","2","5","57","6","1687","3247","64","39","19","0","34","13","5","242","689","2","32","0","4","7","178","7","0","0","598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2753","test","org.androidannotations.test","L105","L103","0.0527935","16","71","36","0","0","0","0","0.0126183","0.275415","1295","4","313","0.0245161","0.301723","3363","19","756","3407","5937","256","81","0","2","1","401","10","24","262","23","7783","13863","599","220","60","0","194","14","12","913","1957","118","188","0","12","24","607","54","0","0","2917","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7222","testutils","org.androidannotations.testutils","L105","L103","0","0","0","0","0","0","0","0","0.152174","0.180263","137","7","39","0.152174","0.180263","137","7","39","623","904","13","7","0","8","0","63","0","0","45","0","623","904","13","7","12","0","3","8","0","63","315","0","4","0","0","0","45","0","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7971","handler","org.androidannotations.handler","L105","L103","0","0","0","0","0","0","0","0","0","0.384615","90","0","24","0","0.384615","90","0","24","144","294","5","2","0","10","5","27","0","0","17","0","144","294","5","2","12","0","6","10","5","27","34","0","2","0","5","0","17","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8162","helper","org.androidannotations.helper","L105","L103","0.00520866","3","14","3","0","0","0","0","0.0315457","0.138207","518","10","307","0.0315457","0.138207","518","10","307","3230","4467","204","42","1","37","3","362","136","0","296","5","3230","4467","204","42","17","1","23","37","3","362","1366","136","36","1","2","0","296","5","0","0","986","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10310","holder","org.androidannotations.holder","L105","L103","0.056361","6","23","12","0","0","0","0","0.00253165","0.150396","607","1","394","0.00253165","0.150396","607","1","394","3429","4841","222","31","0","321","11","499","5","0","355","99","3429","4841","222","31","12","0","39","321","11","499","1413","5","29","0","11","0","355","99","0","0","1394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11983","internal","org.androidannotations.internal","L105","L103","0.0760784","25","197","66","0","0","0","0","0","0.124535","67","0","49","0.00452489","0.207509","2349","3","660","471","648","19","4","0","31","0","59","0","7","45","4","8971","13719","287","155","28","1","138","179","2","783","3613","119","139","1","1","10","532","4","0","0","2737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16637","logger","org.androidannotations.logger","L105","L103","0.0136054","2","12","2","0","0","0","0","0","0.257235","80","0","35","0","0.273684","208","0","69","231","383","17","4","1","4","0","38","10","2","30","2","552","927","29","13","20","1","13","8","0","77","198","11","12","1","0","2","57","4","0","0","224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17056","plugin","org.androidannotations.plugin","L105","L103","0","0","0","0","0","0","0","0","0","0.247934","30","0","15","0","0.247934","30","0","15","91","152","4","2","0","11","0","17","0","0","13","0","91","152","4","2","12","0","2","11","0","17","28","0","2","0","0","0","13","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17097","rclass","org.androidannotations.rclass","L105","L103","0","0","0","0","0","0","0","0","0","0.523256","45","0","14","0","0.523256","45","0","14","41","109","14","1","1","4","2","10","14","0","10","1","41","109","14","1","17","1","3","4","2","10","6","14","1","1","2","0","10","1","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17134","copyannotations","org.androidannotations.copyannotations","L105","L103","0","0","0","0","0","0","0","0","0","0.37931","55","0","10","0","0.37931","55","0","10","90","150","0","3","0","0","0","8","0","0","8","1","90","150","0","3","12","0","2","0","0","8","17","0","2","0","0","0","8","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17177","ebean","org.androidannotations.ebean","L105","L103","0","0","0","0","0","0","0","0","0","0.57971","120","0","11","0","0.57971","120","0","11","87","249","3","6","0","0","2","8","0","0","3","1","87","249","3","6","12","0","8","0","2","8","4","0","6","0","2","0","3","1","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17257","eviewgroup","org.androidannotations.eviewgroup","L105","L103","0","0","0","0","0","0","0","0","0","0.420561","45","0","9","0","0.420561","45","0","9","62","130","2","3","0","0","1","10","0","0","7","1","62","130","2","3","12","0","3","0","1","10","9","0","3","0","0","0","7","1","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17318","generation","org.androidannotations.generation","L105","L103","0.265239","8","27","27","0","0","0","0","0.0296296","0.401845","610","4","131","0.0296296","0.401845","610","4","131","908","1823","44","38","0","3","1","102","17","0","96","12","908","1823","44","38","16","0","36","3","1","102","227","17","38","0","1","0","96","12","0","0","495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17723","hierarchyviewer","org.androidannotations.hierarchyviewer","L105","L103","0","0","0","0","0","0","0","0","0","0.434783","30","0","6","0","0.434783","30","0","6","39","82","0","2","0","0","0","4","0","0","4","1","39","82","0","2","12","0","2","0","0","4","11","0","2","0","0","0","4","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17739","innerclasses","org.androidannotations.innerclasses","L105","L103","0","0","0","0","0","0","0","0","0","0.529412","45","0","7","0","0.529412","45","0","7","40","105","0","5","0","0","0","3","0","0","3","1","40","105","0","5","12","0","3","0","0","3","4","0","4","0","0","0","3","1","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17763","keyevents","org.androidannotations.keyevents","L105","L103","0","0","0","0","0","0","0","0","0","0.319149","75","0","12","0","0.319149","75","0","12","160","292","1","7","0","0","0","33","1","0","5","1","160","292","1","7","12","0","6","0","0","33","15","1","7","0","0","0","5","1","0","0","97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
