"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.268406","1547","78949","13532","0.196564","0.265976","60772","56452","0","0","0","0","0","0.203609","0.206554","55673","3904","15270","0","0","0","0","0","0","0","0","0","2","0","0","213859","309171","9116","3327","864","230","1815","4161","332","21534","98672","2001","2008","221","319","297","18918","1641","0","0","81225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.268651","1546","78945","13530","0.196731","0.266177","60744","56426","0","0","0","0","0","0.203601","0.20646","55574","3901","15259","0","0","0","0","0","0","0","0","0","1","0","0","213601","308767","9100","3320","862","230","1812","4161","332","21516","98570","1998","2003","221","319","294","18901","1641","0","0","81130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108471","storm","storm","L100","L103","0.0998056","1","4","2","0.0693069","0.100775","28","26","0","0","0","0","0","0.214286","0.277311","99","3","11","0","0","0","0","0","0","0","0","0","1","0","0","258","404","16","7","10","0","3","0","0","18","102","3","5","0","0","1","17","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","apache","org.apache","L104","L103","0.268651","1546","78945","13530","0.196731","0.266177","60744","56426","0","0","0","0","0","0.203601","0.20646","55574","3901","15259","0","0","0","0","0","0","0","0","0","2","0","0","213601","308767","9100","3320","862","230","1812","4161","332","21516","98570","1998","2003","221","319","293","18901","1641","0","0","81130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108472","starter","storm.starter","L108471","L103","0.0998056","1","4","2","0","0","0","0","0.214286","0.277311","99","3","11","0.214286","0.277311","99","3","11","258","404","16","7","0","0","0","18","3","0","17","0","258","404","16","7","10","0","3","0","0","18","102","3","5","0","0","0","17","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","storm","org.apache.storm","L105","L103","0.268659","1546","78945","13530","0","0","0","0","0.165217","0.374693","1833","38","192","0.20357","0.206408","55554","3900","15258","3059","5705","404","26","0","28","5","242","367","66","218","33","213593","308735","9100","3319","860","230","1811","4161","332","21515","98569","1998","2002","221","319","290","18900","1641","0","0","81127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108464","calcite","org.apache.calcite","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.714286","20","1","1","0","0","0","0","0","0","0","0","0","1","0","0","8","32","0","1","13","0","1","0","0","1","1","0","1","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","elasticsearch","org.apache.storm.elasticsearch","L106","L103","0.0390564","2","4","4","0","0","0","0","1","0.75","51","5","0","0.218182","0.345264","627","24","86","17","81","0","0","0","0","2","3","0","3","3","0","1189","2128","61","32","37","0","29","19","3","126","325","2","26","0","3","3","98","1","0","0","385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1131","hbase","org.apache.storm.hbase","L106","L103","0.0694058","7","38","10","0.0413462","0.0664126","129","122","0","0","0","0","0","0.21134","0.311985","833","41","153","0","0","0","0","0","0","0","0","0","5","0","0","1837","3120","104","41","32","0","34","19","6","179","698","16","34","0","6","9","162","0","0","0","575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2554","hdfs","org.apache.storm.hdfs","L106","L103","0.123371","50","178","87","0.0904065","0.117593","1063","893","0","0","0","0","0","0.187075","0.254028","2586","110","478","0","0","0","0","0","0","0","0","0","6","0","0","7594","11758","453","106","51","4","87","101","15","692","3484","82","84","4","13","14","533","22","0","0","2401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6779","hive","org.apache.storm.hive","L106","L103","0.175918","17","110","34","0.129481","0.163844","437","416","0","0","0","0","0","0.0804598","0.154231","463","14","160","0","0","0","0","0","0","0","0","0","3","0","0","2539","3375","141","41","36","0","17","30","2","202","1100","5","28","0","1","4","159","2","0","0","831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7937","jdbc","org.apache.storm.jdbc","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.108108","0.293943","495","12","99","0","0","0","0","0","0","0","0","0","6","0","0","1189","1935","51","23","37","0","24","14","3","96","496","1","22","0","3","7","87","1","0","0","287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8707","kafka","org.apache.storm.kafka","L106","L103","0.0278389","9","24","15","0","0","0","0","0.0614754","0.238135","853","15","229","0.145963","0.271096","2599","94","550","2729","4171","182","45","2","42","5","249","60","4","210","3","6988","11094","420","127","71","4","110","175","15","722","2958","89","99","3","15","11","585","16","0","0","2124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13142","mongodb","org.apache.storm.mongodb","L106","L103","0.128482","4","18","7","0.0713028","0.112628","81","66","0","0","0","0","0","0.12","0.3746","351","9","66","0","0","0","0","0","0","0","0","0","4","0","0","586","1136","40","16","29","0","17","3","2","60","189","1","16","0","2","6","57","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13502","mqtt","org.apache.storm.mqtt","L106","L103","0.0319171","2","6","4","0","0","0","0","0.368421","0.436567","117","7","12","0.23913","0.342493","511","33","105","151","315","9","5","0","2","2","14","0","7","14","0","981","1760","74","24","36","0","19","18","3","137","357","0","17","0","3","7","130","18","0","0","364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14218","opentsdb","org.apache.storm.opentsdb","L106","L103","0.0423989","2","8","4","0","0","0","0","0.36","0.343243","127","9","16","0.242105","0.313599","339","23","72","243","447","11","6","0","6","0","22","1","3","21","0","742","1299","58","16","25","1","13","20","2","84","273","5","15","1","2","3","78","0","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14714","redis","org.apache.storm.redis","L106","L103","0.201663","19","106","38","0.110754","0.179421","552","483","0","0","0","0","0","0.65812","0.38333","1674","154","80","0","0","0","0","0","0","0","0","0","5","0","0","2693","4984","140","57","39","1","46","48","7","250","1066","20","46","1","7","9","205","10","0","0","724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16308","solr","org.apache.storm.solr","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.153846","0.338359","561","22","121","0","0","0","0","0","0","0","0","0","8","0","0","1097","1926","65","28","32","0","26","51","3","153","355","1","28","0","3","9","112","18","0","0","374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
