"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0538618","928","6080","2382","0.0445228","0.0618466","25175","22878","0","0","0","0","0","0.438544","0.269292","136334","10472","13407","0","0","0","0","0","0","0","0","0","8","0","0","369934","565440","13842","5629","431","227","2881","7167","385","33713","131301","3941","3138","170","328","212","24820","983","0","0","92470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","bazel","bazel","L100","L103","0","0","0","0","0","0","0","0","0.5","0.272727","9","3","3","0.5","0.272727","9","3","3","24","41","0","3","0","0","0","3","0","0","3","0","24","41","0","3","7","0","3","0","0","3","6","0","3","0","0","0","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","com","com","L100","L103","0.0527585","850","3203","2116","0.0440389","0.0611027","23756","21607","0","0","0","0","0","0.445747","0.268951","130101","9921","12336","0","0","0","0","0","0","0","0","0","5","0","0","353634","539432","13230","5386","396","218","2708","6732","362","31865","124892","3792","2974","162","313","186","23152","949","0","0","87866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L163437","org","org","L100","L103","0.0900202","81","2866","264","0.0621776","0.0892934","1398","1251","0","0","0","0","0","0.339731","0.275018","5315","531","1032","0","0","0","0","0","0","0","0","0","1","0","0","14011","22484","396","183","24","9","133","425","17","1683","5896","36","138","8","13","13","1573","33","0","0","4093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171851","unnamed package","unnamed package","L100","L103","0.00967167","1","3","1","0","0","0","0","0.526316","0.227778","410","10","9","0.526316","0.227778","410","10","9","1390","1996","127","42","0","3","6","92","109","0","62","0","1390","1996","127","42","8","0","22","3","6","92","133","109","12","0","2","0","62","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172683","test","test","L100","L103","0","0","0","0","0","0","0","0","0.25","0.307229","51","2","6","0.25","0.307229","51","2","6","115","187","0","3","0","0","0","5","0","0","5","0","115","187","0","3","6","0","3","0","0","5","53","0","3","0","0","0","5","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172708","methodparameters","methodparameters","L100","L103","0","0","0","0","0","0","0","0","0","0.722222","13","0","3","0","0.722222","13","0","3","5","21","0","1","0","0","0","2","0","0","2","0","5","21","0","1","7","0","1","0","0","2","0","0","1","0","0","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172717","java","java","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8125","13","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","19","0","1","6","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L201353","edu","edu","L100","L103","0.00669722","1","8","1","0.00793651","0.0133333","10","10","0","0","0","0","0","0.217391","0.359455","422","5","18","0","0","0","0","0","0","0","0","0","1","0","0","752","1260","89","10","11","0","10","7","0","63","321","4","7","0","0","4","23","1","0","0","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L159","example","com.example","L158","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.45","0.326772","83","9","11","0","0","0","0","0","0","0","0","0","1","0","0","171","309","3","9","35","0","10","1","0","20","58","0","8","0","0","1","20","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L341","google","com.google","L158","L103","0.0522388","830","3025","2068","0.0441043","0.0607734","23136","21011","0","0","0","0","0","0.441596","0.263696","123818","9576","12109","0","0","0","0","0","0","0","0","0","2","0","0","345730","524575","12178","5284","337","211","2636","6641","357","31191","121604","2935","2900","155","308","167","22623","932","0","0","86332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L158306","android","com.android","L158","L103","0.0280329","4","31","7","0","0","0","0","1","0.564801","1120","5","0","0.621849","0.440827","2112","74","45","863","1485","758","1","0","0","0","5","757","4","4","0","2679","4633","828","30","16","2","15","23","5","145","814","774","17","2","5","7","112","1","0","0","399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L160421","facebook","com.facebook","L158","L103","0.115318","4","28","12","0.0591477","0.109091","161","156","0","0","0","0","0","0.292453","0.385769","900","62","150","0","0","0","0","0","0","0","0","0","1","0","0","1433","2722","101","43","14","5","31","51","0","201","429","36","31","5","0","5","192","14","0","0","649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L161192","dd","com.dd","L158","L103","0.0999419","13","119","29","0.0489365","0.0952645","352","344","0","0","0","0","0","0.904977","0.468204","3188","200","21","0","0","0","0","0","0","0","0","0","1","0","0","3621","7193","120","20","10","0","16","16","0","308","1987","47","18","0","0","1","205","2","0","0","432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L163438","checkerframework","org.checkerframework","L163437","L103","0.0900202","81","2866","264","0.0621776","0.0892934","1398","1251","0","0","0","0","0","0.339731","0.275018","5315","531","1032","0","0","0","0","0","0","0","0","0","2","0","0","14011","22484","396","183","24","9","133","425","17","1683","5896","36","138","8","13","12","1573","33","0","0","4093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
