"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.203703","610","6080","1820","0.130852","0.178134","23246","19695","0","0","0","0","0","0.385289","0.26549","40183","3520","5616","0","0","0","0","0","0","0","0","0","7","0","0","111171","177651","7653","1629","407","24","1537","1870","182","11409","58179","3154","1327","15","171","185","9619","1168","0","0","37636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.211796","552","5398","1663","0.138964","0.185779","21257","17950","0","0","0","0","0","0.334768","0.253378","32945","2722","5409","0","0","0","0","0","0","0","0","0","6","0","0","97078","152968","6852","1464","376","22","1412","1606","164","10001","49949","2914","1201","13","153","161","8579","1093","0","0","34554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L57216","net","net","L100","L103","0.00673426","1","1","1","0.00228571","0.00335345","12","10","0","0","0","0","0","0.510526","0.360856","1687","97","93","0","0","0","0","0","0","0","0","0","1","0","0","2988","5250","221","32","13","2","32","81","2","260","1352","134","27","2","2","6","188","12","0","0","596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58983","jnlp","jnlp","L100","L103","0.0560986","6","39","13","0.0356128","0.0538543","163","153","0","0","0","0","0","0.432432","0.289395","1157","64","84","0","0","0","0","0","0","0","0","0","1","0","0","2841","4577","151","34","13","0","18","88","3","254","1716","27","18","0","3","4","162","6","0","0","740","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60566","com","com","L100","L103","0.222222","3","16","6","0.0892495","0.198113","88","84","0","0","0","0","0","1","0.524664","468","30","0","0","0","0","0","0","0","0","0","0","1","0","0","424","986","10","2","20","0","2","0","0","78","234","2","2","0","0","2","58","18","0","0","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60964","jargs","jargs","L100","L103","0.449016","6","56","12","0.260456","0.390323","274","242","0","0","0","0","0","0.673469","0.326087","300","33","16","0","0","0","0","0","0","0","0","0","1","0","0","620","1052","22","24","18","0","2","20","0","102","276","0","24","0","0","1","74","0","0","0","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L61455","local","local","L100","L103","0.206433","46","570","125","0.115339","0.179943","1452","1256","0","0","0","0","0","0.986087","0.331143","3527","567","8","0","0","0","0","0","0","0","0","0","4","0","0","7124","12589","387","72","12","0","70","70","13","702","4606","77","54","0","13","4","546","39","0","0","1332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L66096","connection","connection","L100","L103","0","0","0","0","0","0","0","0","0.538462","0.507692","99","7","6","0.538462","0.507692","99","7","6","96","229","10","1","0","5","0","12","0","0","12","0","96","229","10","1","7","0","1","5","0","12","46","0","1","0","0","0","12","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","bigbluebutton","org.bigbluebutton","L104","L103","0.329212","421","4437","1294","0.215342","0.278117","17051","14402","0","0","0","0","0","0.0470417","0.208777","13668","194","3930","0","0","0","0","0","0","0","0","0","17","0","0","51799","79181","4979","1085","311","16","1005","961","123","5658","23590","2397","890","11","117","110","4799","869","0","0","25430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L32536","freeswitch","org.freeswitch","L104","L103","0.127498","11","66","28","0.0742872","0.120221","284","239","0","0","0","0","0","0.513228","0.396802","1340","97","92","0","0","0","0","0","0","0","0","0","1","0","0","2037","3823","114","37","32","2","31","34","3","207","776","33","29","1","3","13","176","10","0","0","554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L33723","imsglobal","org.imsglobal","L104","L103","0.0914275","5","42","10","0.0644909","0.0961632","247","198","0","0","0","0","0","0.516129","0.411882","1442","48","45","0","0","0","0","0","0","0","0","0","3","0","0","2059","3830","126","6","11","0","6","33","0","99","1290","92","6","0","0","3","87","2","0","0","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34698","bytedeco","org.bytedeco","L104","L103","0.0684605","37","335","120","0.0492809","0.0689768","1076","1057","0","0","0","0","0","0.471058","0.249438","5100","708","795","0","0","0","0","0","0","0","0","0","2","0","0","15346","21834","474","115","16","1","125","149","6","1663","9557","39","76","1","5","5","1439","67","0","0","3669","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L43498","red5","org.red5","L104","L103","0.113942","73","368","135","0.0934845","0.106268","2102","1592","0","0","0","0","0","0.287758","0.193526","3623","181","448","0","0","0","0","0","0","0","0","0","2","0","0","15098","22485","711","93","21","3","94","137","9","730","8277","218","77","0","9","12","580","32","0","0","2611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L48535","zoolu","org.zoolu","L104","L103","0.0869287","33","150","76","0.0227825","0.0440671","497","462","0","0","0","0","0","0.937853","0.419858","7772","1494","99","0","0","0","0","0","0","0","0","0","4","0","0","10739","21815","448","128","21","0","151","292","23","1644","6459","135","123","0","19","12","1498","113","0","0","2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L57217","oauth","net.oauth","L57216","L103","0.00673426","1","1","1","0","0","0","0","0.494737","0.315642","452","47","48","0.510526","0.360856","1687","97","93","980","1632","89","12","1","31","1","98","65","4","81","4","2988","5250","221","32","13","2","32","81","2","260","1352","134","27","2","2","5","188","12","0","0","596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58984","sample","jnlp.sample","L58983","L103","0.0560986","6","39","13","0.0356128","0.0538543","163","153","0","0","0","0","0","0.432432","0.289395","1157","64","84","0","0","0","0","0","0","0","0","0","3","0","0","2841","4577","151","34","13","0","18","88","3","254","1716","27","18","0","3","3","162","6","0","0","740","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60567","myjavatools","com.myjavatools","L60566","L103","0.222222","3","16","6","0.0892495","0.198113","88","84","0","0","0","0","0","1","0.524664","468","30","0","0","0","0","0","0","0","0","0","0","1","0","0","424","986","10","2","20","0","2","0","0","78","234","2","2","0","0","1","58","18","0","0","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60965","gnu","jargs.gnu","L60964","L103","0.449016","6","56","12","0.260456","0.390323","137","121","0.673469","0.326087","300","33","16","0.673469","0.326087","300","33","16","620","1052","22","24","0","20","0","102","0","0","74","0","620","1052","22","24","18","0","2","20","0","102","276","0","24","0","0","0","74","0","0","0","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L61456","media","local.media","L61455","L103","0.132653","9","56","16","0","0","0","0","0.96875","0.386705","954","124","4","0.96875","0.386705","954","124","4","1513","2964","86","18","0","2","1","138","8","0","117","1","1513","2964","86","18","9","0","19","2","1","138","840","8","17","0","1","0","117","1","0","0","303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
