"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.30875","60","390","269","0.354964","0.404568","4097","3879","0","0","0","0","0","0.188791","0.0636719","652","64","275","0","0","0","0","0","0","0","0","0","4","0","0","9588","11542","231","140","95","6","113","47","7","454","1941","62","110","4","5","18","288","3","0","0","2547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","butterknife","butterknife","L100","L103","0.341011","59","386","267","0","0","0","0","0.273585","0.0733085","493","58","154","0.246094","0.0677627","643","63","193","6232","7320","24","33","3","1","3","192","10","4","162","1","8846","10549","139","65","48","6","77","39","5","392","1787","25","39","4","3","4","241","3","0","0","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2879","com","com","L100","L103","0.0294294","1","4","2","0.0226757","0.0269461","20","18","0","0","0","0","0","0","0.0103704","7","0","56","0","0","0","0","0","0","0","0","0","2","0","0","668","882","80","61","46","0","29","8","0","51","152","28","57","0","0","6","37","0","0","0","429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3419","sample","sample","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0153846","1","0","20","0","0","0","0","0","0","0","0","0","1","0","0","64","94","12","14","9","0","6","0","0","6","2","9","14","0","0","1","5","0","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3490","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.142857","0.0909091","1","1","6","0","0","0","0","0","0","0","0","0","1","0","0","10","17","0","0","11","0","1","0","2","5","0","0","0","0","2","3","5","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","internal","butterknife.internal","L104","L103","0","0","0","0","0","0","0","0","0.0952381","0.0993151","29","2","19","0.0952381","0.0993151","29","2","19","263","343","4","6","1","3","0","35","0","0","20","0","263","343","4","6","19","1","6","3","0","35","88","0","3","1","0","0","20","0","0","0","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L682","compiler","butterknife.compiler","L104","L103","0.13284","11","162","43","0","0","0","0","0","0.0494331","109","0","8","0","0.0494331","109","0","8","2096","2560","98","18","2","26","2","138","15","0","47","2","2096","2560","98","18","13","2","13","26","2","138","1051","15","3","0","0","0","47","2","0","0","494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2062","plugin","butterknife.plugin","L104","L103","0","0","0","0","0","0","0","0","0.5","0.0512821","4","1","1","0.5","0.0512821","4","1","1","74","97","2","1","0","1","0","6","0","0","1","0","74","97","2","1","9","0","1","1","0","6","24","0","1","0","0","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2105","lint","butterknife.lint","L104","L103","0","0","0","0","0","0","0","0","0.153846","0.042328","8","2","11","0.153846","0.042328","8","2","11","181","229","11","7","0","8","0","21","0","0","11","0","181","229","11","7","13","0","5","8","0","21","53","0","5","0","0","0","11","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2880","example","com.example","L2879","L103","0.0306537","1","4","2","0.0243309","0.0290323","20","18","0","0","0","0","0","0","0.00958466","6","0","46","0","0","0","0","0","0","0","0","0","1","0","0","620","822","71","51","46","0","28","8","0","51","152","19","47","0","0","3","37","0","0","0","360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
