"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0839155","145","2269","393","0.062879","0.0887807","3702","3519","0","0","0","0","0","0.096635","0.242138","12796","336","3141","0","0","0","0","0","0","0","0","0","3","0","0","40050","58875","1604","367","17","4","170","195","421","4137","19178","573","213","2","413","9","3452","29","0","0","13294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","clojure","clojure","L100","L103","0.0839583","145","2269","393","0","0","0","0","0","0.28125","9","0","4","0.0968579","0.242266","12796","336","3133","23","40","5","1","0","0","0","3","0","4","3","0","40022","58839","1604","363","15","4","168","195","420","4131","19173","573","211","2","412","6","3446","29","0","0","13265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22360","compilation","compilation","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","12","15","0","1","0","0","0","3","0","0","3","0","12","15","0","1","6","0","1","0","0","3","3","0","1","0","0","0","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22374","reflector","reflector","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","16","21","0","3","0","0","1","3","0","0","3","0","16","21","0","3","6","0","1","0","1","3","2","0","1","0","1","0","3","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L112","asm","clojure.asm","L104","L103","0.138683","75","1511","213","0","0","0","0","0.935897","0.462381","5654","146","10","0.612048","0.422015","7430","254","161","6574","13039","513","19","0","56","1","290","245","1","177","0","10176","18851","595","29","8","0","30","72","2","586","5845","267","20","0","2","1","429","3","0","0","1224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4784","java","clojure.java","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.663043","61","4","0","0","0","0","0","0","0","0","0","0","1","0","0","31","101","1","1","8","0","1","0","0","5","9","0","1","0","0","1","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4825","lang","clojure.lang","L104","L103","0.0676254","70","758","180","0","0","0","0","0.0256663","0.151004","5296","78","2961","0.0256663","0.151004","5296","78","2961","29776","39824","1003","330","4","123","418","3532","306","0","3006","26","29776","39824","1003","330","7","4","135","123","418","3532","13308","306","187","2","410","0","3006","26","0","0","12010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22332","test","clojure.test","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","7","16","23","0","2","0","0","0","5","0","0","5","0","16","23","0","2","7","0","1","0","0","5","5","0","2","0","0","0","5","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1595","commons","clojure.asm.commons","L112","L103","0.230505","52","1253","161","0.0351438","0.0468085","22","22","0.416988","0.330234","1776","108","151","0.416988","0.330234","1776","108","151","3602","5812","82","10","0","16","1","296","22","0","252","3","3602","5812","82","10","8","0","10","16","1","296","1820","22","9","0","1","0","252","3","0","0","659","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4785","api","clojure.java.api","L4784","L103","0","0","0","0","0","0","0","0","1","0.663043","61","4","0","1","0.663043","61","4","0","31","101","1","1","0","0","0","5","0","0","3","0","31","101","1","1","8","0","1","0","0","5","9","0","1","0","0","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
