"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0687303","30","113","75","0.059565","0.062369","964","714","0","0","0","0","0","0.225086","0.126088","1652","131","451","0","0","0","0","0","0","0","0","0","3","0","0","11450","16184","738","353","648","0","170","85","5","923","4565","67","176","0","5","136","668","28","0","0","3647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","course","course","L100","L103","0.0864614","27","101","69","0.0770895","0.080444","891","645","0","0","0","0","0","0.193676","0.0985726","877","98","408","0","0","0","0","0","0","0","0","0","1","0","0","8020","11558","560","320","643","0","165","34","5","698","2678","40","170","0","5","125","499","9","0","0","3063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7158","com","com","L100","L103","0.0235359","3","12","6","0.0158558","0.0201401","73","69","0","0","0","0","0","0.426667","0.181362","759","32","43","0","0","0","0","0","0","0","0","0","1","0","0","3426","4604","178","32","6","0","4","51","0","224","1887","27","5","0","0","8","169","19","0","0","582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8892","android","android","L100","L103","0","0","0","0","0","0","0","0","1","0.8","16","1","0","1","0.8","16","1","0","4","22","0","1","0","0","0","1","0","0","0","0","4","22","0","1","7","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","examples","course.examples","L104","L103","0.0864614","27","101","69","0.0770895","0.080444","891","645","0","0","0","0","0","0.193676","0.0985726","877","98","408","0","0","0","0","0","0","0","0","0","30","0","0","8020","11558","560","320","643","0","165","34","5","698","2678","40","170","0","5","124","499","9","0","0","3063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7159","android","com.android","L7158","L103","0.0235359","3","12","6","0.0158558","0.0201401","73","69","0","0","0","0","0","0.426667","0.181362","759","32","43","0","0","0","0","0","0","0","0","0","4","0","0","3426","4604","178","32","6","0","4","51","0","224","1887","27","5","0","0","7","169","19","0","0","582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","alarms","course.examples.alarms","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.171271","31","0","6","0","0","0","0","0","0","0","0","0","1","0","0","150","231","17","7","10","0","3","0","0","7","34","0","3","0","0","1","7","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L357","audiovideo","course.examples.audiovideo","L105","L103","0.0905923","2","5","5","0.0853659","0.0954357","63","46","0","0","0","0","0","0.0909091","0.143872","81","1","10","0","0","0","0","0","0","0","0","0","5","0","0","482","738","26","21","34","0","5","0","0","42","198","0","5","0","0","5","24","1","0","0","202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L888","broadcastreceiver","course.examples.broadcastreceiver","L105","L103","0.159436","1","7","7","0.146067","0.148718","78","58","0","0","0","0","0","0.0357143","0.00255754","1","1","27","0","0","0","0","0","0","0","0","0","5","0","0","390","534","23","24","40","0","17","0","0","28","96","0","17","0","0","5","24","0","0","0","198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1183","bluetooth","course.examples.bluetooth","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1","0","0","338","387","29","10","10","0","5","0","0","25","128","4","4","0","0","1","14","1","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1519","checkintents","course.examples.checkintents","L105","L103","0.418327","1","2","1","0.403509","0.416667","23","20","0","0","0","0","3","0","0","0","0","3","48","57","0","2","0","1","0","3","0","0","3","0","48","57","0","2","9","0","1","1","0","3","18","0","1","0","0","0","3","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1569","checkbroadcastintents","course.examples.checkbroadcastintents","L105","L103","0.423387","1","2","1","0.410714","0.425532","23","20","0","0","0","0","3","0","0","0","0","3","47","56","0","2","0","1","0","3","0","0","3","0","47","56","0","2","9","0","1","1","0","3","18","0","1","0","0","0","3","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1591","contentproviders","course.examples.contentproviders","L105","L103","0.0543301","2","3","3","0.0436893","0.042","36","21","0","0","0","0","0","0.483871","0.142367","83","15","16","0","0","0","0","0","0","0","0","0","5","0","0","500","824","42","13","41","0","12","3","0","35","154","15","11","0","0","5","24","0","0","0","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2128","datamanagement","course.examples.datamanagement","L105","L103","0.0490018","2","2","2","0.0495627","0.0606061","17","14","0","0","0","0","0","0.0909091","0.0796813","20","1","10","0","0","0","0","0","0","0","0","0","4","0","0","231","343","9","10","28","0","5","0","0","14","87","0","6","0","0","4","9","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2386","DataManagement","course.examples.DataManagement","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.118644","14","0","6","0","0","0","0","0","0","0","0","0","1","0","0","104","166","10","3","10","0","2","0","0","11","38","0","2","0","0","1","5","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2483","fragments","course.examples.fragments","L105","L103","0.109943","7","30","16","0.12976","0.115942","184","112","0","0","0","0","0","0.288136","0.130513","145","34","84","0","0","0","0","0","0","0","0","0","5","0","0","966","1418","49","15","34","0","14","4","4","127","326","12","14","0","4","5","101","1","0","0","378","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3111","Fragments","course.examples.Fragments","L105","L103","0.0489663","2","4","2","0.0526316","0.0558376","15","11","0","0","0","0","0","0.275862","0.128319","29","8","21","0","0","0","0","0","0","0","0","0","1","0","0","197","285","9","3","10","0","3","1","1","28","67","2","3","0","1","1","25","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3219","graphics","course.examples.graphics","L105","L103","0.136998","2","4","4","0.110585","0.105691","70","52","0","0","0","0","0","0","0.0140281","7","0","30","0","0","0","0","0","0","0","0","0","12","0","0","492","633","43","24","76","0","13","1","0","39","180","0","13","0","0","12","31","0","0","0","204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
