"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.162901","33","139","81","0.116558","0.133279","1398","976","0","0","0","0","0","0.00169779","0.286574","2954","1","588","0","0","0","0","0","0","0","0","0","2","0","0","7354","11994","1453","717","552","0","196","40","3","431","1898","1214","593","0","3","45","324","25","0","0","5827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","net","net","L100","L103","0.168958","33","139","81","0.120351","0.138814","1398","976","0","0","0","0","0","0.00175131","0.291278","2902","1","570","0","0","0","0","0","0","0","0","0","1","0","0","7061","11616","1293","692","531","0","190","40","3","426","1855","1064","568","0","3","38","321","25","0","0","5633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6655","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.150725","52","0","18","0","0","0","0","0","0","0","0","0","2","0","0","293","378","160","25","30","0","6","0","0","5","43","150","25","0","0","5","3","0","0","0","194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","sgoliver","net.sgoliver","L104","L103","0.168958","33","139","81","0.120351","0.138814","1398","976","0","0","0","0","0","0.00175131","0.291278","2902","1","570","0","0","0","0","0","0","0","0","0","1","0","0","7061","11616","1293","692","531","0","190","40","3","426","1855","1064","568","0","3","37","321","25","0","0","5633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6656","google","com.google","L6655","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0983607","18","0","5","0","0","0","0","0","0","0","0","0","1","0","0","165","189","132","15","21","0","3","0","0","0","0","132","15","0","0","2","0","0","0","0","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6836","example","com.example","L6655","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.209877","34","0","13","0","0","0","0","0","0","0","0","0","1","0","0","128","189","28","10","12","0","3","0","0","5","43","18","10","0","0","1","3","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","net.sgoliver.android","L105","L103","0.168958","33","139","81","0.120351","0.138814","1398","976","0","0","0","0","0","0.00175131","0.291278","2902","1","570","0","0","0","0","0","0","0","0","0","36","0","0","7061","11616","1293","692","531","0","190","40","3","426","1855","1064","568","0","3","36","321","25","0","0","5633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6657","android","com.google.android","L6656","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0983607","18","0","5","0","0","0","0","0","0","0","0","0","1","0","0","165","189","132","15","21","0","3","0","0","0","0","132","15","0","0","1","0","0","0","0","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6837","android_menus_3","com.example.android_menus_3","L6836","L103","0","0","0","0","0","0","0","0","0","0.209877","34","0","13","0","0.209877","34","0","13","128","189","28","10","0","0","0","5","18","0","3","0","128","189","28","10","12","0","3","0","0","5","43","18","10","0","0","0","3","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","actionbartabs","net.sgoliver.android.actionbartabs","L106","L103","0.118613","1","5","1","0","0","0","0","0","0.21978","40","0","21","0","0.21978","40","0","21","142","214","21","13","0","0","0","9","20","0","8","0","142","214","21","13","14","0","6","0","0","9","32","20","13","0","0","0","8","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L312","actionbar","net.sgoliver.android.actionbar","L106","L103","0.296804","1","5","1","0","0","0","0","0","0.31068","32","0","12","0","0.31068","32","0","12","71","113","17","10","0","0","0","3","17","0","2","0","71","113","17","10","14","0","3","0","0","3","14","17","10","0","0","0","2","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L377","asynctask","net.sgoliver.android.asynctask","L106","L103","0.0747664","1","6","2","0","0","0","0","0","0.142857","38","0","12","0","0.142857","38","0","12","228","321","34","23","0","0","0","23","25","0","11","0","228","321","34","23","14","0","3","0","0","23","79","25","11","0","0","0","11","0","0","0","177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L649","bd","net.sgoliver.android.bd","L106","L103","0.362807","4","10","10","0","0","0","0","0","0.339893","190","0","16","0","0.339893","190","0","16","369","668","82","43","0","0","0","22","65","0","19","0","369","668","82","43","36","0","12","0","0","22","90","65","36","0","0","0","19","0","0","0","351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1021","botones","net.sgoliver.android.botones","L106","L103","0.472019","2","6","4","0","0","0","0","0","0.0583333","7","0","12","0","0.0583333","7","0","12","113","142","30","15","0","0","0","7","24","0","7","0","113","142","30","15","14","0","3","0","0","7","24","24","10","0","0","0","7","0","0","0","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1137","checkradio","net.sgoliver.android.checkradio","L106","L103","0","0","0","0","0","0","0","0","0","0.0795455","7","0","12","0","0.0795455","7","0","12","81","102","23","12","0","0","0","4","20","0","4","0","81","102","23","12","14","0","3","0","0","4","13","20","10","0","0","0","4","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1238","contentproviders","net.sgoliver.android.contentproviders","L106","L103","0.312956","7","28","14","0","0","0","0","0.0416667","0.208681","125","1","23","0.0416667","0.208681","125","1","23","474","753","65","32","0","2","0","28","42","0","24","0","474","753","65","32","25","0","10","2","0","28","149","42","28","0","0","0","24","0","0","0","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
