"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.207204","484","4426","1595","0.143999","0.193914","20631","17321","0","0","0","0","0","0.169897","0.260436","31456","938","4583","0","0","0","0","0","0","0","0","0","2","0","0","89326","143272","3973","2163","4875","2","1557","1192","111","8992","33116","300","1452","2","95","438","6500","963","0","0","35651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.207531","484","4426","1595","0.144144","0.194155","20631","17321","0","0","0","0","0","0.169421","0.260633","31449","933","4574","0","0","0","0","0","0","0","0","0","5","0","0","89215","143128","3971","2162","4871","2","1556","1191","108","8982","33044","300","1451","2","92","433","6490","963","0","0","35617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L53983","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.357143","0.059322","7","5","9","0","0","0","0","0","0","0","0","0","1","0","0","111","144","2","1","10","0","1","1","3","10","72","0","1","0","3","3","10","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","commonsware","com.commonsware","L104","L103","0.224002","360","2945","1298","0.168157","0.216672","16060","13321","0","0","0","0","0","0.0106416","0.219709","17312","34","3161","0","0","0","0","0","0","0","0","0","5","0","0","61483","95506","2634","1878","4811","1","1422","678","58","5719","19389","163","1330","1","43","402","3813","177","0","0","27661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L37325","google","com.google","L104","L103","0.0458408","3","6","6","0.021021","0.0327044","56","52","0","0","0","0","0","0.444444","0.316129","735","52","65","0","0","0","0","0","0","0","0","0","2","0","0","1590","2664","71","17","32","0","15","18","1","163","825","27","14","0","1","9","109","19","0","0","305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38273","actionbarsherlock","com.actionbarsherlock","L104","L103","0.113593","83","538","120","0.0275","0.0754717","22","20","0.830508","0.627286","446","49","10","0.361064","0.329375","9597","638","1129","265","800","9","1","0","3","8","56","1","4","49","12","19540","33415","931","181","25","0","85","372","42","2358","9508","90","82","0","41","13","1962","587","0","0","5372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50293","nineoldandroids","com.nineoldandroids","L104","L103","0.418191","83","727","134","0.219058","0.354412","1977","1687","0","0","0","0","0","0.694245","0.42317","3492","193","85","0","0","0","0","0","0","0","0","0","3","0","0","4760","9025","234","68","12","0","28","94","4","555","2330","12","20","0","4","4","442","123","0","0","1644","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L53132","viewpagerindicator","com.viewpagerindicator","L104","L103","0.264848","15","210","37","0.252285","0.283654","138","118","0.106667","0.145244","313","16","134","0.106667","0.145244","313","16","134","1842","2518","101","18","1","29","3","187","8","0","164","57","1842","2518","101","18","8","1","6","29","3","187","992","8","5","1","3","0","164","57","0","0","635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L53984","support","android.support","L53983","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.357143","0.059322","7","5","9","0","0","0","0","0","0","0","0","0","1","0","0","111","144","2","1","10","0","1","1","3","10","72","0","1","0","3","2","10","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","com.commonsware.android","L105","L103","0.216156","330","2653","1180","0.162182","0.211285","14440","12016","0","0","0","0","0","0.0100584","0.228084","16805","31","3051","0","0","0","0","0","0","0","0","0","232","0","0","56874","89036","2423","1704","4437","1","1273","574","51","5257","17954","141","1183","1","36","396","3523","174","0","0","25243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
