"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0687105","29","103","76","0.0684891","0.0997414","937","887","0","0","0","0","0","0.262557","0.267945","3255","115","323","0","0","0","0","0","0","0","0","0","5","0","0","8893","13681","350","434","180","2","123","63","7","839","2972","25","90","1","3","21","487","16","0","0","3682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0.444444","16","0","0","0","0.444444","16","0","0","20","43","1","3","0","0","0","4","0","0","3","0","20","43","1","3","10","0","1","0","0","4","2","0","0","0","0","0","3","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L165","test","test","L100","L103","0","0","0","0","0","0","0","0","0","0.449594","388","0","3","0","0.449594","388","0","3","475","1019","28","61","1","0","1","51","0","0","23","0","475","1019","28","61","121","1","24","0","1","51","44","0","3","0","0","0","23","0","0","0","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L719","dagger","dagger","L100","L103","0.0744675","29","103","76","0","0","0","0","0.148936","0.222259","663","21","120","0.27","0.240091","2538","108","292","2320","3441","133","251","1","12","3","290","5","3","136","1","8033","11816","304","349","33","1","73","59","4","739","2861","25","72","1","3","10","435","14","0","0","3228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6187","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.241379","0.548983","297","7","22","0","0","0","0","0","0","0","0","0","1","0","0","244","631","10","13","22","0","16","4","0","28","42","0","13","0","0","6","13","1","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6461","coffee","coffee","L100","L103","0","0","0","0","0","0","0","0","0","0.116788","16","0","6","0","0.116788","16","0","6","121","172","7","8","0","0","2","17","0","0","13","1","121","172","7","8","12","0","9","0","2","17","23","0","2","0","0","0","13","1","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L746","internal","dagger.internal","L719","L103","0.00322477","1","6","2","0","0","0","0","0.482014","0.370085","1007","67","72","0.40201","0.265564","1574","80","119","1714","3042","94","39","0","22","1","213","13","2","162","13","4353","6562","158","69","26","0","41","44","1","386","1950","20","35","0","1","2","250","13","0","0","968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3870","testing","dagger.testing","L719","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.666667","0.302083","29","2","1","0","0","0","0","0","0","0","0","0","1","0","0","67","108","0","1","10","0","1","1","0","4","38","0","1","0","0","1","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3928","tests","dagger.tests","L719","L103","0.310647","13","38","36","0.323167","0.41454","551","536","0","0","0","0","0","0.0877193","0.173802","272","5","52","0","0","0","0","0","0","0","0","0","1","0","0","1293","1705","13","28","13","0","13","2","0","59","146","0","13","0","0","4","47","0","0","0","439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6188","example","com.example","L6187","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.241379","0.548983","297","7","22","0","0","0","0","0","0","0","0","0","1","0","0","244","631","10","13","22","0","16","4","0","28","42","0","13","0","0","5","13","1","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
