"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.205876","780","8908","2591","0.145455","0.187255","27503","22715","0","0","0","0","0","0.32931","0.232849","36898","3547","7224","0","0","0","0","0","0","0","0","0","2","0","0","121565","189083","4855","1327","646","54","1128","1411","111","10720","61709","550","1148","51","110","296","9822","657","0","0","33836","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.211876","770","8880","2571","0.151365","0.194329","27186","22467","0","0","0","0","0","0.334079","0.230657","34740","3434","6845","0","0","0","0","0","0","0","0","0","1","0","0","115873","179606","4578","1247","625","52","1055","1287","106","10188","58834","510","1072","49","105","283","9409","645","0","0","32536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49764","com","com","L100","L103","0.057765","10","28","20","0.0334494","0.0435699","317","248","0","0","0","0","0","0.229675","0.274904","2158","113","379","0","0","0","0","0","0","0","0","0","1","0","0","5692","9477","277","80","31","2","73","124","5","532","2875","40","76","2","5","11","413","12","0","0","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","deeplearning4j","org.deeplearning4j","L104","L103","0.211876","770","8880","2571","0","0","0","0","0.5","0.415584","32","7","7","0.334079","0.230657","34740","3434","6845","45","99","3","4","0","0","1","9","0","27","9","0","115873","179606","4578","1247","625","52","1055","1287","106","10188","58834","510","1072","49","105","282","9409","645","0","0","32536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49765","atilika","com.atilika","L49764","L103","0.057765","10","28","20","0.0334494","0.0435699","317","248","0","0","0","0","0","0.229675","0.274904","2158","113","379","0","0","0","0","0","0","0","0","0","1","0","0","5692","9477","277","80","31","2","73","124","5","532","2875","40","76","2","5","10","413","12","0","0","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","api","org.deeplearning4j.api","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6125","0.423868","309","49","31","0","0","0","0","0","0","0","0","0","1","0","0","420","879","38","5","13","2","11","27","7","73","138","13","3","2","7","3","69","3","0","0","116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L724","base","org.deeplearning4j.base","L105","L103","0.207493","1","6","2","0","0","0","0","0","0.235669","37","0","5","0","0.235669","37","0","5","120","192","17","2","0","0","0","5","4","0","3","0","120","192","17","2","10","0","2","0","0","5","60","4","2","0","0","0","3","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L826","clustering","org.deeplearning4j.clustering","L105","L103","0.0697095","6","43","11","0.0411184","0.054902","175","140","0","0","0","0","0","0.100279","0.252116","864","36","323","0","0","0","0","0","0","0","0","0","7","0","0","2563","4256","132","48","31","2","37","96","3","373","1317","13","34","2","3","12","334","69","0","0","1038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2709","datasets","org.deeplearning4j.datasets","L105","L103","0.181786","43","203","98","0","0","0","0","0","0.369565","17","0","5","0.336538","0.250591","2014","175","345","29","58","0","1","0","0","0","5","0","8","4","0","6023","9490","221","64","49","3","58","47","4","529","3371","16","54","3","4","11","495","21","0","0","1465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5364","parallelism","org.deeplearning4j.parallelism","L105","L103","0.162175","2","22","4","0","0","0","0","0.54717","0.241706","255","29","24","0.54717","0.241706","255","29","24","800","1255","43","10","0","1","0","64","0","0","61","2","800","1255","43","10","15","0","5","1","0","64","463","0","7","0","0","0","61","2","0","0","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5784","plot","org.deeplearning4j.plot","L105","L103","0.0422971","1","12","2","0.0290557","0.0368421","24","21","0.129032","0.136899","151","12","81","0.184211","0.213333","304","21","93","952","1368","79","5","0","7","0","91","1","1","88","23","1121","1748","82","15","25","0","11","11","0","107","576","1","13","0","0","2","103","24","0","0","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6369","ui","org.deeplearning4j.ui","L105","L103","0.369258","153","2665","981","0","0","0","0","0.283582","0.131579","200","19","48","0.119048","0.104597","2562","260","1924","1320","1791","17","17","0","8","0","67","0","15","60","8","21932","29293","1021","182","124","15","134","252","7","2147","10591","128","171","12","7","43","2015","49","0","0","8548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15758","earlystopping","org.deeplearning4j.earlystopping","L105","L103","0.387883","25","64","60","0.573059","0.590529","251","212","0.416667","0.16506","137","15","21","0.435484","0.279058","533","54","70","693","974","30","7","1","3","1","36","3","5","35","0","1377","2249","70","21","22","1","24","9","6","117","511","3","19","1","6","5","104","2","0","0","396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16526","eval","org.deeplearning4j.eval","L105","L103","0.166589","12","59","29","0.0816619","0.088","57","44","0.652893","0.272454","725","79","42","0.653226","0.274247","738","81","43","1936","3104","40","10","0","15","0","129","1","1","114","0","1953","3140","43","11","18","0","8","16","0","131","1334","1","9","0","0","1","116","0","0","0","322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
