"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.131731","53","229","133","0.089191","0.129663","1883","1644","0","0","0","0","0","0.340793","0.280405","5093","335","648","0","0","0","0","0","0","0","0","0","1","0","0","13070","21112","781","294","37","6","190","114","28","1155","4155","58","164","6","27","17","983","27","0","0","4160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.131731","53","229","133","0.089191","0.129663","1883","1644","0","0","0","0","0","0.340793","0.280405","5093","335","648","0","0","0","0","0","0","0","0","0","1","0","0","13070","21112","781","294","37","6","190","114","28","1155","4155","58","164","6","27","16","983","27","0","0","4160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","lmax","com.lmax","L104","L103","0.131731","53","229","133","0.089191","0.129663","1883","1644","0","0","0","0","0","0.340793","0.280405","5093","335","648","0","0","0","0","0","0","0","0","0","1","0","0","13070","21112","781","294","37","6","190","114","28","1155","4155","58","164","6","27","15","983","27","0","0","4160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","disruptor","com.lmax.disruptor","L105","L103","0.131731","53","229","133","0","0","0","0","0.46507","0.288572","2467","233","268","0.340793","0.280405","5093","335","648","6082","9837","241","126","1","26","24","550","25","13","489","10","13070","21112","781","294","37","6","190","114","28","1155","4155","58","164","6","27","14","983","27","0","0","4160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L543","collections","com.lmax.disruptor.collections","L106","L103","0.0623936","1","4","2","0","0","0","0","0.357143","0.272401","152","15","27","0.357143","0.272401","152","15","27","406","659","6","2","0","10","0","43","1","0","40","0","406","659","6","2","16","0","2","10","0","43","200","1","2","0","0","0","40","0","0","0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L720","dsl","com.lmax.disruptor.dsl","L106","L103","0.0722981","4","9","9","0","0","0","0","0.428571","0.255245","511","42","56","0.304348","0.263333","632","42","96","1491","2343","40","19","1","19","2","154","2","1","130","3","1768","2808","55","29","17","1","22","21","2","188","612","2","16","1","1","1","162","3","0","0","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3685","util","com.lmax.disruptor.util","L106","L103","0","0","0","0","0","0","0","0","0.692308","0.447802","163","18","8","0.692308","0.447802","163","18","8","201","417","10","5","1","5","0","21","7","0","21","0","201","417","10","5","16","1","5","5","0","21","49","7","4","1","0","0","21","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3976","immutable","com.lmax.disruptor.immutable","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","27","269","334","19","11","0","1","1","27","5","0","23","0","269","334","19","11","10","0","9","1","1","27","72","5","8","0","1","0","23","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4186","offheap","com.lmax.disruptor.offheap","L106","L103","0.0667268","1","6","2","0.0680628","0.0774194","13","12","0","0","0","0","20","0","0","0","0","20","295","354","33","7","0","4","0","27","0","0","18","0","295","354","33","7","10","0","2","4","0","27","90","0","5","0","0","0","18","0","0","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4402","primitive","com.lmax.disruptor.primitive","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","60","71","4","3","0","0","1","8","0","0","7","0","60","71","4","3","10","0","1","0","1","8","12","0","1","0","1","0","7","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4456","queue","com.lmax.disruptor.queue","L106","L103","0.158601","4","12","6","0.22449","0.418605","22","18","0.533333","0.412088","375","8","7","0.533333","0.412088","375","8","7","535","1065","71","9","0","6","0","28","0","0","14","0","535","1065","71","9","10","0","7","6","0","28","185","0","7","0","0","0","14","0","0","0","163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4867","raw","com.lmax.disruptor.raw","L106","L103","0.151239","1","6","2","0.127778","0.21875","23","21","0.5","0.382166","120","2","2","0.5","0.382166","120","2","2","194","358","18","4","0","2","0","14","0","0","8","0","194","358","18","4","10","0","2","2","0","14","66","0","2","0","0","0","8","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4959","sequenced","com.lmax.disruptor.sequenced","L106","L103","0.164528","8","35","16","0","0","0","0","0.521739","0.36478","580","12","11","0.521739","0.36478","580","12","11","1010","1856","132","16","0","11","0","57","1","0","30","0","1010","1856","132","16","10","0","11","11","0","57","300","1","11","0","0","0","30","0","0","0","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5602","support","com.lmax.disruptor.support","L106","L103","0","0","0","0","0","0","0","0","0","0.259965","450","0","134","0","0.259965","450","0","134","1281","1985","119","39","3","22","0","114","16","0","114","11","1281","1985","119","39","16","3","31","22","0","114","374","16","28","3","0","0","114","11","0","0","415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6213","translator","com.lmax.disruptor.translator","L106","L103","0","0","0","0","0","0","0","0","0.666667","0.362205","46","2","1","0.666667","0.362205","46","2","1","81","148","7","2","0","1","0","6","0","0","3","0","81","148","7","2","10","0","1","1","0","6","25","0","1","0","0","0","3","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6259","workhandler","com.lmax.disruptor.workhandler","L106","L103","0.154762","4","14","7","0.15942","0.218391","22","19","0.166667","0.198895","72","1","5","0.166667","0.198895","72","1","5","290","444","29","3","0","3","0","13","0","0","3","0","290","444","29","3","10","0","3","3","0","13","74","0","3","0","0","0","3","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
