"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.10488","86","375","235","0.0604739","0.073183","3384","2911","0","0","0","0","0","0.147887","0.138712","6406","609","3509","0","0","0","0","0","0","0","0","0","3","0","0","39776","55958","1496","971","475","10","722","669","57","4227","11680","129","776","7","40","101","3589","409","0","0","13031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","$","$","L100","L103","0","0","0","0","0","0","0","0","0","0.12","3","0","1","0","0.12","3","0","1","22","41","6","2","0","0","0","0","0","0","0","0","22","41","6","2","12","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L144","io","io","L100","L103","0.107497","83","364","228","0.0613358","0.0747196","3306","2851","0","0","0","0","0","0.152968","0.142774","6355","603","3339","0","0","0","0","0","0","0","0","0","1","0","0","38156","53900","1433","914","427","9","680","643","57","4075","11349","117","733","6","40","83","3448","398","0","0","12409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19689","com","com","L100","L103","0.0429441","4","11","7","0.0386713","0.0375469","78","60","0","0","0","0","0","0.0342857","0.0291616","48","6","169","0","0","0","0","0","0","0","0","0","1","0","0","1598","2017","57","55","42","1","40","26","0","152","331","12","41","1","0","15","141","11","0","0","620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L145","dropwizard","io.dropwizard","L144","L103","0.107497","83","364","228","0","0","0","0","0.586207","0.418231","156","17","12","0.152968","0.142774","6355","603","3339","217","435","6","8","0","5","2","32","0","27","26","3","38156","53900","1433","914","427","9","680","643","57","4075","11349","117","733","6","40","82","3448","398","0","0","12409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19690","example","com.example","L19689","L103","0.0429441","4","11","7","0.0386713","0.0375469","78","60","0","0","0","0","0","0.0342857","0.0291616","48","6","169","0","0","0","0","0","0","0","0","0","4","0","0","1598","2017","57","55","42","1","40","26","0","152","331","12","41","1","0","14","141","11","0","0","620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","assets","io.dropwizard.assets","L145","L103","0.310268","2","8","8","0","0","0","0","0.333333","0.231111","52","6","12","0.333333","0.231111","52","6","12","173","286","12","2","0","3","0","20","0","0","16","1","173","286","12","2","15","0","2","3","0","20","58","0","2","0","0","0","16","1","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L314","auth","io.dropwizard.auth","L145","L103","0.0471014","6","28","11","0","0","0","0","0.371681","0.219132","323","42","71","0.335052","0.178998","450","65","129","1151","1752","50","32","0","30","3","144","1","5","123","13","2064","3035","60","61","23","0","41","84","3","249","531","2","49","0","3","5","173","13","0","0","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1656","benchmarks","io.dropwizard.benchmarks","L145","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.027027","0.0326087","9","1","36","0","0","0","0","0","0","0","0","0","2","0","0","267","332","7","9","12","0","4","5","0","28","28","0","9","0","0","2","28","1","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1808","client","io.dropwizard.client","L145","L103","0.0412976","10","30","20","0","0","0","0","0.218605","0.159607","471","47","168","0.165017","0.150014","542","50","253","2480","3568","104","37","0","36","0","260","5","2","225","25","3071","4378","134","47","19","0","24","54","0","344","984","6","30","0","0","2","305","44","0","0","978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
