"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.296173","1913","23643","14086","0.226937","0.271046","74329","58551","0","0","0","0","0","0.0245778","0.18772","49935","588","23336","0","0","0","0","0","0","0","0","0","1","0","0","216073","327532","5472","3324","238","58","3062","3818","127","23110","102525","1007","3026","57","127","219","21242","3047","0","0","91431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.296173","1913","23643","14086","0.226937","0.271046","74329","58551","0","0","0","0","0","0.0245778","0.18772","49935","588","23336","0","0","0","0","0","0","0","0","0","1","0","0","216073","327532","5472","3324","238","58","3062","3818","127","23110","102525","1007","3026","57","127","218","21242","3047","0","0","91431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","alibaba","com.alibaba","L104","L103","0.296173","1913","23643","14086","0.226937","0.271046","74329","58551","0","0","0","0","0","0.0245778","0.18772","49935","588","23336","0","0","0","0","0","0","0","0","0","1","0","0","216073","327532","5472","3324","238","58","3062","3818","127","23110","102525","1007","3026","57","127","217","21242","3047","0","0","91431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","druid","com.alibaba.druid","L105","L103","0.296173","1913","23643","14086","0","0","0","0","0.0566038","0.301837","345","3","50","0.0245778","0.18772","49935","588","23336","798","1370","55","27","0","24","1","66","5","17","58","4","216073","327532","5472","3324","238","58","3062","3818","127","23110","102525","1007","3026","57","127","216","21242","3047","0","0","91431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L175","filter","com.alibaba.druid.filter","L106","L103","0.0893636","36","282","87","0","0","0","0","0.0140916","0.0176258","151","28","1959","0.0232365","0.0490398","595","56","2354","8416","10877","5","4","0","6","2","1997","0","4","1980","0","11538","15300","91","19","21","0","28","40","8","2461","3925","16","19","0","8","4","2382","96","0","0","5690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12536","mock","com.alibaba.druid.mock","L106","L103","0.0493195","5","22","12","0","0","0","0","0","0.146095","303","0","350","0","0.148643","334","0","357","1771","2661","48","19","0","144","2","340","3","1","329","88","1913","2867","48","20","11","0","22","144","3","345","640","3","20","0","3","1","334","88","0","0","929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13856","pool","com.alibaba.druid.pool","L106","L103","0.209732","118","825","337","0","0","0","0","0.025436","0.0845713","1093","35","1341","0.0272969","0.105757","1635","41","1461","11831","15777","462","67","1","550","7","1402","68","11","1327","347","13825","18767","559","108","27","1","82","564","7","1529","6689","69","83","1","7","11","1436","358","0","0","5011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19836","proxy","com.alibaba.druid.proxy","L106","L103","0.0427639","9","77","19","0","0","0","0","0.0606061","0.177326","61","2","31","0.0298686","0.116585","639","25","812","283","428","19","2","0","17","1","31","6","2","30","1","4842","6708","139","23","18","1","37","381","14","816","2089","42","23","1","14","2","799","151","0","0","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22519","sql","com.alibaba.druid.sql","L106","L103","0.169307","440","6400","1369","0.289941","0.301837","147","115","0.0130719","0.142984","322","2","151","0.00984157","0.140558","10717","82","8250","1930","2776","47","19","0","19","0","160","2","10","136","25","65529","94904","2032","644","75","52","659","1151","64","8192","31471","674","636","52","64","58","7607","1141","0","0","26103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50343","stat","com.alibaba.druid.stat","L106","L103","0.137889","37","343","75","0.0671463","0.0784314","28","24","0.0114192","0.162004","886","7","606","0.0113452","0.161743","887","7","610","4583","6400","336","35","1","353","10","600","18","1","568","91","4597","6423","336","36","17","1","37","353","11","602","1881","18","35","1","11","1","570","91","0","0","1755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52251","support","com.alibaba.druid.support","L106","L103","0.112298","56","430","113","0.0753141","0.0964588","1253","1095","0","0","0","0","0","0.0477969","0.174327","2397","64","1275","0","0","0","0","0","0","0","0","0","13","0","0","11353","16637","762","118","35","2","100","547","4","1369","5237","53","98","1","4","25","1259","224","0","0","3960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58360","util","com.alibaba.druid.util","L106","L103","0.0909509","27","578","84","0","0","0","0","0.126374","0.197589","590","23","159","0.0394511","0.137429","680","23","560","2396","3523","100","24","0","45","2","171","46","1","156","9","4268","5989","160","31","17","0","32","179","2","566","1894","46","31","0","2","1","550","105","0","0","1561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60277","wall","com.alibaba.druid.wall","L106","L103","0.112577","44","329","99","0","0","0","0","0.0111421","0.0959346","446","8","710","0.00859599","0.0815287","704","9","1038","4203","5713","291","20","1","171","6","696","7","2","691","144","7931","10484","395","35","12","1","38","208","7","1032","3438","70","35","1","7","2","1004","162","0","0","2975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L63882","benckmark","com.alibaba.druid.benckmark","L106","L103","0.456114","59","438","303","0.330368","0.414182","1337","1139","0","0","0","0","0","0.025974","0.191176","650","4","150","0","0","0","0","0","0","0","0","0","4","0","0","2750","4047","248","47","17","0","33","16","0","175","1767","10","35","0","0","7","131","28","0","0","1192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
