"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.174734","554","6684","1595","0.11659","0.164756","19175","17213","0","0","0","0","0","0.2656","0.258657","36622","2473","6838","0","0","0","0","0","0","0","0","0","2","0","0","104963","164465","4114","1442","914","52","1210","1905","202","10192","50133","990","1088","50","186","295","8689","954","0","0","34171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.173068","553","6564","1563","0.11492","0.162619","18729","16807","0","0","0","0","0","0.266841","0.260079","36499","2444","6715","0","0","0","0","0","0","0","0","0","3","0","0","103839","162974","4077","1426","914","48","1206","1879","198","10040","49655","978","1074","46","182","293","8557","942","0","0","33558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49268","unnamed package","unnamed package","L100","L103","0.343247","9","120","32","0.338392","0.40519","223","203","0.190789","0.0986367","123","29","123","0.190789","0.0986367","123","29","123","1124","1491","37","16","4","26","4","152","12","0","132","12","1124","1491","37","16","8","4","4","26","4","152","478","12","14","4","4","0","132","12","0","0","613","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","alibaba","com.alibaba","L104","L103","0.17304","548","6528","1549","0.114682","0.16243","18560","16641","0","0","0","0","0","0.266856","0.261268","36404","2442","6709","0","0","0","0","0","0","0","0","0","3","0","0","102932","161839","4052","1413","908","47","1203","1878","198","10006","49082","965","1071","46","182","287","8538","942","0","0","33358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L48895","dubbo","com.dubbo","L104","L103","0.180225","5","36","14","0.155046","0.187995","169","166","0","0","0","0","0","0.2","0.0788382","76","1","4","0","0","0","0","0","0","0","0","0","1","0","0","888","1090","25","12","8","1","2","1","0","32","570","13","2","0","0","2","17","0","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49248","jingdong","com.jingdong","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333","0.5","19","1","2","0","0","0","0","0","0","0","0","0","1","0","0","19","45","0","1","11","0","1","0","0","2","3","0","1","0","0","1","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","dubbo","com.alibaba.dubbo","L105","L103","0.166751","449","4967","1318","0.112227","0.158507","15806","14491","0","0","0","0","0","0.233955","0.245573","29874","1994","6529","0","0","0","0","0","0","0","0","0","12","0","0","91776","140839","3593","1275","889","47","1120","1796","192","9181","43759","847","994","46","176","277","7955","913","0","0","30522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44796","remoting","com.alibaba.remoting","L105","L103","0.0481586","1","3","1","0.0337423","0.0785714","11","11","0","0","0","0","0","0.285714","0.490909","135","6","15","0","0","0","0","0","0","0","0","0","1","0","0","140","326","8","6","13","0","6","2","0","21","33","0","6","0","0","2","15","3","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44897","com","com.alibaba.com","L105","L103","0.250435","99","1558","230","0.132679","0.196455","2743","2139","0","0","0","0","0","0.728171","0.367297","6395","442","165","0","0","0","0","0","0","0","0","0","1","0","0","11016","20674","451","132","15","0","77","80","6","804","5290","118","71","0","6","5","568","26","0","0","2775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L48896","serialize","com.dubbo.serialize","L48895","L103","0.180225","5","36","14","0.155046","0.187995","169","166","0","0","0","0","0","0.2","0.0788382","76","1","4","0","0","0","0","0","0","0","0","0","1","0","0","888","1090","25","12","8","1","2","1","0","32","570","13","2","0","0","1","17","0","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
