"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0799471","6","32","12","0.045155","0.0571429","185","162","0","0","0","0","0","0.0695364","0.174913","601","21","281","0","0","0","0","0","0","0","0","0","1","0","0","2835","4097","142","53","59","0","37","66","9","356","1062","55","33","0","8","15","292","12","0","0","1091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0799471","6","32","12","0.045155","0.0571429","185","162","0","0","0","0","0","0.0695364","0.174913","601","21","281","0","0","0","0","0","0","0","0","0","1","0","0","2835","4097","142","53","59","0","37","66","9","356","1062","55","33","0","8","14","292","12","0","0","1091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","ryg","com.ryg","L104","L103","0.0799471","6","32","12","0.045155","0.0571429","185","162","0","0","0","0","0","0.0695364","0.174913","601","21","281","0","0","0","0","0","0","0","0","0","2","0","0","2835","4097","142","53","59","0","37","66","9","356","1062","55","33","0","8","13","292","12","0","0","1091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","dynamicload","com.ryg.dynamicload","L105","L103","0.0801498","5","26","10","0.0331858","0.0424242","15","14","0.0406977","0.152254","206","7","165","0.0638298","0.162416","484","18","264","1147","1580","25","6","0","32","2","187","1","3","164","6","2496","3560","111","47","58","0","32","53","9","329","915","34","28","0","8","11","275","11","0","0","990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2072","utils","com.ryg.utils","L105","L103","0.0784314","1","6","2","0","0","0","0","0.15","0.256579","117","3","17","0.15","0.256579","117","3","17","339","537","31","6","0","13","0","27","21","0","17","1","339","537","31","6","9","0","5","13","0","27","147","21","5","0","0","0","17","1","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L880","internal","com.ryg.dynamicload.internal","L106","L103","0.112937","2","8","4","0","0","0","0","0.225","0.301567","231","9","31","0.225","0.301567","231","9","31","535","916","35","9","0","12","3","55","11","0","38","3","535","916","35","9","10","0","7","12","3","55","246","11","5","0","2","0","38","3","0","0","199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1331","service","com.ryg.dynamicload.service","L106","L103","0","0","0","0","0","0","0","0","0.5","0.6","6","1","1","0.5","0.6","6","1","1","4","13","0","0","0","0","1","1","0","0","1","0","4","13","0","0","10","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1339","sample","com.ryg.dynamicload.sample","L106","L103","0.112683","2","10","4","0.0551855","0.0691358","58","56","0","0","0","0","0","0.0147059","0.0481786","41","1","67","0","0","0","0","0","0","0","0","0","6","0","0","810","1051","51","32","51","0","16","9","3","86","283","22","17","0","3","8","72","2","0","0","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1340","docommon","com.ryg.dynamicload.sample.docommon","L1339","L103","0","0","0","0","0","0","0","0","0","0.166667","3","0","5","0","0.166667","3","0","5","15","26","1","1","0","1","1","3","0","0","3","1","15","26","1","1","13","0","2","1","1","3","2","0","1","0","1","0","3","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1365","doihost","com.ryg.dynamicload.sample.doihost","L1339","L103","0.27162","2","5","2","0.171598","0.202899","29","28","0","0.00719424","1","0","6","0","0.00636943","1","0","10","138","169","14","4","0","4","0","12","9","2","9","0","156","196","14","6","15","0","3","4","0","14","56","9","4","0","0","2","11","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
