"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.178423","2759","17855","8245","0.104403","0.137886","76002","67220","0","0","0","0","0","0.296127","0.228192","144151","10283","24442","0","0","0","0","0","0","0","0","0","1","0","0","487558","727968","15407","7820","1318","160","4298","3571","379","43523","232090","3244","4705","138","348","702","35525","1283","0","0","157443","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.178423","2759","17855","8245","0.104403","0.137886","76002","67220","0","0","0","0","0","0.296127","0.228192","144151","10283","24442","0","0","0","0","0","0","0","0","0","3","0","0","487558","727968","15407","7820","1318","160","4298","3571","379","43523","232090","3244","4705","138","348","701","35525","1283","0","0","157443","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","apache","org.apache","L104","L103","0.0600705","8","76","16","0.0475248","0.0674779","264","244","0","0","0","0","0","0.215247","0.256426","1247","48","175","0","0","0","0","0","0","0","0","0","1","0","0","3616","5555","146","51","48","1","34","40","3","279","2055","21","35","1","3","15","202","8","0","0","924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2060","elasticsearch","org.elasticsearch","L104","L103","0.1793","2749","17749","8216","0","0","0","0","0.245","0.177262","619","49","151","0.295281","0.227042","141805","10168","24267","2873","3827","263","31","0","14","2","200","242","60","182","4","482770","720030","15199","7766","1285","159","4262","3529","376","43109","229626","3223","4668","137","345","680","35258","1273","0","0","156301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205654","joda","org.joda","L104","L103","0.117894","3","30","13","0.0537138","0.102389","128","120","0","0","0","0","0","1","0.483928","1099","67","0","0","0","0","0","0","0","0","0","0","1","0","0","1172","2383","62","3","11","0","2","2","0","135","409","0","2","0","0","3","65","2","0","0","218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","lucene","org.apache.lucene","L105","L103","0.0600705","8","76","16","0.0475248","0.0674779","264","244","0","0","0","0","0","0.215247","0.256426","1247","48","175","0","0","0","0","0","0","0","0","0","7","0","0","3616","5555","146","51","48","1","34","40","3","279","2055","21","35","1","3","14","202","8","0","0","924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2080","action","org.elasticsearch.action","L2060","L103","0.0932395","217","1853","502","0","0","0","0","0.468208","0.422939","944","81","92","0.427108","0.283381","21805","2209","2963","1288","2584","58","32","2","9","10","153","12","17","140","1","55141","88600","2126","978","171","14","668","584","16","6290","24046","349","681","12","13","98","4929","628","0","0","18848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38022","bootstrap","org.elasticsearch.bootstrap","L2060","L103","0.0608869","7","43","15","0","0","0","0","0.390244","0.31961","1312","32","50","0.390244","0.31961","1312","32","50","2793","4632","126","44","0","14","4","213","29","0","108","4","2793","4632","126","44","14","0","24","14","4","213","1307","29","16","0","1","0","108","4","0","0","597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L39861","cache","org.elasticsearch.cache","L2060","L103","0.0745176","1","2","2","0.0697051","0.0817844","26","22","0","0","0","0","0","0.0625","0.184848","61","1","15","0","0","0","0","0","0","0","0","0","1","0","0","269","373","12","11","16","1","2","0","0","32","112","6","2","1","0","1","25","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L40182","client","org.elasticsearch.client","L2060","L103","0.00146463","1","1","1","0","0","0","0","0.946032","0.654596","1645","298","17","0.695198","0.372355","2112","333","146","868","2898","12","5","0","23","5","317","3","3","311","0","3560","6633","69","51","20","0","26","46","6","707","863","6","25","0","6","4","674","0","0","0","1175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
