"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.186131","560","5677","2170","0.130199","0.154069","21063","17948","0","0","0","0","0","0.0477539","0.0696567","8730","742","14796","0","0","0","0","0","0","0","0","0","4","0","0","116599","161775","12096","3859","150","75","1967","3811","50","13398","49691","7784","3235","63","46","136","12913","3572","0","0","54237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.184454","548","5191","2093","0.128508","0.152075","20554","17505","0","0","0","0","0","0.0475881","0.0697763","8642","733","14670","0","0","0","0","0","0","0","0","0","2","0","0","115211","159943","11989","3840","139","73","1948","3773","50","13284","48953","7745","3216","61","46","124","12799","3539","0","0","53800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62541","cn","cn","L100","L103","0.403657","3","15","3","0.17284","0.273632","56","55","0","0","0","0","0","0.230769","0.17623","43","9","30","0","0","0","0","0","0","0","0","0","1","0","0","201","324","17","2","12","0","2","16","0","37","77","0","2","0","0","5","37","15","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62659","data","data","L100","L103","0.308473","18","471","74","0","0","0","0","0","0","0","0","3","0","0.0373134","45","0","90","21","24","0","1","0","0","0","2","0","1","2","0","1161","1470","88","15","9","2","15","22","0","73","655","39","15","2","0","2","73","18","0","0","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L63034","oracle","oracle","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","26","38","2","2","8","0","2","0","0","4","6","0","2","0","0","1","4","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","alibaba","com.alibaba","L104","L103","0.18567","547","5185","2091","0.129633","0.153432","20516","17471","0","0","0","0","0","0.0482668","0.0702999","8618","731","14414","0","0","0","0","0","0","0","0","0","3","0","0","113971","158262","11854","3807","135","57","1899","3683","50","13050","48549","7730","3183","45","46","119","12590","3445","0","0","53083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L61357","derbysoft","com.derbysoft","L104","L103","0.0431558","1","6","2","0.0226056","0.0274194","38","34","0","0","0","0","0","0.00775194","0.0189873","24","2","256","0","0","0","0","0","0","0","0","0","1","0","0","1240","1681","135","33","11","16","49","90","0","234","404","15","33","16","0","3","209","94","0","0","717","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62542","com","cn.com","L62541","L103","0.403657","3","15","3","0.17284","0.273632","56","55","0","0","0","0","0","0.230769","0.17623","43","9","30","0","0","0","0","0","0","0","0","0","1","0","0","201","324","17","2","12","0","2","16","0","37","77","0","2","0","0","4","37","15","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62662","media","data.media","L62659","L103","0.312058","18","471","74","0","0","0","0","0","0.0464396","45","0","72","0","0.0379747","45","0","87","924","1162","84","8","2","19","0","62","39","1","62","18","1140","1446","88","14","9","2","14","22","0","71","643","39","14","2","0","1","71","18","0","0","314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L63035","sql","oracle.sql","L63034","L103","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","6","26","38","2","2","0","0","0","4","0","0","4","0","26","38","2","2","8","0","2","0","0","4","6","0","2","0","0","0","4","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","fastjson","com.alibaba.fastjson","L105","L103","0.173497","170","1817","407","0.0829016","0.101587","80","64","0.139194","0.0840397","347","38","235","0.181747","0.136691","4250","233","1049","3782","5099","108","32","2","59","4","344","27","8","305","10","26842","36753","754","159","33","4","154","254","25","1463","15906","299","123","3","23","16","1194","89","0","0","5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9858","china","com.alibaba.china","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.126316","0.213457","92","12","83","0","0","0","0","0","0","0","0","0","1","0","0","339","537","43","1","14","0","1","41","0","94","105","0","1","0","0","5","94","50","0","0","190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10164","json","com.alibaba.json","L105","L103","0.190283","383","3368","1684","0.240506","0.263158","19","15","0","0","0","0","10","0.0352992","0.046955","4276","486","13282","68","94","1","4","0","1","0","7","0","4","7","1","86790","120972","11057","3647","104","53","1744","3388","25","11493","32538","7431","3059","42","23","95","11302","3306","0","0","47402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L61358","spitfire","com.derbysoft.spitfire","L61357","L103","0.0431558","1","6","2","0.0226056","0.0274194","38","34","0","0","0","0","0","0.00775194","0.0189873","24","2","256","0","0","0","0","0","0","0","0","0","1","0","0","1240","1681","135","33","11","16","49","90","0","234","404","15","33","16","0","2","209","94","0","0","717","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62543","tx","cn.com.tx","L62542","L103","0.403657","3","15","3","0.17284","0.273632","56","55","0","0","0","0","0","0.230769","0.17623","43","9","30","0","0","0","0","0","0","0","0","0","1","0","0","201","324","17","2","12","0","2","16","0","37","77","0","2","0","0","3","37","15","0","0","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
