"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.658297","181","1011","797","0.45765","0.53573","4101","3621","0","0","0","0","0","0.18018","0.166687","1352","40","182","0","0","0","0","0","0","0","0","0","1","0","0","6759","8961","136","184","36","0","18","24","3","449","3823","68","17","0","2","9","375","15","0","0","3948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.658297","181","1011","797","0.45765","0.53573","4101","3621","0","0","0","0","0","0.18018","0.166687","1352","40","182","0","0","0","0","0","0","0","0","0","1","0","0","6759","8961","136","184","36","0","18","24","3","449","3823","68","17","0","2","8","375","15","0","0","3948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","google","com.google","L104","L103","0.658297","181","1011","797","0.45765","0.53573","4101","3621","0","0","0","0","0","0.18018","0.166687","1352","40","182","0","0","0","0","0","0","0","0","0","1","0","0","6759","8961","136","184","36","0","18","24","3","449","3823","68","17","0","2","7","375","15","0","0","3948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","com.google.android","L105","L103","0.658297","181","1011","797","0.45765","0.53573","4101","3621","0","0","0","0","0","0.18018","0.166687","1352","40","182","0","0","0","0","0","0","0","0","0","2","0","0","6759","8961","136","184","36","0","18","24","3","449","3823","68","17","0","2","6","375","15","0","0","3948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","apps","com.google.android.apps","L106","L103","0.381466","23","198","74","0.302478","0.385034","598","566","0","0","0","0","0","0.306122","0.156142","272","15","34","0","0","0","0","0","0","0","0","0","1","0","0","1470","1977","56","50","21","0","12","0","3","101","689","23","12","0","2","3","83","2","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1204","flexbox","com.google.android.flexbox","L106","L103","0.717058","158","813","723","0.189986","0.24503","535","456","0.469388","0.298639","812","23","26","0.144509","0.169571","1080","25","148","1907","2966","77","4","0","24","0","86","44","1","42","13","5289","6984","80","134","18","0","6","24","0","348","3134","45","5","0","0","1","292","13","0","0","3178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","flexbox","com.google.android.apps.flexbox","L107","L103","0.381466","23","198","74","0","0","0","0","0.291667","0.111292","137","7","17","0.306122","0.156142","272","15","34","1094","1397","55","34","0","0","2","73","22","2","55","2","1470","1977","56","50","21","0","12","0","3","101","689","23","12","0","2","2","83","2","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1215","test","com.google.android.flexbox.test","L1204","L103","0.853023","145","697","697","0.763767","0.78095","2968","2599","0.016129","0.0734247","268","2","122","0.016129","0.0734247","268","2","122","3382","4018","3","130","0","0","0","262","1","0","250","0","3382","4018","3","130","12","0","4","0","0","262","2023","1","2","0","0","0","250","0","0","0","2856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L126","test","com.google.android.apps.flexbox.test","L108","L103","0.740184","4","12","12","0.697051","0.78344","260","246","0.0769231","0.0570571","19","1","12","0.0769231","0.0570571","19","1","12","314","373","1","11","0","0","0","22","1","0","22","0","314","373","1","11","13","0","1","0","0","22","162","1","1","0","0","0","22","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1172","validators","com.google.android.apps.flexbox.validators","L108","L103","0","0","0","0","0","0","0","0","0.583333","0.651685","116","7","5","0.583333","0.651685","116","7","5","62","207","0","5","0","0","1","6","0","0","6","0","62","207","0","5","13","0","6","0","1","6","13","0","5","0","1","0","6","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
