"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.128141","277","1005","733","0.0741785","0.104131","7391","6776","0","0","0","0","0","0.392359","0.246058","21241","2136","3308","0","0","0","0","0","0","0","0","0","4","0","0","65084","99638","3329","1003","551","24","718","1127","128","6707","26225","804","650","17","126","131","5165","574","0","0","19075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.128176","277","1005","733","0.0742732","0.10418","7391","6776","0","0","0","0","0","0.392096","0.245491","21166","2133","3307","0","0","0","0","0","0","0","0","0","1","0","0","65053","99511","3329","999","531","24","712","1127","126","6704","26222","804","646","17","124","120","5162","574","0","0","19070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35474","android","android","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.727273","8","0","1","0","0","0","0","0","0","0","0","0","1","0","0","3","13","0","1","10","0","1","0","0","0","0","0","1","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52039","javax","javax","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.785714","22","1","0","0","0","0","0","0","0","0","0","0","1","0","0","6","34","0","0","19","0","2","0","2","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52057","org","org","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.671642","45","2","0","0","0","0","0","0","0","0","0","0","1","0","0","22","80","0","3","24","0","3","0","0","3","3","0","3","0","0","2","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","facebook","com.facebook","L104","L103","0.128176","277","1005","733","0.0742732","0.10418","7391","6776","0","0","0","0","0","0.392096","0.245491","21166","2133","3307","0","0","0","0","0","0","0","0","0","13","0","0","65053","99511","3329","999","531","24","712","1127","126","6704","26222","804","646","17","124","119","5162","574","0","0","19070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35475","net","android.net","L35474","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.727273","8","0","1","0","0","0","0","0","0","0","0","0","1","0","0","3","13","0","1","10","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52040","microedition","javax.microedition","L52039","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.785714","22","1","0","0","0","0","0","0","0","0","0","0","1","0","0","6","34","0","0","19","0","2","0","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52058","mockito","org.mockito","L52057","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.671642","45","2","0","0","0","0","0","0","0","0","0","0","1","0","0","22","80","0","3","24","0","3","0","0","3","3","0","3","0","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","imagepipeline","com.facebook.imagepipeline","L105","L103","0.133581","146","487","349","0.0869343","0.117835","4253","3908","0","0","0","0","0","0.356852","0.219298","9316","875","1577","0","0","0","0","0","0","0","0","0","19","0","0","33165","48922","1869","514","192","7","334","552","54","3144","12845","454","303","5","53","27","2350","162","0","0","9848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17661","fresco","com.facebook.fresco","L105","L103","0.0394293","3","12","6","0.0232245","0.0338889","69","61","0","0","0","0","0","0.36715","0.286281","722","76","131","0","0","0","0","0","0","0","0","0","1","0","0","1800","2971","90","24","30","0","25","69","8","220","607","19","19","0","8","10","197","28","0","0","505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18611","animated","com.facebook.animated","L105","L103","0.0615385","1","2","2","0.034965","0.0413437","20","16","0","0","0","0","0","0.115385","0.190377","91","6","46","0","0","0","0","0","0","0","0","0","2","0","0","387","572","7","4","19","0","4","29","0","102","90","0","4","0","0","2","48","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18872","drawee","com.facebook.drawee","L105","L103","0.165307","50","208","162","0.0861221","0.120751","1418","1332","0","0","0","0","0","0.46999","0.231969","3332","462","521","0","0","0","0","0","0","0","0","0","10","0","0","11032","16465","492","126","55","4","88","196","19","1151","5219","59","82","4","18","12","938","241","0","0","3042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24576","common","com.facebook.common","L105","L103","0.0355223","4","26","9","0.0159925","0.0277585","136","120","0","0","0","0","0","0.454243","0.408247","2990","273","328","0","0","0","0","0","0","0","0","0","15","0","0","4334","8504","156","83","37","3","83","33","19","596","1640","34","71","3","19","15","522","14","0","0","1115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27675","datasource","com.facebook.datasource","L105","L103","0.37833","38","125","121","0","0","0","0","0.474138","0.237915","566","55","61","0.474138","0.237915","566","55","61","1813","2745","48","22","1","15","3","176","17","0","125","20","1813","2745","48","22","15","1","14","15","3","176","1016","17","13","0","3","0","125","20","0","0","556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28347","binaryresource","com.facebook.binaryresource","L105","L103","0","0","0","0","0","0","0","0","0.470588","0.506667","76","8","9","0.470588","0.506667","76","8","9","74","178","2","2","0","1","1","15","0","0","14","0","74","178","2","2","10","0","3","1","1","15","15","0","2","0","1","0","14","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28391","cache","com.facebook.cache","L105","L103","0.0489113","6","18","11","0.0305169","0.0355685","160","122","0","0","0","0","0","0.388278","0.238793","1076","106","167","0","0","0","0","0","0","0","0","0","2","0","0","3430","5243","162","49","19","3","30","79","11","365","1534","43","25","2","11","2","289","23","0","0","892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30013","drawable","com.facebook.drawable","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8","16","2","0","0","0","0","0","0","0","0","0","0","1","0","0","4","24","0","0","11","0","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30020","imageformat","com.facebook.imageformat","L105","L103","0.0304907","1","4","2","0","0","0","0","0.547619","0.349693","285","23","19","0.547619","0.349693","285","23","19","530","948","33","8","0","16","1","52","10","0","33","1","530","948","33","8","15","0","8","16","1","52","194","10","8","0","1","0","33","1","0","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30258","imageutils","com.facebook.imageutils","L105","L103","0.0553515","3","8","8","0","0","0","0","0.327273","0.280488","345","18","37","0.327273","0.280488","345","18","37","885","1375","58","11","0","18","0","71","45","0","50","0","885","1375","58","11","15","0","10","18","0","71","354","45","8","0","0","0","50","0","0","0","173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30634","samples","com.facebook.samples","L105","L103","0.0988909","23","101","51","0.0578222","0.0868277","608","586","0","0","0","0","0","0.383193","0.254501","2304","228","367","0","0","0","0","0","0","0","0","0","14","0","0","6749","10515","402","153","197","6","109","108","9","733","2398","122","108","3","9","37","553","76","0","0","2315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35139","webpsupport","com.facebook.webpsupport","L105","L103","0.151622","5","14","12","0.229358","0.269076","75","67","0.0222222","0.0523969","47","1","44","0.0222222","0.0523969","47","1","44","850","1049","10","3","0","11","0","78","1","0","42","9","850","1049","10","3","15","0","3","11","0","78","310","1","3","0","0","0","42","9","0","0","257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35476","http","android.net.http","L35475","L103","0","0","0","0","0","0","0","0","0","0.727273","8","0","1","0","0.727273","8","0","1","3","13","0","1","0","0","0","0","0","0","0","0","3","13","0","1","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52041","khronos","javax.microedition.khronos","L52040","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.785714","22","1","0","0","0","0","0","0","0","0","0","0","1","0","0","6","34","0","0","19","0","2","0","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L52059","configuration","org.mockito.configuration","L52058","L103","0","0","0","0","0","0","0","0","1","0.671642","45","2","0","1","0.671642","45","2","0","22","80","0","3","0","0","0","3","0","0","3","0","22","80","0","3","24","0","3","0","0","3","3","0","3","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","animated","com.facebook.imagepipeline.animated","L106","L103","0.191748","25","82","56","0.13719","0.181987","913","782","0","0","0","0","0","0.430986","0.248513","1421","153","202","0","0","0","0","0","0","0","0","0","5","0","0","4297","6655","225","68","79","3","48","155","14","450","1664","27","33","2","14","5","360","18","0","0","1418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2975","image","com.facebook.imagepipeline.image","L106","L103","0.0829179","2","4","4","0","0","0","0","0.589744","0.316416","399","69","48","0.589744","0.316416","399","69","48","862","1457","36","11","0","35","2","112","8","0","106","8","862","1457","36","11","25","0","12","35","2","112","347","8","10","0","2","0","106","8","0","0","185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3468","producers","com.facebook.imagepipeline.producers","L106","L103","0.147713","57","148","144","0.334694","0.37931","82","77","0.212069","0.132209","1818","123","457","0.212069","0.132209","1818","123","457","11933","15856","812","197","1","101","11","965","277","0","602","43","11933","15856","812","197","25","1","94","101","11","965","4841","277","86","0","10","0","602","43","0","0","3935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
