"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0527599","81","375","181","0.0394591","0.0497972","2139","1903","0","0","0","0","0","0.267008","0.174308","8068","887","2435","0","0","0","0","0","0","0","0","0","2","0","0","38218","54208","1999","764","212","13","438","562","86","4356","14270","145","425","9","66","54","3585","232","0","0","12080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0527625","81","375","181","0.0394664","0.0498011","2139","1903","0","0","0","0","0","0.266787","0.174248","8064","886","2435","0","0","0","0","0","0","0","0","0","1","0","0","38215","54198","1999","764","208","13","437","562","85","4356","14270","145","425","9","65","49","3585","232","0","0","12080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23972","javax","javax","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.571429","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","10","0","0","11","0","1","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","bumptech","com.bumptech","L104","L103","0.0527625","81","375","181","0.0394664","0.0498011","2139","1903","0","0","0","0","0","0.266787","0.174248","8064","886","2435","0","0","0","0","0","0","0","0","0","1","0","0","38215","54198","1999","764","208","13","437","562","85","4356","14270","145","425","9","65","48","3585","232","0","0","12080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23973","microedition","javax.microedition","L23972","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.571429","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","10","0","0","11","0","1","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","glide","com.bumptech.glide","L105","L103","0.0527625","81","375","181","0","0","0","0","0.438819","0.270373","992","104","133","0.266787","0.174248","8064","886","2435","2677","4165","112","49","2","56","2","309","7","14","259","20","38215","54198","1999","764","208","13","437","562","85","4356","14270","145","425","9","65","47","3585","232","0","0","12080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23974","khronos","javax.microedition.khronos","L23973","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.571429","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","3","10","0","0","11","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","integration","com.bumptech.glide.integration","L106","L103","0.094932","7","26","11","0.0654545","0.0810811","108","99","0","0","0","0","0","0.290598","0.130342","183","34","83","0","0","0","0","0","0","0","0","0","5","0","0","1221","1650","62","25","63","0","15","16","1","124","448","3","19","0","1","5","108","2","0","0","411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2265","load","com.bumptech.glide.load","L106","L103","0.0540721","44","159","99","0","0","0","0","0.45","0.423077","275","27","33","0.218978","0.145036","3433","360","1284","375","760","27","7","3","4","6","50","14","4","46","1","20237","27917","1104","429","50","8","241","277","50","2282","7212","81","225","6","34","17","1853","108","0","0","6805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14651","manager","com.bumptech.glide.manager","L106","L103","0.141751","11","43","25","0","0","0","0","0.198925","0.114001","263","37","149","0.198925","0.114001","263","37","149","2044","2750","59","40","0","36","9","273","0","0","234","13","2044","2750","59","40","17","0","23","36","9","273","780","0","16","0","6","0","234","13","0","0","810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15799","module","com.bumptech.glide.module","L106","L103","0","0","0","0","0","0","0","0","0.153846","0.269231","70","4","22","0.153846","0.269231","70","4","22","190","310","7","5","0","0","1","23","0","0","20","1","190","310","7","5","17","0","3","0","1","23","62","0","5","0","1","0","20","1","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15935","provider","com.bumptech.glide.provider","L106","L103","0","0","0","0","0","0","0","0","0.263158","0.100877","23","5","14","0.263158","0.100877","23","5","14","205","269","14","8","0","4","0","21","0","0","18","0","205","269","14","8","11","0","5","4","0","21","68","0","5","0","0","0","18","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16409","request","com.bumptech.glide.request","L106","L103","0.0439954","11","83","23","0.0881743","0.153996","85","79","0.339564","0.216302","751","109","212","0.322034","0.229822","1475","190","400","2721","4070","134","23","1","26","5","365","8","2","333","8","4943","7512","246","78","21","1","55","67","12","650","1792","13","52","0","11","2","575","52","0","0","1438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19556","signature","com.bumptech.glide.signature","L106","L103","0","0","0","0","0","0","0","0","0.214286","0.156134","42","6","22","0.214286","0.156134","42","6","22","227","324","6","7","0","0","0","25","0","0","21","0","227","324","6","7","17","0","7","0","0","25","71","0","7","0","0","0","21","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19682","util","com.bumptech.glide.util","L106","L103","0.0279321","3","19","5","0.146119","0.157303","32","28","0.254902","0.155514","251","39","114","0.299401","0.17779","325","50","117","1363","1914","39","21","0","15","0","168","0","1","145","6","1503","2159","48","29","18","0","21","16","3","195","610","0","20","0","3","1","162","9","0","0","425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20962","resize","com.bumptech.glide.resize","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0138889","1","0","6","0","0","0","0","0","0","0","0","0","1","0","0","71","84","1","1","12","0","1","0","0","7","30","0","1","0","0","1","5","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20983","tests","com.bumptech.glide.tests","L106","L103","0","0","0","0","0","0","0","0","0.135135","0.0789474","21","5","32","0.135135","0.0789474","21","5","32","245","324","6","11","0","2","1","30","0","0","28","1","245","324","6","11","11","0","6","2","1","30","70","0","10","0","1","0","28","1","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21094","samples","com.bumptech.glide.samples","L106","L103","0.0101676","4","15","4","0.0127454","0.0149648","37","34","0","0","0","0","0","0.318841","0.0730314","179","44","94","0","0","0","0","0","0","0","0","0","5","0","0","2272","2903","148","67","50","2","31","56","4","236","756","29","33","1","4","6","177","4","0","0","759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22869","testutil","com.bumptech.glide.testutil","L106","L103","0","0","0","0","0","0","0","0","0.428571","0.272727","15","3","4","0.428571","0.272727","15","3","4","40","67","0","2","0","0","0","7","0","0","5","0","40","67","0","2","11","0","2","0","0","7","12","0","2","0","0","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22904","gifdecoder","com.bumptech.glide.gifdecoder","L106","L103","0.10141","4","12","8","0","0","0","0","0.322222","0.278644","518","29","61","0.292453","0.274416","576","31","75","1341","2088","96","8","0","29","2","112","9","1","87","13","1523","2380","99","10","19","0","9","31","2","130","808","12","8","0","2","1","101","13","0","0","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23530","gifencoder","com.bumptech.glide.gifencoder","L106","L103","0.0413972","1","12","2","0","0","0","0","1","0.363211","466","13","0","1","0.363211","466","13","0","817","1384","87","3","0","1","0","44","0","0","19","8","817","1384","87","3","12","0","3","1","0","44","590","0","1","0","0","0","19","8","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23975","opengles","javax.microedition.khronos.opengles","L23974","L103","0","0","0","0","0","0","0","0","1","0.571429","4","1","0","1","0.571429","4","1","0","3","10","0","0","0","0","1","0","0","0","0","0","3","10","0","0","11","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","gifencoder","com.bumptech.glide.integration.gifencoder","L137","L103","0.0727466","2","7","3","0.0666667","0.0718563","14","12","0.0833333","0.050885","23","2","22","0.0833333","0.050885","23","2","22","429","544","18","4","0","3","0","34","1","0","27","1","429","544","18","4","20","0","2","3","0","34","205","1","2","0","0","0","27","1","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L548","okhttp3","com.bumptech.glide.integration.okhttp3","L137","L103","0.142649","2","6","2","0","0","0","0","0.315789","0.161111","29","6","13","0.315789","0.161111","29","6","13","151","211","9","5","0","3","0","18","0","0","17","0","151","211","9","5","13","0","3","3","0","18","41","0","4","0","0","0","17","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L741","okhttp","com.bumptech.glide.integration.okhttp","L137","L103","0.143678","3","9","3","0","0","0","0","0.315789","0.188172","35","6","13","0.315789","0.188172","35","6","13","151","214","8","5","0","3","0","18","0","0","17","0","151","214","8","5","13","0","3","3","0","18","39","0","4","0","0","0","17","0","0","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
