"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.176071","11","73","32","0.145532","0.203584","342","284","0","0","0","0","0","0.415385","0.309406","625","27","38","0","0","0","0","0","0","0","0","0","2","0","0","1395","2350","67","35","70","0","18","8","0","116","542","7","20","0","0","14","60","2","0","0","504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.218353","11","73","32","0.188742","0.251996","342","284","0","0","0","0","0","0.45283","0.276172","430","24","29","0","0","0","0","0","0","0","0","0","1","0","0","1127","1812","53","27","41","0","11","8","0","101","447","3","13","0","0","6","54","2","0","0","457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L897","gcm","gcm","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.421166","195","3","9","0","0","0","0","0","0","0","0","0","1","0","0","268","538","14","8","33","0","7","0","0","15","95","4","7","0","0","6","6","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","google","com.google","L104","L103","0.218353","11","73","32","0.188742","0.251996","342","284","0","0","0","0","0","0.45283","0.276172","430","24","29","0","0","0","0","0","0","0","0","0","1","0","0","1127","1812","53","27","41","0","11","8","0","101","447","3","13","0","0","5","54","2","0","0","457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L898","play","gcm.play","L897","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.421166","195","3","9","0","0","0","0","0","0","0","0","0","1","0","0","268","538","14","8","33","0","7","0","0","15","95","4","7","0","0","5","6","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","samples","com.google.samples","L105","L103","0.218353","11","73","32","0.188742","0.251996","342","284","0","0","0","0","0","0.45283","0.276172","430","24","29","0","0","0","0","0","0","0","0","0","1","0","0","1127","1812","53","27","41","0","11","8","0","101","447","3","13","0","0","4","54","2","0","0","457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L899","android","gcm.play.android","L898","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.421166","195","3","9","0","0","0","0","0","0","0","0","0","1","0","0","268","538","14","8","33","0","7","0","0","15","95","4","7","0","0","4","6","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","quickstart","com.google.samples.quickstart","L106","L103","0.218353","11","73","32","0.188742","0.251996","342","284","0","0","0","0","0","0.45283","0.276172","430","24","29","0","0","0","0","0","0","0","0","0","2","0","0","1127","1812","53","27","41","0","11","8","0","101","447","3","13","0","0","3","54","2","0","0","457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L900","samples","gcm.play.android.samples","L899","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25","0.421166","195","3","9","0","0","0","0","0","0","0","0","0","1","0","0","268","538","14","8","33","0","7","0","0","15","95","4","7","0","0","3","6","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","analytics","com.google.samples.quickstart.analytics","L107","L103","0","0","0","0","0","0","0","0","0.470588","0.43007","123","8","9","0.470588","0.43007","123","8","9","163","340","11","6","0","5","0","16","2","0","13","0","163","340","11","6","14","0","4","5","0","16","55","2","5","0","0","0","13","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
