"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.124552","88","1271","344","0.0911142","0.122766","2665","2404","0","0","0","0","0","0.28231","0.208487","5159","616","1566","0","0","0","0","0","0","0","0","0","1","0","0","19586","29249","850","352","132","5","243","389","11","2517","9143","206","240","5","10","36","2053","228","0","0","7871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.124552","88","1271","344","0.0911142","0.122766","2665","2404","0","0","0","0","0","0.28231","0.208487","5159","616","1566","0","0","0","0","0","0","0","0","0","1","0","0","19586","29249","850","352","132","5","243","389","11","2517","9143","206","240","5","10","35","2053","228","0","0","7871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","greenrobot","org.greenrobot","L104","L103","0.124552","88","1271","344","0.0911142","0.122766","2665","2404","0","0","0","0","0","0.28231","0.208487","5159","616","1566","0","0","0","0","0","0","0","0","0","1","0","0","19586","29249","850","352","132","5","243","389","11","2517","9143","206","240","5","10","34","2053","228","0","0","7871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","greendao","org.greenrobot.greendao","L105","L103","0.124552","88","1271","344","0.0297619","0.0403458","30","28","0.567164","0.285626","461","76","58","0.28231","0.208487","5159","616","1566","1153","1834","32","9","0","22","0","158","11","16","125","0","19586","29249","850","352","132","5","243","389","11","2517","9143","206","240","5","10","33","2053","228","0","0","7871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L941","async","org.greenrobot.greendao.async","L106","L103","0.0773759","1","14","2","0","0","0","0","0.722892","0.253648","226","60","23","0.722892","0.253648","226","60","23","665","1025","54","4","1","21","1","107","25","0","92","11","665","1025","54","4","11","1","5","21","1","107","285","25","3","1","1","0","92","11","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1710","database","org.greenrobot.greendao.database","L106","L103","0","0","0","0","0","0","0","0","0.159574","0.32681","167","15","79","0.159574","0.32681","167","15","79","344","635","9","6","0","14","2","94","0","0","91","4","344","635","9","6","11","0","7","14","2","94","80","0","5","0","2","0","91","4","0","0","186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2083","identityscope","org.greenrobot.greendao.identityscope","L106","L103","0.266304","3","12","6","0","0","0","0","0.0697674","0.264615","86","3","40","0.0697674","0.264615","86","3","40","239","377","6","2","1","5","1","39","2","0","39","0","239","377","6","2","11","1","4","5","1","39","87","2","2","1","1","0","39","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2253","internal","org.greenrobot.greendao.internal","L106","L103","0.0361488","1","8","2","0","0","0","0","0.188889","0.134328","108","17","73","0.188889","0.134328","108","17","73","696","931","34","6","0","28","0","87","9","0","85","3","696","931","34","6","11","0","5","28","0","87","343","9","5","0","0","0","85","3","0","0","222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2787","query","org.greenrobot.greendao.query","L106","L103","0.0162358","1","2","2","0","0","0","0","0.539823","0.313947","529","61","52","0.539823","0.313947","529","61","52","1156","1956","56","19","0","2","2","167","4","0","118","9","1156","1956","56","19","11","0","13","2","2","167","507","4","10","0","2","0","118","9","0","0","328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3829","rx","org.greenrobot.greendao.rx","L106","L103","0.458973","6","20","20","0","0","0","0","0.897436","0.353218","225","35","4","0.897436","0.353218","225","35","4","412","718","4","34","0","3","0","71","0","0","66","0","412","718","4","34","11","0","5","3","0","71","113","0","3","0","0","0","66","0","0","0","514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4125","test","org.greenrobot.greendao.test","L106","L103","0.00699759","1","2","1","0","0","0","0","0.230769","0.23348","159","9","30","0.208696","0.163446","203","24","91","522","777","15","6","0","1","0","52","1","1","33","6","1039","1485","40","17","28","0","15","19","0","129","503","1","15","0","0","1","103","23","0","0","335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4781","generator","org.greenrobot.greendao.generator","L106","L103","0.0712082","5","15","11","0","0","0","0","0.15625","0.184953","413","40","216","0.157692","0.173376","435","41","219","1820","2652","132","16","1","91","0","276","11","1","239","31","2074","2970","137","17","22","1","17","91","0","297","1068","11","17","1","0","1","242","31","0","0","743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
