"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.117271","975","6982","2832","0.0826029","0.117548","31768","29407","0","0","0","0","0","0.23918","0.264001","89786","4830","15364","0","0","0","0","0","0","0","0","0","2","0","0","250311","384587","8005","5753","200","178","1680","1220","195","33120","105763","3508","1634","39","102","39","25514","347","0","0","99360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.11746","975","6982","2832","0.0828493","0.117823","31768","29407","0","0","0","0","0","0.239623","0.263642","89411","4809","15260","0","0","0","0","0","0","0","0","0","1","0","0","249727","383443","7941","5733","188","177","1660","1208","188","32945","105550","3501","1622","38","95","32","25352","347","0","0","98894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138216","java","java","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.168","0.391032","375","21","104","0","0","0","0","0","0","0","0","0","2","0","0","584","1144","64","20","17","1","20","12","7","175","213","7","12","1","7","5","162","0","0","0","466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","google","com.google","L104","L103","0.11746","975","6982","2832","0.0828493","0.117823","31768","29407","0","0","0","0","0","0.239623","0.263642","89411","4809","15260","0","0","0","0","0","0","0","0","0","2","0","0","249727","383443","7941","5733","188","177","1660","1208","188","32945","105550","3501","1622","38","95","31","25352","347","0","0","98894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138217","lang","java.lang","L138216","L103","0","0","0","0","0","0","0","0","0.333333","0.758621","22","1","2","0.285714","0.677966","40","2","5","7","33","0","1","0","0","0","2","0","1","2","0","19","68","0","2","11","0","2","1","0","5","4","0","2","0","0","1","5","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142759","util","java.util","L138216","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.161017","0.372222","335","19","99","0","0","0","0","0","0","0","0","0","1","0","0","565","1076","64","18","12","1","18","11","7","170","209","7","10","1","7","2","157","0","0","0","452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","common","com.google.common","L105","L103","0.117504","975","6982","2832","0","0","0","0","0.5","0.631579","60","3","3","0.239585","0.263508","89313","4808","15260","35","109","0","3","0","0","0","3","0","17","3","0","249625","383209","7933","5731","186","176","1657","1206","188","32936","105512","3496","1621","38","95","28","25352","347","0","0","98868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138138","thirdparty","com.google.thirdparty","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.49","98","1","0","0","0","0","0","0","0","0","0","0","1","0","0","102","234","8","2","9","1","3","2","0","9","38","5","1","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138227","reflect","java.lang.reflect","L138217","L103","0","0","0","0","0","0","0","0","0.25","0.6","18","1","3","0.25","0.6","18","1","3","12","35","0","1","0","1","0","3","0","0","3","0","12","35","0","1","11","0","1","1","0","3","3","0","1","0","0","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142760","concurrent","java.util.concurrent","L142759","L103","0","0","0","0","0","0","0","0","0.228571","0.399696","263","16","54","0.161017","0.372222","335","19","99","395","778","61","15","1","2","7","125","7","1","112","0","565","1076","64","18","12","1","18","11","7","170","209","7","10","1","7","1","157","0","0","0","452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
