"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0659814","276","1452","875","0.0321676","0.0492148","7098","6092","0","0","0","0","0","0.468717","0.36355","70798","5349","6063","0","0","0","0","0","0","0","0","0","6","0","0","123943","220657","3927","2903","181","30","1361","3014","120","13491","54186","1277","1906","23","108","95","11020","354","0","0","36904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","hudson","hudson","L100","L103","0.0725282","242","1161","776","0","0","0","0","0.542982","0.345585","7437","619","521","0.474618","0.368655","58427","4385","4854","14083","24071","406","301","3","245","10","1490","91","27","1218","15","100060","179437","3210","2291","112","26","1029","2400","98","10904","44568","1077","1481","20","87","49","8950","271","0","0","29882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L57405","org","org","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333","0.506173","41","2","4","0","0","0","0","0","0","0","0","0","2","0","0","40","97","2","3","28","0","3","0","0","5","7","0","3","0","0","7","4","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58065","jenkins","jenkins","L100","L103","0.04029","37","291","99","0","0","0","0","0.483607","0.395131","633","59","63","0.465664","0.343941","11791","929","1066","969","1832","28","32","1","24","0","135","10","15","122","0","22491","38974","669","553","64","4","306","580","22","2441","9035","171","367","3","21","30","1947","83","0","0","6412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L69005","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.5","0.72973","54","2","2","0.5","0.72973","54","2","2","20","82","0","2","0","0","0","2","0","0","2","0","20","82","0","2","7","0","2","0","0","2","2","0","2","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L69016","lib","lib","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.182927","0.25742","451","30","134","0","0","0","0","0","0","0","0","0","3","0","0","1301","1992","46","53","11","0","19","34","0","135","560","29","52","0","0","3","114","0","0","0","581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L69629","scripts","scripts","L100","L103","0","0","0","0","0","0","0","0","0.25","0.523077","34","1","3","0.25","0.523077","34","1","3","31","75","0","1","0","0","0","4","0","0","3","0","31","75","0","1","8","0","2","0","0","4","14","0","1","0","0","0","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L204","cli","hudson.cli","L104","L103","0.299052","107","515","395","0","0","0","0","0.240964","0.248479","3104","140","441","0.243243","0.262925","3621","153","476","9388","14785","229","149","1","106","1","663","103","3","522","39","10151","16270","243","165","33","1","123","118","1","737","4807","103","118","0","1","3","577","40","0","0","3476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5530","console","hudson.console","L104","L103","0.0231251","1","2","2","0","0","0","0","0.472441","0.410112","876","60","67","0.472441","0.410112","876","60","67","1260","2427","50","49","0","9","0","132","10","0","108","1","1260","2427","50","49","19","0","20","9","0","132","503","10","33","0","0","0","108","1","0","0","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6803","diagnosis","hudson.diagnosis","L104","L103","0","0","0","0","0","0","0","0","0.447761","0.348142","431","30","37","0.447761","0.348142","431","30","37","807","1401","31","28","0","16","1","82","15","0","65","1","807","1401","31","28","15","0","11","16","1","82","289","15","17","0","0","0","65","1","0","0","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9931","fsp","hudson.fsp","L104","L103","0","0","0","0","0","0","0","0","0.285714","0.330827","44","2","5","0.285714","0.330827","44","2","5","89","150","4","3","0","1","0","10","2","0","6","0","89","150","4","3","9","0","1","1","0","10","34","2","1","0","0","0","6","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
