"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0393695","14","59","31","0.0318591","0.0376596","407","345","0","0","0","0","0","0.415301","0.168117","1855","228","321","0","0","0","0","0","0","0","0","0","1","0","0","9179","12775","682","252","29","4","123","115","32","922","3726","352","83","3","31","14","776","72","0","0","3005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0393695","14","59","31","0.0318591","0.0376596","407","345","0","0","0","0","0","0.415301","0.168117","1855","228","321","0","0","0","0","0","0","0","0","0","1","0","0","9179","12775","682","252","29","4","123","115","32","922","3726","352","83","3","31","13","776","72","0","0","3005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","koushikdutta","com.koushikdutta","L104","L103","0.0393695","14","59","31","0.0318591","0.0376596","407","345","0","0","0","0","0","0.415301","0.168117","1855","228","321","0","0","0","0","0","0","0","0","0","1","0","0","9179","12775","682","252","29","4","123","115","32","922","3726","352","83","3","31","12","776","72","0","0","3005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","ion","com.koushikdutta.ion","L105","L103","0.0393695","14","59","31","0","0","0","0","0.34058","0.090321","377","47","91","0.415301","0.168117","1855","228","321","3797","4845","203","84","2","72","5","424","14","11","354","42","9179","12775","682","252","29","4","123","115","32","922","3726","352","83","3","31","11","776","72","0","0","3005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","sample","com.koushikdutta.ion.sample","L106","L103","0.240979","10","30","22","0.468085","0.527778","22","19","0.464286","0.144169","157","13","15","0.464286","0.144169","157","13","15","932","1295","27","50","0","7","0","76","0","0","55","0","932","1295","27","50","9","0","15","7","0","76","344","0","14","0","0","0","55","0","0","0","581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L973","bitmap","com.koushikdutta.ion.bitmap","L106","L103","0","0","0","0","0","0","0","0","0.162791","0.139605","92","7","36","0.162791","0.139605","92","7","36","567","776","32","9","1","6","2","62","18","0","50","3","567","776","32","9","9","1","12","6","2","62","286","18","7","1","2","0","50","3","0","0","172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1831","builder","com.koushikdutta.ion.builder","L106","L103","0","0","0","0","0","0","0","0","0.957265","0.737913","580","112","5","0.957265","0.737913","580","112","5","206","919","3","0","1","2","21","95","3","0","95","22","206","919","3","0","9","1","13","2","21","95","0","3","0","1","21","0","95","22","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2376","conscrypt","com.koushikdutta.ion.conscrypt","L106","L103","0","0","0","0","0","0","0","0","0.166667","0.0555556","6","1","5","0.166667","0.0555556","6","1","5","102","126","9","1","0","1","0","5","0","0","5","0","102","126","9","1","9","0","1","1","0","5","46","0","1","0","0","0","5","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2596","cookie","com.koushikdutta.ion.cookie","L106","L103","0","0","0","0","0","0","0","0","0.1","0.0350877","4","1","9","0.1","0.0350877","4","1","9","110","134","3","1","0","2","0","10","0","0","9","0","110","134","3","1","9","0","1","2","0","10","47","0","1","0","0","0","9","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2928","future","com.koushikdutta.ion.future","L106","L103","0","0","0","0","0","0","0","0","0.5","0.315789","6","2","2","0.5","0.315789","6","2","2","13","26","0","0","0","0","2","2","0","0","2","0","13","26","0","0","9","0","2","0","2","2","0","0","0","0","2","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
