"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.194266","2522","25290","7700","0.0964845","0.172814","83295","71910","0","0","0","0","0","0.678563","0.462425","359792","22588","10700","0","0","0","0","0","0","0","0","0","14","0","0","418263","863299","13553","4974","658","91","2963","6640","486","42956","208738","4623","2811","43","398","299","35157","2256","0","0","109550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0689398","181","1728","527","0.0592505","0.0776884","4490","4209","0","0","0","0","0","0.204879","0.18794","12539","991","3846","0","0","0","0","0","0","0","0","0","2","0","0","54179","75780","1277","566","119","29","417","1151","47","6128","22274","304","384","18","7","34","4860","277","0","0","17313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24813","org","org","L100","L103","0.26656","1339","11101","4143","0.134813","0.226453","42975","36244","0","0","0","0","0","0.76226","0.427142","120592","9000","2807","0","0","0","0","0","0","0","0","0","8","0","0","161731","318774","4981","1701","265","23","954","2861","132","13319","79009","2106","1106","0","105","131","11536","1123","0","0","37353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L90969","android","android","L100","L103","0.158754","35","263","78","0.0821997","0.142479","1136","969","0","0","0","0","0","0.813449","0.443546","5433","375","86","0","0","0","0","0","0","0","0","0","4","0","0","6816","13820","290","60","27","2","47","44","12","644","3956","119","35","2","12","7","513","20","0","0","1542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94494","dalvik","dalvik","L100","L103","0.721715","3","119","26","0.261204","0.438228","204","188","0","0","0","0","0","0.74359","0.403338","290","29","10","0","0","0","0","0","0","0","0","0","1","0","0","429","781","16","8","21","0","4","8","2","52","239","8","5","0","2","1","37","3","0","0","176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94853","jsr166","jsr166","L100","L103","0.223961","22","114","48","0","0","0","0","0.7603","0.262602","969","203","64","0.7603","0.262602","969","203","64","2721","4085","35","65","0","3","1","316","29","0","256","2","2721","4085","35","65","11","0","5","3","1","316","1839","29","37","0","1","0","256","2","0","0","982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L96209","java","java","L100","L103","0.134685","381","4480","1040","0.0512581","0.116621","16700","14178","0","0","0","0","0","0.874511","0.594853","179124","8948","1284","0","0","0","0","0","0","0","0","0","11","0","0","121999","325802","5336","1530","123","23","977","2058","234","15672","61460","1320","730","18","225","33","12065","604","0","0","29054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L168059","javax","javax","L100","L103","0.177037","34","296","67","0.0403525","0.149768","925","808","0","0","0","0","0","0.982968","0.74355","15648","808","14","0","0","0","0","0","0","0","0","0","6","0","0","5397","22923","261","87","45","4","118","276","28","872","1922","106","75","4","28","23","753","118","0","0","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172358","libcore","libcore","L100","L103","0.171565","246","4922","854","0.136838","0.184725","6284","5350","0","0","0","0","0","0.181861","0.282714","11416","383","1723","0","0","0","0","0","0","0","0","0","8","0","0","28964","45923","812","397","73","8","248","108","16","2524","16137","444","270","0","8","30","1996","74","0","0","8700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L182754","tests","tests","L100","L103","0.223454","98","562","245","0.151636","0.20905","2428","2005","0","0","0","0","0","0.666667","0.320801","4531","410","205","0","0","0","0","0","0","0","0","0","6","0","0","9593","16012","259","116","49","0","81","42","6","678","5355","84","81","0","5","16","609","16","0","0","2229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185317","okio","okio","L100","L103","0.0841691","25","100","43","0.0720721","0.123077","24","24","0.32438","0.221533","1572","157","327","0.32438","0.221533","1572","157","327","5524","8143","70","52","0","6","6","706","10","0","644","3","5524","8143","70","52","17","0","32","6","6","706","3466","10","17","0","4","0","644","3","0","0","1807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
