"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0765954","63","385","147","0.0304114","0.0660213","1828","1514","0","0","0","0","0","0.518312","0.560942","29298","1670","1552","0","0","0","0","0","0","0","0","0","3","0","0","22932","60109","1132","861","1260","37","894","370","94","2706","8223","194","796","36","93","197","2432","160","0","0","6767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0802277","63","385","147","0.0314484","0.0686341","1828","1514","0","0","0","0","0","0.522939","0.564077","28544","1630","1487","0","0","0","0","0","0","0","0","0","1","0","0","22059","58127","1097","818","1200","37","865","361","93","2627","7979","192","758","36","92","172","2364","154","0","0","6572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17220","domainapp","domainapp","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25641","0.377289","412","20","58","0","0","0","0","0","0","0","0","0","4","0","0","680","1370","25","34","49","0","19","8","0","62","170","2","29","0","0","19","51","6","0","0","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17636","org","org","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.740741","0.639252","342","20","7","0","0","0","0","0","0","0","0","0","1","0","0","193","612","10","9","17","0","10","1","1","17","74","0","9","0","1","3","17","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","iluwatar","com.iluwatar","L104","L103","0.0802277","63","385","147","0.0314484","0.0686341","1828","1514","0","0","0","0","0","0.522939","0.564077","28544","1630","1487","0","0","0","0","0","0","0","0","0","85","0","0","22059","58127","1097","818","1200","37","865","361","93","2627","7979","192","758","36","92","171","2364","154","0","0","6572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17221","dom","domainapp.dom","L17220","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.363636","0.351648","128","12","21","0","0","0","0","0","0","0","0","0","2","0","0","236","466","9","13","20","0","6","3","0","22","38","1","11","0","0","4","22","3","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17385","fixture","domainapp.fixture","L17220","L103","0","0","0","0","0","0","0","0","0.5","0.485714","17","1","1","0.416667","0.467033","85","5","7","18","39","0","1","0","1","0","1","0","2","1","0","97","233","7","4","13","0","4","5","0","11","24","1","4","0","0","3","8","2","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17465","integtests","domainapp.integtests","L17220","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0666667","0.382927","157","2","28","0","0","0","0","0","0","0","0","0","4","0","0","253","512","7","15","18","0","8","0","0","23","76","0","13","0","0","8","19","1","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17595","webapp","domainapp.webapp","L17220","L103","0","0","0","0","0","0","0","0","0.333333","0.308824","42","1","2","0.333333","0.308824","42","1","2","94","159","2","2","0","0","0","6","0","0","2","0","94","159","2","2","10","0","1","0","0","6","32","0","1","0","0","0","2","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17637","queue","org.queue","L17636","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.740741","0.639252","342","20","7","0","0","0","0","0","0","0","0","0","1","0","0","193","612","10","9","17","0","10","1","1","17","74","0","9","0","1","2","17","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
