"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.103261","862","5233","2489","0.0499302","0.0897024","25868","22179","0","0","0","0","0","0.323337","0.456642","207810","6954","14553","0","0","0","0","0","0","0","0","0","6","0","0","247273","518083","7806","7099","4662","82","3358","5048","323","26488","86080","1486","4822","48","281","542","21260","1044","0","0","85856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.625","0.662963","179","5","3","0.625","0.662963","179","5","3","91","311","3","4","0","2","0","8","1","0","4","0","91","311","3","4","21","0","4","2","0","8","22","1","4","0","0","0","4","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","$","$","L100","L103","0","0","0","0","0","0","0","0","0.666667","0.306667","23","4","2","0.666667","0.306667","23","4","2","52","97","0","3","0","1","0","4","0","0","3","0","52","97","0","3","15","0","3","1","0","4","17","0","3","0","0","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L300","$package","$package","L100","L103","0","0","0","0","0","0","0","0","0.666667","0.383333","46","6","3","0.666667","0.383333","46","6","3","74","147","3","4","0","2","0","7","1","0","7","1","74","147","3","4","22","0","4","2","0","7","14","1","4","0","0","0","7","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L363","org","org","L100","L103","0.10307","826","4839","2399","0.0499444","0.0892403","24925","21279","0","0","0","0","0","0.312547","0.454654","198813","6606","14530","0","0","0","0","0","0","0","0","0","1","0","0","238471","499055","7137","7052","4610","80","3307","4888","322","25994","81256","1199","4783","46","280","528","20890","1010","0","0","85043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L128978","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.974684","0.660992","2252","154","4","0","0","0","0","0","0","0","0","0","1","0","0","1155","3681","100","15","12","2","18","87","0","142","240","10","15","2","0","4","141","33","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L129731","jersey","jersey","L100","L103","0.127516","41","394","90","0.0637507","0.121131","943","900","0","0","0","0","0","0.942105","0.466504","6497","179","11","0","0","0","0","0","0","0","0","0","1","0","0","7430","14792","563","21","12","0","22","68","1","333","4531","275","13","0","1","4","215","0","0","0","718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L364","glassfish","org.glassfish","L363","L103","0.10307","826","4839","2399","0.0499444","0.0892403","24925","21279","0","0","0","0","0","0.312547","0.454654","198813","6606","14530","0","0","0","0","0","0","0","0","0","1","0","0","238471","499055","7137","7052","4610","80","3307","4888","322","25994","81256","1199","4783","46","280","527","20890","1010","0","0","85043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L128979","sun","com.sun","L128978","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.974684","0.660992","2252","154","4","0","0","0","0","0","0","0","0","0","1","0","0","1155","3681","100","15","12","2","18","87","0","142","240","10","15","2","0","3","141","33","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L129732","repackaged","jersey.repackaged","L129731","L103","0.127516","41","394","90","0.0637507","0.121131","943","900","0","0","0","0","0","0.942105","0.466504","6497","179","11","0","0","0","0","0","0","0","0","0","1","0","0","7430","14792","563","21","12","0","22","68","1","333","4531","275","13","0","1","3","215","0","0","0","718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","jersey","org.glassfish.jersey","L364","L103","0.10307","826","4839","2399","0","0","0","0","0.957447","0.639838","1105","45","2","0.312547","0.454654","198813","6606","14530","622","1849","52","5","1","12","1","45","31","40","39","0","238471","499055","7137","7052","4610","80","3307","4888","322","25994","81256","1199","4783","46","280","526","20890","1010","0","0","85043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
