"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0319982","29","101","67","0.0189655","0.0257318","774","712","0","0","0","0","0","0.197246","0.200381","6934","745","3032","0","0","0","0","0","0","0","0","0","2","0","0","27670","40811","834","1246","89","4","437","308","39","3898","8302","271","943","1","38","64","3122","31","0","0","12596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","junit","junit","L100","L103","0.0245529","5","7","7","0.0172643","0.0236152","91","81","0","0","0","0","0","0.410208","0.241821","1094","217","312","0","0","0","0","0","0","0","0","0","6","0","0","3430","5271","80","104","20","0","75","26","5","582","1418","8","67","0","5","10","488","19","0","0","1489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2900","org","org","L100","L103","0.0330213","27","94","60","0.0192178","0.0260314","683","631","0","0","0","0","0","0.162562","0.194149","5840","528","2720","0","0","0","0","0","0","0","0","0","1","0","0","24240","35540","754","1142","77","4","362","282","34","3316","6884","263","876","1","33","52","2634","12","0","0","11107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","extensions","junit.extensions","L104","L103","0","0","0","0","0","0","0","0","0.217391","0.207101","35","5","18","0.217391","0.207101","35","5","18","134","198","3","6","0","1","0","24","0","0","21","1","134","198","3","6","8","0","5","1","0","24","41","0","4","0","0","0","21","1","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L282","framework","junit.framework","L104","L103","0","0","0","0","0","0","0","0","0.822857","0.423718","686","144","31","0.822857","0.423718","686","144","31","933","1843","29","14","0","12","3","189","0","0","165","3","933","1843","29","14","8","0","15","12","3","189","357","0","11","0","3","0","165","3","0","0","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1395","runner","junit.runner","L104","L103","0","0","0","0","0","0","0","0","0.413793","0.192661","63","12","17","0.413793","0.192661","63","12","17","264","376","7","2","0","7","1","38","3","0","26","3","264","376","7","2","8","0","4","7","1","38","115","3","2","0","1","0","26","3","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1631","textui","junit.textui","L104","L103","0","0","0","0","0","0","0","0","0.521739","0.250847","74","12","11","0.521739","0.250847","74","12","11","221","348","6","2","0","1","0","35","3","0","21","1","221","348","6","2","8","0","3","1","0","35","104","3","2","0","0","0","21","1","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1807","samples","junit.samples","L104","L103","0.0629067","2","2","2","0","0","0","0","0.1875","0.246377","34","3","13","0.207792","0.195122","104","16","61","104","165","5","3","0","0","0","15","1","1","13","2","429","634","14","6","9","0","9","0","1","78","200","1","6","0","1","1","70","3","0","0","184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2094","tests","junit.tests","L104","L103","0.0372827","3","5","5","0","0","0","0","0.5","0.285714","10","2","2","0.138614","0.0834915","132","28","174","25","42","1","2","0","0","0","3","1","3","2","0","1449","1872","21","74","11","0","39","5","0","218","601","1","42","0","0","3","185","8","0","0","953","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2901","junit","org.junit","L2900","L103","0.0330213","27","94","60","0","0","0","0","0.897959","0.629828","1174","88","10","0.162562","0.194149","5840","528","2720","690","2032","17","8","0","3","0","112","3","10","89","0","24240","35540","754","1142","77","4","362","282","34","3316","6884","263","876","1","33","51","2634","12","0","0","11107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1868","money","junit.samples.money","L1807","L103","0.0825623","2","2","2","0","0","0","0","0.213115","0.177215","70","13","48","0.213115","0.177215","70","13","48","325","469","9","3","0","0","1","63","0","0","57","1","325","469","9","3","9","0","5","0","1","63","154","0","3","0","1","0","57","1","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2110","extensions","junit.tests.extensions","L2094","L103","0.097622","1","2","2","0","0","0","0","0.173913","0.0747664","16","4","19","0.173913","0.0747664","16","4","19","198","256","2","12","0","0","0","25","0","0","22","2","198","256","2","12","9","0","5","0","0","25","93","0","6","0","0","0","22","2","0","0","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2226","framework","junit.tests.framework","L2094","L103","0.01781","1","2","2","0","0","0","0","0.144928","0.0922747","86","20","118","0.144928","0.0922747","86","20","118","846","1099","10","39","0","0","0","141","0","0","121","4","846","1099","10","39","9","0","23","0","0","141","345","0","23","0","0","0","121","4","0","0","545","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
