"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.130272","504","2503","1396","0.0854337","0.106484","12345","9689","0","0","0","0","0","0.287162","0.257928","31705","1984","4925","0","0","0","0","0","0","0","0","0","2","0","0","91217","144498","5031","1623","238","27","912","235","127","8443","41738","1188","854","21","118","74","7205","102","0","0","27133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.130868","504","2503","1396","0.0858729","0.106991","12345","9689","0","0","0","0","0","0.287002","0.25752","31488","1974","4904","0","0","0","0","0","0","0","0","0","1","0","0","90786","143759","5005","1616","224","27","904","235","125","8409","41564","1180","848","21","116","68","7180","101","0","0","27052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50723","kafka","kafka","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.322581","0.334877","217","10","21","0","0","0","0","0","0","0","0","0","3","0","0","431","739","26","7","17","0","8","0","2","34","174","8","6","0","2","4","25","1","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","apache","org.apache","L104","L103","0.130868","504","2503","1396","0.0858729","0.106991","12345","9689","0","0","0","0","0","0.287002","0.25752","31488","1974","4904","0","0","0","0","0","0","0","0","0","1","0","0","90786","143759","5005","1616","224","27","904","235","125","8409","41564","1180","848","21","116","67","7180","101","0","0","27052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50724","javaapi","kafka.javaapi","L50723","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.642857","0.747899","89","9","5","0","0","0","0","0","0","0","0","0","1","0","0","30","141","0","0","10","0","2","0","2","12","0","0","0","0","2","1","12","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50802","tools","kafka.tools","L50723","L103","0","0","0","0","0","0","0","0","0.25","0.152263","37","1","3","0.25","0.152263","37","1","3","206","278","10","1","0","0","0","9","0","0","3","0","206","278","10","1","9","0","1","0","0","9","96","0","1","0","0","0","3","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50852","examples","kafka.examples","L50723","L103","0","0","0","0","0","0","0","0","0","0.318182","91","0","13","0","0.318182","91","0","13","195","320","16","6","0","0","0","13","8","0","10","0","195","320","16","6","9","0","5","0","0","13","78","8","5","0","0","0","10","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","kafka","org.apache.kafka","L105","L103","0.130868","504","2503","1396","0.0858729","0.106991","12345","9689","0","0","0","0","0","0.287002","0.25752","31488","1974","4904","0","0","0","0","0","0","0","0","0","7","0","0","90786","143759","5005","1616","224","27","904","235","125","8409","41564","1180","848","21","116","66","7180","101","0","0","27052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L50725","consumer","kafka.javaapi.consumer","L50724","L103","0","0","0","0","0","0","0","0","0.642857","0.747899","89","9","5","0.642857","0.747899","89","9","5","30","141","0","0","0","0","2","12","0","0","12","1","30","141","0","0","10","0","2","0","2","12","0","0","0","0","2","0","12","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","clients","org.apache.kafka.clients","L106","L103","0.120977","80","299","215","0","0","0","0","0.4","0.318738","859","64","96","0.377033","0.278392","5692","371","613","1836","3120","121","22","1","2","5","215","39","2","188","3","14754","23505","785","201","25","4","98","9","16","1293","7276","188","89","2","15","4","1074","6","0","0","3811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9355","common","org.apache.kafka.common","L106","L103","0.0516826","48","416","104","0","0","0","0","0.578313","0.453608","440","48","35","0.303016","0.281988","8399","643","1479","530","1108","34","9","0","1","3","75","0","13","71","0","21386","34617","1536","367","55","14","290","98","30","2219","9314","557","303","13","27","21","1917","9","0","0","5843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22078","test","org.apache.kafka.test","L106","L103","0.00391188","1","1","1","0","0","0","0","0.123853","0.27982","746","27","191","0.123853","0.27982","746","27","191","1920","3125","114","55","0","9","1","228","69","0","218","5","1920","3125","114","55","19","0","30","9","1","228","700","69","31","0","1","0","218","5","0","0","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L23714","connect","org.apache.kafka.connect","L106","L103","0.152998","150","467","403","0.1044","0.121784","3253","2476","0","0","0","0","0","0.23501","0.228061","6037","341","1110","0","0","0","0","0","0","0","0","0","12","0","0","20434","31159","1044","324","93","5","176","37","19","1726","9590","173","170","3","16","18","1464","14","0","0","5833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L32825","log4jappender","org.apache.kafka.log4jappender","L106","L103","0.0860832","1","4","2","0","0","0","0","0.025641","0.155989","56","1","38","0.025641","0.155989","56","1","38","303","429","31","3","0","21","0","44","0","0","36","15","303","429","31","3","17","0","3","21","0","44","120","0","3","0","0","0","36","15","0","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L32999","streams","org.apache.kafka.streams","L106","L103","0.176247","225","1289","646","0","0","0","0","0.406977","0.319715","493","35","51","0.285007","0.25177","10346","576","1445","1049","1786","74","13","1","7","3","88","46","8","82","4","30747","49219","1430","644","48","4","302","60","59","2811","14050","193","245","3","57","16","2399","52","0","0","10427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49977","tools","org.apache.kafka.tools","L106","L103","0.128258","9","27","25","0.115254","0.124481","34","30","0.348837","0.145805","212","15","28","0.348837","0.145805","212","15","28","1242","1705","65","22","0","1","0","88","0","0","72","0","1242","1705","65","22","11","0","5","1","0","88","514","0","7","0","0","0","72","0","0","0","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L500","consumer","org.apache.kafka.clients.consumer","L107","L103","0.164633","71","265","193","0","0","0","0","0.430279","0.36583","1865","108","143","0.302135","0.257372","3177","184","425","3233","5866","136","32","1","1","4","268","45","1","235","1","9167","14354","407","130","21","3","53","5","7","812","4641","91","51","1","7","1","660","2","0","0","2761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6851","producer","org.apache.kafka.clients.producer","L107","L103","0.0524709","12","28","18","0","0","0","0","0.649485","0.374737","890","63","34","0.572093","0.30627","1656","123","92","1485","2643","104","15","0","0","4","108","32","1","94","0","3751","6031","257","49","21","0","28","2","4","266","1835","58","27","0","4","1","226","1","0","0","649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9370","annotation","org.apache.kafka.common.annotation","L9355","L103","0","0","0","0","0","0","0","0","1","0.636364","28","4","0","1","0.636364","28","4","0","16","48","0","1","0","0","0","0","0","0","0","0","16","48","0","1","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9397","cache","org.apache.kafka.common.cache","L9355","L103","0","0","0","0","0","0","0","0","0.333333","0.451163","97","7","14","0.333333","0.451163","97","7","14","118","258","2","4","0","0","1","18","0","0","17","0","118","258","2","4","19","0","4","0","1","18","54","0","3","0","1","0","17","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9623","config","org.apache.kafka.common.config","L9355","L103","0.0475501","3","6","4","0","0","0","0","0.330769","0.24645","538","43","87","0.345588","0.254683","571","47","89","1645","2492","124","22","3","14","2","149","96","1","120","0","1671","2561","126","23","20","3","10","14","2","154","749","97","16","3","2","1","125","0","0","0","428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10705","errors","org.apache.kafka.common.errors","L9355","L103","0","0","0","0","0","0","0","0","0.143541","0.541254","820","30","179","0.143541","0.541254","820","30","179","695","1872","56","54","0","0","0","155","2","0","155","0","695","1872","56","54","12","0","54","0","0","155","157","2","54","0","0","0","155","0","0","0","464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11227","internals","org.apache.kafka.common.internals","L9355","L103","0.317615","4","8","8","0","0","0","0","0.25","0.232143","91","8","24","0.25","0.232143","91","8","24","301","458","4","4","0","0","0","31","0","0","28","0","301","458","4","4","19","0","3","0","0","31","187","0","4","0","0","0","28","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11419","metrics","org.apache.kafka.common.metrics","L9355","L103","0.040678","2","4","4","0","0","0","0","0.41129","0.323273","557","51","73","0.301508","0.308549","776","60","139","1166","1962","46","16","0","6","5","135","1","1","120","3","1739","2903","75","34","21","1","27","6","6","211","880","7","27","1","6","1","182","3","0","0","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
