"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.149081","1234","43595","4622","0.095514","0.128916","36864","33351","0","0","0","0","0","0.219254","0.214431","70722","7716","27476","0","0","0","0","0","0","0","0","0","4","0","0","259091","385954","14137","3495","422","94","2179","6968","190","41569","133389","5195","2418","78","187","178","36260","4070","0","0","114095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.145724","1120","42852","4298","0.0960034","0.128163","32895","30122","0","0","0","0","0","0.205424","0.19503","57037","6809","26337","0","0","0","0","0","0","0","0","0","3","0","0","235416","342644","12671","3231","395","83","1937","6485","162","38897","119225","4595","2231","70","159","152","33963","3922","0","0","107192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178691","avian","avian","L100","L103","0","0","0","0","0","0","0","0","0","0.166667","17","0","5","0","0.166667","17","0","5","85","105","0","1","0","0","0","7","0","0","4","0","85","105","0","1","13","0","1","0","0","7","71","0","1","0","0","0","4","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178727","java","java","L100","L103","0.190935","17","229","72","0.0726116","0.146702","1004","954","0","0","0","0","0","0.498447","0.45736","5481","321","323","0","0","0","0","0","0","0","0","0","6","0","0","6503","13827","138","99","34","0","104","82","10","1283","3023","32","56","0","10","8","1024","7","0","0","2796","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205557","org","org","L100","L103","0.18069","102","514","252","0.100926","0.133142","2965","2275","0","0","0","0","0","0.41947","0.32393","8187","586","811","0","0","0","0","0","0","0","0","0","1","0","0","17087","29378","1328","164","29","11","137","401","18","1382","11070","568","130","8","18","14","1269","141","0","0","4089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","badlogic","com.badlogic","L104","L103","0.146066","1119","42850","4296","0.0964427","0.128709","32832","30114","0","0","0","0","0","0.205892","0.194054","56428","6772","26119","0","0","0","0","0","0","0","0","0","2","0","0","234357","340430","12363","3214","379","82","1918","6439","160","38633","119104","4292","2214","69","157","142","33728","3916","0","0","106651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L177500","google","com.google","L104","L103","0.0109664","1","2","2","0.0290189","0.00770713","63","8","0","0","0","0","0","0.146245","0.363971","594","37","216","0","0","0","0","0","0","0","0","0","1","0","0","1038","2171","308","16","21","1","18","46","2","261","115","303","16","1","2","5","234","6","0","0","531","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178661","badlogicgames","com.badlogicgames","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.416667","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","21","43","0","1","12","0","1","0","0","3","6","0","1","0","0","2","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178728","io","java.io","L178727","L103","0","0","0","0","0","0","0","0","0.123596","0.32779","611","33","234","0.123596","0.32779","611","33","234","1253","2256","45","25","0","9","6","254","6","0","240","3","1253","2256","45","25","14","0","29","9","6","254","543","6","23","0","6","0","240","3","0","0","558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L180552","lang","java.lang","L178727","L103","0","0","0","0","0","0","0","0","0.196078","0.511574","221","10","41","0.196078","0.511574","221","10","41","211","515","4","11","0","4","2","45","2","0","42","3","211","515","4","11","27","0","10","4","2","45","64","2","9","0","2","0","42","3","0","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L184423","net","java.net","L178727","L103","0","0","0","0","0","0","0","0","1","0.456","57","3","0","1","0.456","57","3","0","68","134","1","1","0","0","0","4","0","0","2","0","68","134","1","1","14","0","1","0","0","4","45","0","1","0","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185525","nio","java.nio","L178727","L103","0.269612","17","229","72","0","0","0","0","0.902527","0.45723","3918","250","27","0.902527","0.45723","3918","250","27","4651","9813","49","53","0","63","2","939","2","0","703","0","4651","9813","49","53","14","0","55","63","2","939","2234","2","14","0","2","0","703","0","0","0","2047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L188537","security","java.security","L178727","L103","0","0","0","0","0","0","0","0","0","0.435484","27","0","11","0","0.435484","27","0","11","35","79","2","3","0","2","0","8","0","0","8","0","35","79","2","3","14","0","3","2","0","8","8","0","3","0","0","0","8","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L188688","util","java.util","L178727","L103","0","0","0","0","0","0","0","0","0.954545","0.722846","579","21","1","0.714286","0.694206","647","25","10","222","870","32","2","0","4","0","22","22","2","20","1","285","1030","37","6","16","0","6","4","0","33","129","22","6","0","0","2","29","1","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205558","jbox2d","org.jbox2d","L205557","L103","0.18069","102","514","252","0.100926","0.133142","2965","2275","0","0","0","0","0","0.41947","0.32393","8187","586","811","0","0","0","0","0","0","0","0","0","6","0","0","17087","29378","1328","164","29","11","137","401","18","1382","11070","568","130","8","18","13","1269","141","0","0","4089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","gdx","com.badlogic.gdx","L105","L103","0.146775","1116","42836","4290","0","0","0","0","0.702532","0.475565","1158","222","94","0.205576","0.194383","56179","6740","26046","1277","2820","248","14","6","94","16","284","224","19","280","28","232833","338394","12247","3196","376","82","1908","6391","159","38490","118211","4292","2206","69","156","138","33628","3910","0","0","106237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L176766","gwtref","com.badlogic.gwtref","L105","L103","0.0443427","3","14","6","0.0363458","0.0434783","74","66","0","0","0","0","0","0.304762","0.14044","249","32","73","0","0","0","0","0","0","0","0","0","2","0","0","1524","2036","116","18","11","0","10","48","1","143","893","0","8","0","1","2","100","6","0","0","414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L177501","gwt","com.google.gwt","L177500","L103","0.0109664","1","2","2","0.0290189","0.00770713","63","8","0","0","0","0","0","0.146245","0.363971","594","37","216","0","0","0","0","0","0","0","0","0","2","0","0","1038","2171","308","16","21","1","18","46","2","261","115","303","16","1","2","4","234","6","0","0","531","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178662","gdx","com.badlogicgames.gdx","L178661","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.416667","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","21","43","0","1","12","0","1","0","0","3","6","0","1","0","0","1","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L188989","regex","java.util.regex","L188688","L103","0","0","0","0","0","0","0","0","0.285714","0.485714","34","2","5","0.285714","0.485714","34","2","5","36","85","4","2","0","0","0","7","0","0","5","0","36","85","4","2","15","0","2","0","0","7","9","0","2","0","0","0","5","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L189062","zip","java.util.zip","L188688","L103","0","0","0","0","0","0","0","0","0.333333","0.557377","34","2","4","0.333333","0.557377","34","2","4","27","75","1","2","0","0","0","4","0","0","4","0","27","75","1","2","15","0","2","0","0","4","5","0","2","0","0","0","4","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205559","callbacks","org.jbox2d.callbacks","L205558","L103","0","0","0","0","0","0","0","0","0.779661","0.739782","543","46","13","0.779661","0.739782","543","46","13","191","823","12","3","0","10","10","46","10","0","46","3","191","823","12","3","17","0","13","10","10","46","45","10","3","0","10","0","46","3","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205819","collision","org.jbox2d.collision","L205558","L103","0.206937","27","156","60","0.220183","0.301676","72","54","0.638554","0.329301","1089","53","30","0.483607","0.305386","2047","118","126","2218","3794","216","25","7","16","0","79","103","2","79","0","4656","7765","307","36","19","8","26","60","2","246","3240","142","28","5","2","2","226","6","0","0","901","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
