"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.379639","5272","215543","69223","0.285598","0.38508","326475","253598","0","0","0","0","0","0.51838","0.30317","286661","31573","29334","0","0","0","0","0","0","0","0","0","2","0","0","658884","1143127","15975","3941","3674","26","3930","18200","464","64307","231144","5133","3548","25","458","1669","57474","8977","0","0","187422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.5","0.692308","18","1","1","0.5","0.692308","18","1","1","8","32","0","1","0","0","0","2","0","0","1","0","8","32","0","1","4","0","1","0","0","2","2","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","com","com","L100","L103","0.379642","5272","215543","69223","0.285606","0.385084","326475","253598","0","0","0","0","0","0.518381","0.303159","286643","31572","29333","0","0","0","0","0","0","0","0","0","1","0","0","658876","1143095","15975","3940","3673","26","3929","18200","464","64305","231142","5133","3547","25","458","1667","57473","8977","0","0","187419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L139","liferay","com.liferay","L138","L103","0.379642","5272","215543","69223","0.285606","0.385084","326475","253598","0","0","0","0","0","0.518381","0.303159","286643","31572","29333","0","0","0","0","0","0","0","0","0","36","0","0","658876","1143095","15975","3940","3673","26","3929","18200","464","64305","231142","5133","3547","25","458","1666","57473","8977","0","0","187419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","amazon","com.liferay.amazon","L139","L103","0.0407583","5","10","6","0.0470383","0.0584239","54","43","0","0","0","0","0","0.153846","0.18313","165","10","55","0","0","0","0","0","0","0","0","0","1","0","0","736","1148","29","10","24","0","10","29","1","71","235","1","9","0","1","11","55","20","0","0","236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L609","asset","com.liferay.asset","L139","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.410256","16","1","1","0","0","0","0","0","0","0","0","0","1","0","0","23","47","0","1","16","0","1","0","0","1","2","0","1","0","0","3","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L637","calevent","com.liferay.calevent","L139","L103","0.268449","14","48","43","0.193742","0.216667","291","247","0","0","0","0","0","1","0.0248075","29","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1140","1502","28","1","15","0","1","4","0","59","511","0","1","0","0","2","0","21","0","0","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1335","chat","com.liferay.chat","L139","L103","0.444914","430","4354","1153","0.304264","0.443304","6908","5227","0","0","0","0","0","0.611702","0.375919","7109","805","511","0","0","0","0","0","0","0","0","0","9","0","0","11802","22704","280","60","70","0","68","282","13","1330","4549","112","55","0","13","30","1256","141","0","0","3379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7398","announcements","com.liferay.announcements","L139","L103","0.098639","14","38","18","0.0980312","0.129458","239","196","0","0","0","0","0","0.294737","0.232641","459","28","67","0","0","0","0","0","0","0","0","0","2","0","0","1514","2438","24","27","40","0","28","41","2","96","378","5","26","0","2","19","67","10","0","0","419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7850","blogs","com.liferay.blogs","L139","L103","0.445492","1720","18917","5535","0.335332","0.454761","27068","21140","0","0","0","0","0","0.561211","0.30672","20580","2150","1681","0","0","0","0","0","0","0","0","0","25","0","0","46517","80720","864","216","259","0","219","978","16","4077","16275","255","203","0","16","136","3627","428","0","0","12272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
