"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.102387","23","160","59","0.0772319","0.0908566","654","630","0","0","0","0","0","0.182377","0.0789963","595","89","399","0","0","0","0","0","0","0","0","0","1","0","0","6937","8468","308","111","30","5","35","60","13","669","2950","47","34","4","13","10","564","59","0","0","2282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.102387","23","160","59","0.0772319","0.0908566","654","630","0","0","0","0","0","0.182377","0.0789963","595","89","399","0","0","0","0","0","0","0","0","0","1","0","0","6937","8468","308","111","30","5","35","60","13","669","2950","47","34","4","13","9","564","59","0","0","2282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","afollestad","com.afollestad","L104","L103","0.102387","23","160","59","0.0772319","0.0908566","654","630","0","0","0","0","0","0.182377","0.0789963","595","89","399","0","0","0","0","0","0","0","0","0","2","0","0","6937","8468","308","111","30","5","35","60","13","669","2950","47","34","4","13","8","564","59","0","0","2282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","materialdialogs","com.afollestad.materialdialogs","L105","L103","0.0921891","17","134","43","0.12234","0.120253","23","19","0.294686","0.14984","374","61","146","0.198135","0.086869","561","85","344","2122","2821","132","12","5","26","7","240","14","6","217","29","5897","7287","293","69","23","5","29","59","12","558","2675","47","27","4","12","6","465","58","0","0","1706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4062","materialdialogssample","com.afollestad.materialdialogssample","L105","L103","0.155633","6","26","16","0","0","0","0","0.0677966","0.0316574","34","4","55","0.0677966","0.0316574","34","4","55","1040","1181","15","42","0","1","1","111","0","0","99","1","1040","1181","15","42","10","0","6","1","1","111","275","0","7","0","1","0","99","1","0","0","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L125","color","com.afollestad.materialdialogs.color","L106","L103","0","0","0","0","0","0","0","0","0.0943396","0.0197317","25","5","48","0.0943396","0.0197317","25","5","48","1242","1392","50","12","0","7","1","81","7","0","62","6","1242","1392","50","12","11","0","4","7","1","81","422","7","4","0","1","0","62","6","0","0","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L955","folderselector","com.afollestad.materialdialogs.folderselector","L106","L103","0.201646","3","22","6","0.115016","0.125448","36","35","0.027027","0.0131579","7","1","36","0.027027","0.0131579","7","1","36","525","594","25","11","0","5","2","47","0","0","38","0","525","594","25","11","11","0","2","5","2","47","232","0","4","0","2","0","38","0","0","0","190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1320","prefs","com.afollestad.materialdialogs.prefs","L106","L103","0.284635","7","63","21","0.359551","0.406897","64","59","0.111111","0.039604","32","4","32","0.111111","0.039604","32","4","32","776","942","21","19","0","6","0","82","4","0","61","3","776","942","21","19","11","0","5","6","0","82","327","4","4","0","0","0","61","3","0","0","413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1964","simplelist","com.afollestad.materialdialogs.simplelist","L106","L103","0","0","0","0","0","0","0","0","0.0540541","0.0447761","9","2","35","0.0540541","0.0447761","9","2","35","192","247","14","4","0","8","1","33","0","0","32","1","192","247","14","4","11","0","2","8","1","33","60","0","4","0","1","0","32","1","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2730","internal","com.afollestad.materialdialogs.internal","L106","L103","0.0964848","2","12","4","0","0","0","0","0.147059","0.0723606","61","5","29","0.147059","0.0723606","61","5","29","782","944","50","7","0","2","1","49","22","0","32","18","782","944","50","7","11","0","5","2","1","49","419","22","4","0","1","0","32","18","0","0","167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3877","util","com.afollestad.materialdialogs.util","L106","L103","0","0","0","0","0","0","0","0","0.28","0.170418","53","7","18","0.28","0.170418","53","7","18","258","347","1","4","0","5","0","26","0","0","23","1","258","347","1","4","11","0","3","5","0","26","119","0","3","0","0","0","23","1","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
