"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.152272","188","1223","891","0.0982367","0.144758","8318","7627","0","0","0","0","0","0.0997491","0.277324","20220","636","5740","0","0","0","0","0","0","0","0","0","1","0","0","52691","84673","2954","981","241","27","1060","1631","216","6258","20968","1195","792","22","205","203","5542","955","0","0","20984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.152272","188","1223","891","0.0982367","0.144758","8318","7627","0","0","0","0","0","0.0997491","0.277324","20220","636","5740","0","0","0","0","0","0","0","0","0","1","0","0","52691","84673","2954","981","241","27","1060","1631","216","6258","20968","1195","792","22","205","202","5542","955","0","0","20984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","apache","org.apache","L104","L103","0.152272","188","1223","891","0.0982367","0.144758","8318","7627","0","0","0","0","0","0.0997491","0.277324","20220","636","5740","0","0","0","0","0","0","0","0","0","1","0","0","52691","84673","2954","981","241","27","1060","1631","216","6258","20968","1195","792","22","205","201","5542","955","0","0","20984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","ibatis","org.apache.ibatis","L105","L103","0.152272","188","1223","891","0","0","0","0","0","0.317308","33","0","7","0.0997491","0.277324","20220","636","5740","71","117","6","1","0","0","0","6","6","23","6","0","52691","84673","2954","981","241","27","1060","1631","216","6258","20968","1195","792","22","205","200","5542","955","0","0","20984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L123","annotations","org.apache.ibatis.annotations","L106","L103","0","0","0","0","0","0","0","0","1","0.585641","571","29","0","1","0.585641","571","29","0","404","1119","3","0","1","0","0","75","3","0","0","0","404","1119","3","0","10","1","29","0","0","75","0","3","0","1","0","0","0","0","0","0","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L421","binding","org.apache.ibatis.binding","L106","L103","0.170199","10","24","24","0","0","0","0","0.22449","0.176307","317","33","114","0.22449","0.176307","317","33","114","1481","2073","25","16","0","10","5","143","0","0","129","0","1481","2073","25","16","16","0","16","10","5","143","663","0","13","0","5","0","129","0","0","0","454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1529","builder","org.apache.ibatis.builder","L106","L103","0.0846182","12","53","35","0.197368","0.263158","30","30","0.108333","0.209686","394","13","107","0.112245","0.165577","709","22","174","1485","2137","35","28","1","19","2","132","5","4","102","7","3573","4784","67","47","22","1","35","36","3","278","1666","6","31","0","3","5","165","9","0","0","1060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4066","cache","org.apache.ibatis.cache","L106","L103","0.0867803","3","16","8","0","0","0","0","0.171429","0.344207","306","12","58","0.121053","0.293395","573","23","167","583","1020","12","13","0","7","1","58","1","2","56","0","1380","2277","48","28","18","0","28","54","1","184","596","1","25","0","1","2","164","6","0","0","528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4880","cursor","org.apache.ibatis.cursor","L106","L103","0","0","0","0","0","0","0","0","1","0.864407","51","4","0","0.454545","0.422642","112","5","6","8","66","0","0","0","1","1","3","0","1","3","0","153","308","16","3","11","1","4","3","1","17","55","4","1","0","1","1","13","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5058","datasource","org.apache.ibatis.datasource","L106","L103","0.0265752","1","8","2","0","0","0","0","0.25","0.683544","54","2","6","0.15","0.28836","436","18","102","25","95","1","1","0","1","1","6","0","3","6","1","1076","1758","56","14","21","0","15","59","1","150","460","3","11","0","1","3","135","33","0","0","342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
